zone,param,timestamp,value
Anand Vihar,NO2,2025-12-01 01:00:00,64.3
Anand Vihar,NO2,2025-12-01 02:00:00,60.6
Anand Vihar,NO2,2025-12-01 03:00:00,62.0
Anand Vihar,NO2,2025-12-01 04:00:00,54.4
Anand Vihar,NO2,2025-12-01 05:00:00,47.7
Anand Vihar,NO2,2025-12-01 06:00:00,51.6
Anand Vihar,NO2,2025-12-01 07:00:00,43.5
Anand Vihar,NO2,2025-12-01 08:00:00,66.0
Anand Vihar,NO2,2025-12-01 09:00:00,61.4
Anand Vihar,NO2,2025-12-01 10:00:00,73.2
Anand Vihar,NO2,2025-12-01 11:00:00,36.3
Anand Vihar,NO2,2025-12-01 12:00:00,34.8
Anand Vihar,NO2,2025-12-01 13:00:00,58.0
Anand Vihar,NO2,2025-12-01 14:00:00,31.2
Anand Vihar,NO2,2025-12-01 15:00:00,39.6
Anand Vihar,NO2,2025-12-01 16:00:00,35.7
Anand Vihar,NO2,2025-12-01 17:00:00,47.3
Anand Vihar,NO2,2025-12-01 18:00:00,56.0
Anand Vihar,NO2,2025-12-01 19:00:00,93.1
Anand Vihar,NO2,2025-12-01 20:00:00,75.0
Anand Vihar,NO2,2025-12-01 21:00:00,88.3
Anand Vihar,NO2,2025-12-01 22:00:00,74.0
Anand Vihar,NO2,2025-12-01 23:00:00,51.2
Anand Vihar,NO2,2025-12-02 00:00:00,86.1
Anand Vihar,NO2,2025-12-02 01:00:00,73.1
Anand Vihar,NO2,2025-12-02 02:00:00,72.5
Anand Vihar,NO2,2025-12-02 03:00:00,65.9
Anand Vihar,NO2,2025-12-02 04:00:00,55.5
Anand Vihar,NO2,2025-12-02 05:00:00,57.9
Anand Vihar,NO2,2025-12-02 06:00:00,67.7
Anand Vihar,NO2,2025-12-02 07:00:00,70.7
Anand Vihar,NO2,2025-12-02 08:00:00,64.9
Anand Vihar,NO2,2025-12-02 09:00:00,98.3
Anand Vihar,NO2,2025-12-02 10:00:00,71.2
Anand Vihar,NO2,2025-12-02 11:00:00,69.5
Anand Vihar,NO2,2025-12-02 12:00:00,47.6
Anand Vihar,NO2,2025-12-02 13:00:00,
Anand Vihar,NO2,2025-12-02 14:00:00,39.0
Anand Vihar,NO2,2025-12-02 15:00:00,34.1
Anand Vihar,NO2,2025-12-02 16:00:00,52.4
Anand Vihar,NO2,2025-12-02 17:00:00,46.3
Anand Vihar,NO2,2025-12-02 18:00:00,56.9
Anand Vihar,NO2,2025-12-02 19:00:00,51.6
Anand Vihar,NO2,2025-12-03 11:00:00,24.7
Anand Vihar,NO2,2025-12-03 12:00:00,25.3
Anand Vihar,NO2,2025-12-03 13:00:00,34.4
Anand Vihar,NO2,2025-12-03 14:00:00,17.4
Anand Vihar,NO2,2025-12-03 15:00:00,17.8
Anand Vihar,NO2,2025-12-03 16:00:00,20.7
Anand Vihar,NO2,2025-12-03 17:00:00,41.8
Anand Vihar,NO2,2025-12-03 18:00:00,52.3
Anand Vihar,NO2,2025-12-03 19:00:00,46.4
Anand Vihar,NO2,2025-12-03 20:00:00,103.7
Anand Vihar,NO2,2025-12-03 21:00:00,53.4
Anand Vihar,NO2,2025-12-03 22:00:00,67.1
Anand Vihar,NO2,2025-12-03 23:00:00,57.1
Anand Vihar,NO2,2025-12-04 00:00:00,47.0
Anand Vihar,NO2,2025-12-04 01:00:00,42.9
Anand Vihar,NO2,2025-12-04 02:00:00,55.0
Anand Vihar,NO2,2025-12-04 03:00:00,40.5
Anand Vihar,NO2,2025-12-04 04:00:00,44.0
Anand Vihar,NO2,2025-12-04 05:00:00,48.6
Anand Vihar,NO2,2025-12-04 06:00:00,45.8
Anand Vihar,NO2,2025-12-04 07:00:00,46.7
Anand Vihar,NO2,2025-12-04 08:00:00,50.8
Anand Vihar,NO2,2025-12-04 09:00:00,58.2
Anand Vihar,NO2,2025-12-04 10:00:00,29.5
Anand Vihar,NO2,2025-12-04 11:00:00,28.6
Anand Vihar,NO2,2025-12-04 12:00:00,30.3
Anand Vihar,NO2,2025-12-04 13:00:00,57.4
Anand Vihar,NO2,2025-12-04 14:00:00,10.5
Anand Vihar,NO2,2025-12-04 15:00:00,14.9
Anand Vihar,NO2,2025-12-04 16:00:00,24.0
Anand Vihar,NO2,2025-12-04 17:00:00,38.2
Anand Vihar,NO2,2025-12-04 18:00:00,66.3
Anand Vihar,NO2,2025-12-04 19:00:00,73.4
Anand Vihar,NO2,2025-12-04 20:00:00,67.4
Anand Vihar,NO2,2025-12-04 21:00:00,38.4
Anand Vihar,NO2,2025-12-04 22:00:00,62.4
Anand Vihar,NO2,2025-12-04 23:00:00,67.5
Anand Vihar,NO2,2025-12-05 00:00:00,59.8
Anand Vihar,NO2,2025-12-05 01:00:00,60.1
Anand Vihar,NO2,2025-12-05 02:00:00,43.1
Anand Vihar,NO2,2025-12-05 03:00:00,61.5
Anand Vihar,NO2,2025-12-05 04:00:00,50.7
Anand Vihar,NO2,2025-12-05 05:00:00,40.8
Anand Vihar,NO2,2025-12-05 06:00:00,46.0
Anand Vihar,NO2,2025-12-05 07:00:00,40.2
Anand Vihar,NO2,2025-12-05 08:00:00,49.7
Anand Vihar,NO2,2025-12-05 09:00:00,63.4
Anand Vihar,NO2,2025-12-05 10:00:00,53.1
Anand Vihar,NO2,2025-12-05 11:00:00,35.3
Anand Vihar,NO2,2025-12-05 12:00:00,51.5
Anand Vihar,NO2,2025-12-05 13:00:00,37.7
Anand Vihar,NO2,2025-12-05 14:00:00,29.1
Anand Vihar,NO2,2025-12-05 15:00:00,34.1
Anand Vihar,NO2,2025-12-05 16:00:00,30.0
Anand Vihar,NO2,2025-12-05 17:00:00,39.9
Anand Vihar,NO2,2025-12-05 18:00:00,72.3
Anand Vihar,NO2,2025-12-05 19:00:00,83.6
Anand Vihar,NO2,2025-12-05 20:00:00,84.7
Anand Vihar,NO2,2025-12-05 21:00:00,82.7
Anand Vihar,NO2,2025-12-05 22:00:00,84.2
Anand Vihar,NO2,2025-12-05 23:00:00,81.8
Anand Vihar,NO2,2025-12-06 00:00:00,81.2
Anand Vihar,NO2,2025-12-06 01:00:00,62.5
Anand Vihar,NO2,2025-12-06 02:00:00,69.9
Anand Vihar,NO2,2025-12-06 03:00:00,62.2
Anand Vihar,NO2,2025-12-06 04:00:00,70.6
Anand Vihar,NO2,2025-12-06 05:00:00,54.0
Anand Vihar,NO2,2025-12-06 06:00:00,56.8
Anand Vihar,NO2,2025-12-06 09:00:00,46.7
Anand Vihar,NO2,2025-12-06 10:00:00,38.7
Anand Vihar,NO2,2025-12-06 11:00:00,36.9
Anand Vihar,NO2,2025-12-06 12:00:00,41.4
Anand Vihar,NO2,2025-12-06 13:00:00,41.4
Anand Vihar,NO2,2025-12-06 14:00:00,27.0
Anand Vihar,NO2,2025-12-06 15:00:00,44.4
Anand Vihar,NO2,2025-12-06 16:00:00,45.2
Anand Vihar,NO2,2025-12-06 17:00:00,50.4
Anand Vihar,NO2,2025-12-06 18:00:00,
Anand Vihar,NO2,2025-12-06 19:00:00,73.6
Anand Vihar,NO2,2025-12-06 20:00:00,77.0
Anand Vihar,NO2,2025-12-06 21:00:00,83.1
Anand Vihar,NO2,2025-12-06 22:00:00,78.3
Anand Vihar,NO2,2025-12-06 23:00:00,82.3
Anand Vihar,NO2,2025-12-07 00:00:00,53.8
