zone,param,timestamp,value
Anand Vihar,PM10,2025-10-01 01:00:00,58.0
Anand Vihar,PM10,2025-10-01 02:00:00,48.0
Anand Vihar,PM10,2025-10-01 03:00:00,34.0
Anand Vihar,PM10,2025-10-01 04:00:00,80.0
Anand Vihar,PM10,2025-10-01 05:00:00,106.0
Anand Vihar,PM10,2025-10-01 06:00:00,91.0
Anand Vihar,PM10,2025-10-01 07:00:00,110.0
Anand Vihar,PM10,2025-10-01 08:00:00,95.0
Anand Vihar,PM10,2025-10-01 09:00:00,114.0
Anand Vihar,PM10,2025-10-01 10:00:00,132.0
Anand Vihar,PM10,2025-10-01 11:00:00,121.0
Anand Vihar,PM10,2025-10-01 12:00:00,118.0
Anand Vihar,PM10,2025-10-01 13:00:00,84.0
Anand Vihar,PM10,2025-10-01 14:00:00,89.0
Anand Vihar,PM10,2025-10-01 15:00:00,90.0
Anand Vihar,PM10,2025-10-01 16:00:00,135.0
Anand Vihar,PM10,2025-10-01 17:00:00,168.0
Anand Vihar,PM10,2025-10-01 18:00:00,269.0
Anand Vihar,PM10,2025-10-01 19:00:00,429.0
Anand Vihar,PM10,2025-10-01 20:00:00,343.0
Anand Vihar,PM10,2025-10-01 21:00:00,276.0
Anand Vihar,PM10,2025-10-01 22:00:00,291.0
Anand Vihar,PM10,2025-10-01 23:00:00,213.0
Anand Vihar,PM10,2025-10-02 00:00:00,260.0
Anand Vihar,PM10,2025-10-02 01:00:00,144.0
Anand Vihar,PM10,2025-10-02 02:00:00,130.0
Anand Vihar,PM10,2025-10-02 03:00:00,97.0
Anand Vihar,PM10,2025-10-02 04:00:00,123.0
Anand Vihar,PM10,2025-10-02 05:00:00,111.0
Anand Vihar,PM10,2025-10-02 06:00:00,103.0
Anand Vihar,PM10,2025-10-02 07:00:00,149.0
Anand Vihar,PM10,2025-10-02 08:00:00,139.0
Anand Vihar,PM10,2025-10-02 09:00:00,238.0
Anand Vihar,PM10,2025-10-02 10:00:00,164.0
Anand Vihar,PM10,2025-10-02 11:00:00,138.0
Anand Vihar,PM10,2025-10-02 12:00:00,160.0
Anand Vihar,PM10,2025-10-02 13:00:00,161.0
Anand Vihar,PM10,2025-10-02 14:00:00,163.0
Anand Vihar,PM10,2025-10-02 15:00:00,130.0
Anand Vihar,PM10,2025-10-02 16:00:00,102.0
Anand Vihar,PM10,2025-10-02 17:00:00,125.0
Anand Vihar,PM10,2025-10-02 18:00:00,112.0
Anand Vihar,PM10,2025-10-02 19:00:00,75.0
Anand Vihar,PM10,2025-10-02 20:00:00,88.0
Anand Vihar,PM10,2025-10-02 21:00:00,147.0
Anand Vihar,PM10,2025-10-02 22:00:00,141.0
Anand Vihar,PM10,2025-10-02 23:00:00,80.0
Anand Vihar,PM10,2025-10-03 00:00:00,77.0
Anand Vihar,PM10,2025-10-03 01:00:00,72.0
Anand Vihar,PM10,2025-10-03 02:00:00,145.0
Anand Vihar,PM10,2025-10-03 03:00:00,74.0
Anand Vihar,PM10,2025-10-03 04:00:00,86.0
Anand Vihar,PM10,2025-10-03 05:00:00,81.0
Anand Vihar,PM10,2025-10-03 06:00:00,102.0
Anand Vihar,PM10,2025-10-03 07:00:00,79.0
Anand Vihar,PM10,2025-10-03 08:00:00,75.0
Anand Vihar,PM10,2025-10-03 09:00:00,73.0
Anand Vihar,PM10,2025-10-03 10:00:00,84.0
Anand Vihar,PM10,2025-10-03 11:00:00,86.0
