zone,param,timestamp,value
Anand Vihar,SO2,2025-12-01 01:00:00,
Anand Vihar,SO2,2025-12-01 02:00:00,40.4
Anand Vihar,SO2,2025-12-01 03:00:00,
Anand Vihar,SO2,2025-12-01 04:00:00,
Anand Vihar,SO2,2025-12-01 05:00:00,60.1
Anand Vihar,SO2,2025-12-01 06:00:00,8.1
Anand Vihar,SO2,2025-12-01 07:00:00,58.3
Anand Vihar,SO2,2025-12-01 08:00:00,65.1
Anand Vihar,SO2,2025-12-01 09:00:00,61.2
Anand Vihar,SO2,2025-12-01 10:00:00,53.9
Anand Vihar,SO2,2025-12-01 11:00:00,
Anand Vihar,SO2,2025-12-01 12:00:00,
Anand Vihar,SO2,2025-12-01 13:00:00,1.2
Anand Vihar,SO2,2025-12-01 14:00:00,3.7
Anand Vihar,SO2,2025-12-01 15:00:00,0.8
Anand Vihar,SO2,2025-12-01 16:00:00,62.9
Anand Vihar,SO2,2025-12-01 17:00:00,83.5
Anand Vihar,SO2,2025-12-01 18:00:00,88.9
Anand Vihar,SO2,2025-12-01 19:00:00,89.0
Anand Vihar,SO2,2025-12-01 20:00:00,71.8
Anand Vihar,SO2,2025-12-01 21:00:00,79.3
Anand Vihar,SO2,2025-12-01 22:00:00,
Anand Vihar,SO2,2025-12-01 23:00:00,48.5
Anand Vihar,SO2,2025-12-02 00:00:00,
Anand Vihar,SO2,2025-12-02 01:00:00,0.8
Anand Vihar,SO2,2025-12-02 02:00:00,71.6
Anand Vihar,SO2,2025-12-02 03:00:00,13.9
Anand Vihar,SO2,2025-12-02 04:00:00,1.9
Anand Vihar,SO2,2025-12-02 05:00:00,89.9
Anand Vihar,SO2,2025-12-02 06:00:00,71.8
Anand Vihar,SO2,2025-12-02 07:00:00,19.0
Anand Vihar,SO2,2025-12-02 08:00:00,82.3
Anand Vihar,SO2,2025-12-02 09:00:00,18.2
Anand Vihar,SO2,2025-12-02 10:00:00,1.1
Anand Vihar,SO2,2025-12-02 11:00:00,
Anand Vihar,SO2,2025-12-02 12:00:00,72.3
Anand Vihar,SO2,2025-12-02 13:00:00,87.2
Anand Vihar,SO2,2025-12-02 14:00:00,87.7
Anand Vihar,SO2,2025-12-02 15:00:00,83.0
Anand Vihar,SO2,2025-12-02 16:00:00,77.3
Anand Vihar,SO2,2025-12-02 17:00:00,67.8
Anand Vihar,SO2,2025-12-02 18:00:00,97.2
Anand Vihar,SO2,2025-12-02 19:00:00,93.5
Anand Vihar,SO2,2025-12-03 11:00:00,
Anand Vihar,SO2,2025-12-03 12:00:00,7.7
Anand Vihar,SO2,2025-12-03 13:00:00,16.7
Anand Vihar,SO2,2025-12-03 14:00:00,16.8
Anand Vihar,SO2,2025-12-03 15:00:00,15.9
Anand Vihar,SO2,2025-12-03 16:00:00,17.9
Anand Vihar,SO2,2025-12-03 17:00:00,15.4
Anand Vihar,SO2,2025-12-03 18:00:00,
Anand Vihar,SO2,2025-12-03 19:00:00,
Anand Vihar,SO2,2025-12-03 20:00:00,7.1
Anand Vihar,SO2,2025-12-03 21:00:00,12.0
Anand Vihar,SO2,2025-12-03 22:00:00,10.8
Anand Vihar,SO2,2025-12-03 23:00:00,6.0
Anand Vihar,SO2,2025-12-04 00:00:00,6.0
Anand Vihar,SO2,2025-12-04 01:00:00,8.2
Anand Vihar,SO2,2025-12-04 02:00:00,10.8
Anand Vihar,SO2,2025-12-04 03:00:00,11.1
Anand Vihar,SO2,2025-12-04 04:00:00,11.2
Anand Vihar,SO2,2025-12-04 05:00:00,12.0
Anand Vihar,SO2,2025-12-04 06:00:00,12.5
Anand Vihar,SO2,2025-12-04 07:00:00,12.8
Anand Vihar,SO2,2025-12-04 08:00:00,12.6
Anand Vihar,SO2,2025-12-04 09:00:00,12.6
Anand Vihar,SO2,2025-12-04 10:00:00,12.0
Anand Vihar,SO2,2025-12-04 11:00:00,12.0
Anand Vihar,SO2,2025-12-04 12:00:00,12.3
Anand Vihar,SO2,2025-12-04 13:00:00,11.2
Anand Vihar,SO2,2025-12-04 14:00:00,10.5
Anand Vihar,SO2,2025-12-04 15:00:00,11.5
Anand Vihar,SO2,2025-12-04 16:00:00,12.2
Anand Vihar,SO2,2025-12-04 17:00:00,12.4
Anand Vihar,SO2,2025-12-04 18:00:00,12.2
Anand Vihar,SO2,2025-12-04 19:00:00,12.0
Anand Vihar,SO2,2025-12-04 20:00:00,12.2
Anand Vihar,SO2,2025-12-04 21:00:00,12.0
Anand Vihar,SO2,2025-12-04 22:00:00,12.7
Anand Vihar,SO2,2025-12-04 23:00:00,13.4
Anand Vihar,SO2,2025-12-05 00:00:00,12.7
Anand Vihar,SO2,2025-12-05 01:00:00,12.8
Anand Vihar,SO2,2025-12-05 02:00:00,12.2
Anand Vihar,SO2,2025-12-05 03:00:00,12.9
Anand Vihar,SO2,2025-12-05 04:00:00,12.8
Anand Vihar,SO2,2025-12-05 05:00:00,13.5
Anand Vihar,SO2,2025-12-05 06:00:00,13.4
Anand Vihar,SO2,2025-12-05 07:00:00,12.8
Anand Vihar,SO2,2025-12-05 08:00:00,13.2
Anand Vihar,SO2,2025-12-05 09:00:00,13.6
Anand Vihar,SO2,2025-12-05 10:00:00,13.0
Anand Vihar,SO2,2025-12-05 11:00:00,13.2
Anand Vihar,SO2,2025-12-05 12:00:00,12.2
Anand Vihar,SO2,2025-12-05 13:00:00,11.6
Anand Vihar,SO2,2025-12-05 14:00:00,11.6
Anand Vihar,SO2,2025-12-05 15:00:00,11.5
Anand Vihar,SO2,2025-12-05 16:00:00,11.0
Anand Vihar,SO2,2025-12-05 17:00:00,13.5
