zone,param,timestamp,value
Anand Vihar,humidity,2025-12-01 01:00:00,67.2
Anand Vihar,humidity,2025-12-01 02:00:00,68.4
Anand Vihar,humidity,2025-12-01 03:00:00,73.0
Anand Vihar,humidity,2025-12-01 04:00:00,73.3
Anand Vihar,humidity,2025-12-01 05:00:00,72.3
Anand Vihar,humidity,2025-12-01 06:00:00,73.5
Anand Vihar,humidity,2025-12-01 07:00:00,72.5
Anand Vihar,humidity,2025-12-01 08:00:00,66.8
Anand Vihar,humidity,2025-12-01 09:00:00,51.5
Anand Vihar,humidity,2025-12-01 10:00:00,46.4
Anand Vihar,humidity,2025-12-01 11:00:00,39.8
Anand Vihar,humidity,2025-12-01 12:00:00,38.7
Anand Vihar,humidity,2025-12-01 13:00:00,35.2
Anand Vihar,humidity,2025-12-01 14:00:00,34.7
Anand Vihar,humidity,2025-12-01 15:00:00,35.1
Anand Vihar,humidity,2025-12-01 16:00:00,38.7
Anand Vihar,humidity,2025-12-01 17:00:00,45.0
Anand Vihar,humidity,2025-12-01 18:00:00,49.7
Anand Vihar,humidity,2025-12-01 19:00:00,53.3
Anand Vihar,humidity,2025-12-01 20:00:00,56.6
Anand Vihar,humidity,2025-12-01 21:00:00,61.3
Anand Vihar,humidity,2025-12-01 22:00:00,61.9
Anand Vihar,humidity,2025-12-01 23:00:00,66.9
Anand Vihar,humidity,2025-12-02 00:00:00,63.1
Anand Vihar,humidity,2025-12-02 01:00:00,65.9
Anand Vihar,humidity,2025-12-02 02:00:00,64.1
Anand Vihar,humidity,2025-12-02 03:00:00,63.0
Anand Vihar,humidity,2025-12-02 04:00:00,61.1
Anand Vihar,humidity,2025-12-02 05:00:00,61.6
Anand Vihar,humidity,2025-12-02 06:00:00,61.5
Anand Vihar,humidity,2025-12-02 07:00:00,63.0
Anand Vihar,humidity,2025-12-02 08:00:00,67.7
Anand Vihar,humidity,2025-12-02 09:00:00,56.8
Anand Vihar,humidity,2025-12-02 10:00:00,45.1
Anand Vihar,humidity,2025-12-02 11:00:00,40.7
Anand Vihar,humidity,2025-12-02 12:00:00,40.1
Anand Vihar,humidity,2025-12-02 13:00:00,39.9
Anand Vihar,humidity,2025-12-02 14:00:00,40.0
Anand Vihar,humidity,2025-12-02 15:00:00,45.3
Anand Vihar,humidity,2025-12-02 16:00:00,44.7
Anand Vihar,humidity,2025-12-02 17:00:00,50.4
Anand Vihar,humidity,2025-12-02 18:00:00,51.0
Anand Vihar,humidity,2025-12-02 19:00:00,56.0
Anand Vihar,humidity,2025-12-03 11:00:00,44.9
Anand Vihar,humidity,2025-12-03 12:00:00,40.5
Anand Vihar,humidity,2025-12-03 13:00:00,39.4
Anand Vihar,humidity,2025-12-03 14:00:00,39.0
Anand Vihar,humidity,2025-12-03 15:00:00,39.6
Anand Vihar,humidity,2025-12-03 16:00:00,40.6
Anand Vihar,humidity,2025-12-03 17:00:00,39.7
Anand Vihar,humidity,2025-12-03 18:00:00,46.6
Anand Vihar,humidity,2025-12-03 19:00:00,56.6
Anand Vihar,humidity,2025-12-03 20:00:00,57.5
Anand Vihar,humidity,2025-12-03 21:00:00,55.5
