zone,param,timestamp,value
Ashok Vihar,O3,2025-12-01 01:00:00,
Ashok Vihar,O3,2025-12-01 02:00:00,5.2
Ashok Vihar,O3,2025-12-01 03:00:00,4.6
Ashok Vihar,O3,2025-12-01 04:00:00,4.7
Ashok Vihar,O3,2025-12-01 05:00:00,5.2
Ashok Vihar,O3,2025-12-01 06:00:00,4.8
Ashok Vihar,O3,2025-12-01 07:00:00,4.6
Ashok Vihar,O3,2025-12-01 08:00:00,6.7
Ashok Vihar,O3,2025-12-01 09:00:00,19.1
Ashok Vihar,O3,2025-12-01 10:00:00,55.9
Ashok Vihar,O3,2025-12-01 11:00:00,90.2
Ashok Vihar,O3,2025-12-01 12:00:00,119.6
Ashok Vihar,O3,2025-12-01 13:00:00,133.0
Ashok Vihar,O3,2025-12-01 14:00:00,130.2
Ashok Vihar,O3,2025-12-01 15:00:00,120.4
Ashok Vihar,O3,2025-12-01 16:00:00,118.6
Ashok Vihar,O3,2025-12-01 17:00:00,80.3
Ashok Vihar,O3,2025-12-01 18:00:00,67.5
Ashok Vihar,O3,2025-12-01 19:00:00,22.2
Ashok Vihar,O3,2025-12-01 20:00:00,5.7
Ashok Vihar,O3,2025-12-01 21:00:00,5.5
Ashok Vihar,O3,2025-12-01 22:00:00,5.2
Ashok Vihar,O3,2025-12-01 23:00:00,6.4
Ashok Vihar,O3,2025-12-02 00:00:00,5.8
Ashok Vihar,O3,2025-12-02 01:00:00,
Ashok Vihar,O3,2025-12-02 02:00:00,5.8
Ashok Vihar,O3,2025-12-02 03:00:00,5.6
Ashok Vihar,O3,2025-12-02 04:00:00,5.7
Ashok Vihar,O3,2025-12-02 05:00:00,11.4
Ashok Vihar,O3,2025-12-02 06:00:00,13.4
Ashok Vihar,O3,2025-12-02 07:00:00,5.6
Ashok Vihar,O3,2025-12-02 08:00:00,6.0
Ashok Vihar,O3,2025-12-02 09:00:00,12.1
Ashok Vihar,O3,2025-12-02 10:00:00,37.3
Ashok Vihar,O3,2025-12-02 11:00:00,82.7
Ashok Vihar,O3,2025-12-02 12:00:00,140.0
Ashok Vihar,O3,2025-12-02 13:00:00,170.3
Ashok Vihar,O3,2025-12-02 14:00:00,167.8
Ashok Vihar,O3,2025-12-02 15:00:00,153.3
Ashok Vihar,O3,2025-12-02 16:00:00,114.9
Ashok Vihar,O3,2025-12-02 17:00:00,74.3
Ashok Vihar,O3,2025-12-02 18:00:00,7.8
Ashok Vihar,O3,2025-12-02 19:00:00,5.3
Ashok Vihar,O3,2025-12-02 20:00:00,5.7
Ashok Vihar,O3,2025-12-02 21:00:00,5.3
Ashok Vihar,O3,2025-12-02 22:00:00,5.6
Ashok Vihar,O3,2025-12-02 23:00:00,5.2
Ashok Vihar,O3,2025-12-03 00:00:00,5.4
Ashok Vihar,O3,2025-12-03 01:00:00,
Ashok Vihar,O3,2025-12-03 12:00:00,118.6
Ashok Vihar,O3,2025-12-03 13:00:00,117.3
Ashok Vihar,O3,2025-12-03 14:00:00,114.2
Ashok Vihar,O3,2025-12-03 15:00:00,110.6
Ashok Vihar,O3,2025-12-03 16:00:00,103.3
Ashok Vihar,O3,2025-12-03 17:00:00,66.8
Ashok Vihar,O3,2025-12-03 18:00:00,18.4
Ashok Vihar,O3,2025-12-03 19:00:00,5.1
Ashok Vihar,O3,2025-12-03 20:00:00,5.4
Ashok Vihar,O3,2025-12-03 21:00:00,5.7
Ashok Vihar,O3,2025-12-03 22:00:00,5.5
Ashok Vihar,O3,2025-12-03 23:00:00,7.6
Ashok Vihar,O3,2025-12-04 00:00:00,7.9
Ashok Vihar,O3,2025-12-04 01:00:00,
Ashok Vihar,O3,2025-12-04 02:00:00,12.9
Ashok Vihar,O3,2025-12-04 03:00:00,7.3
Ashok Vihar,O3,2025-12-04 04:00:00,13.9
Ashok Vihar,O3,2025-12-04 05:00:00,23.6
Ashok Vihar,O3,2025-12-04 06:00:00,16.9
Ashok Vihar,O3,2025-12-04 07:00:00,13.0
Ashok Vihar,O3,2025-12-04 08:00:00,11.7
Ashok Vihar,O3,2025-12-04 09:00:00,49.7
Ashok Vihar,O3,2025-12-04 10:00:00,74.2
Ashok Vihar,O3,2025-12-04 11:00:00,94.9
Ashok Vihar,O3,2025-12-04 12:00:00,102.7
Ashok Vihar,O3,2025-12-04 13:00:00,103.1
Ashok Vihar,O3,2025-12-04 14:00:00,116.6
Ashok Vihar,O3,2025-12-04 15:00:00,114.7
Ashok Vihar,O3,2025-12-04 16:00:00,109.0
Ashok Vihar,O3,2025-12-04 17:00:00,88.9
Ashok Vihar,O3,2025-12-04 18:00:00,16.2
Ashok Vihar,O3,2025-12-04 19:00:00,4.9
Ashok Vihar,O3,2025-12-04 20:00:00,4.3
