zone,param,timestamp,value
Ashok Vihar,PM10,2025-12-01 01:00:00,273.0
Ashok Vihar,PM10,2025-12-01 02:00:00,254.0
Ashok Vihar,PM10,2025-12-01 03:00:00,239.0
Ashok Vihar,PM10,2025-12-01 04:00:00,237.0
Ashok Vihar,PM10,2025-12-01 05:00:00,294.0
Ashok Vihar,PM10,2025-12-01 06:00:00,299.0
Ashok Vihar,PM10,2025-12-01 07:00:00,321.0
Ashok Vihar,PM10,2025-12-01 08:00:00,332.0
Ashok Vihar,PM10,2025-12-01 09:00:00,454.0
Ashok Vihar,PM10,2025-12-01 10:00:00,405.0
Ashok Vihar,PM10,2025-12-01 11:00:00,350.0
Ashok Vihar,PM10,2025-12-01 12:00:00,307.0
Ashok Vihar,PM10,2025-12-01 13:00:00,232.0
Ashok Vihar,PM10,2025-12-01 14:00:00,200.0
Ashok Vihar,PM10,2025-12-01 15:00:00,169.0
Ashok Vihar,PM10,2025-12-01 16:00:00,160.0
Ashok Vihar,PM10,2025-12-01 17:00:00,206.0
Ashok Vihar,PM10,2025-12-01 18:00:00,289.0
Ashok Vihar,PM10,2025-12-01 19:00:00,316.0
Ashok Vihar,PM10,2025-12-01 20:00:00,364.0
Ashok Vihar,PM10,2025-12-01 21:00:00,495.0
Ashok Vihar,PM10,2025-12-01 22:00:00,526.0
Ashok Vihar,PM10,2025-12-01 23:00:00,550.0
Ashok Vihar,PM10,2025-12-02 00:00:00,522.0
Ashok Vihar,PM10,2025-12-02 01:00:00,563.0
Ashok Vihar,PM10,2025-12-02 02:00:00,605.0
Ashok Vihar,PM10,2025-12-02 03:00:00,542.0
Ashok Vihar,PM10,2025-12-02 04:00:00,427.0
Ashok Vihar,PM10,2025-12-02 05:00:00,353.0
Ashok Vihar,PM10,2025-12-02 06:00:00,334.0
Ashok Vihar,PM10,2025-12-02 07:00:00,377.0
Ashok Vihar,PM10,2025-12-02 08:00:00,489.0
Ashok Vihar,PM10,2025-12-02 09:00:00,614.0
Ashok Vihar,PM10,2025-12-02 10:00:00,550.0
Ashok Vihar,PM10,2025-12-02 11:00:00,508.0
Ashok Vihar,PM10,2025-12-02 12:00:00,553.0
Ashok Vihar,PM10,2025-12-02 13:00:00,625.0
Ashok Vihar,PM10,2025-12-02 14:00:00,549.0
Ashok Vihar,PM10,2025-12-02 15:00:00,498.0
Ashok Vihar,PM10,2025-12-02 16:00:00,382.0
Ashok Vihar,PM10,2025-12-02 17:00:00,357.0
Ashok Vihar,PM10,2025-12-02 18:00:00,406.0
Ashok Vihar,PM10,2025-12-02 19:00:00,467.0
Ashok Vihar,PM10,2025-12-02 20:00:00,625.0
Ashok Vihar,PM10,2025-12-02 21:00:00,561.0
Ashok Vihar,PM10,2025-12-02 22:00:00,520.0
Ashok Vihar,PM10,2025-12-02 23:00:00,514.0
Ashok Vihar,PM10,2025-12-03 00:00:00,473.0
Ashok Vihar,PM10,2025-12-03 01:00:00,410.0
Ashok Vihar,PM10,2025-12-03 12:00:00,287.0
Ashok Vihar,PM10,2025-12-03 13:00:00,232.0
Ashok Vihar,PM10,2025-12-03 14:00:00,213.0
Ashok Vihar,PM10,2025-12-03 15:00:00,177.0
Ashok Vihar,PM10,2025-12-03 16:00:00,171.0
Ashok Vihar,PM10,2025-12-03 17:00:00,189.0
Ashok Vihar,PM10,2025-12-03 18:00:00,233.0
Ashok Vihar,PM10,2025-12-03 19:00:00,267.0
Ashok Vihar,PM10,2025-12-03 20:00:00,301.0
Ashok Vihar,PM10,2025-12-03 21:00:00,342.0
Ashok Vihar,PM10,2025-12-03 22:00:00,339.0
Ashok Vihar,PM10,2025-12-03 23:00:00,321.0
Ashok Vihar,PM10,2025-12-04 00:00:00,288.0
Ashok Vihar,PM10,2025-12-04 01:00:00,265.0
Ashok Vihar,PM10,2025-12-04 02:00:00,240.0
Ashok Vihar,PM10,2025-12-04 03:00:00,251.0
Ashok Vihar,PM10,2025-12-04 04:00:00,249.0
Ashok Vihar,PM10,2025-12-04 05:00:00,311.0
Ashok Vihar,PM10,2025-12-04 06:00:00,301.0
Ashok Vihar,PM10,2025-12-04 07:00:00,289.0
Ashok Vihar,PM10,2025-12-04 08:00:00,333.0
Ashok Vihar,PM10,2025-12-04 09:00:00,377.0
Ashok Vihar,PM10,2025-12-04 10:00:00,331.0
Ashok Vihar,PM10,2025-12-04 11:00:00,331.0
Ashok Vihar,PM10,2025-12-04 12:00:00,269.0
Ashok Vihar,PM10,2025-12-04 13:00:00,210.0
Ashok Vihar,PM10,2025-12-04 14:00:00,215.0
Ashok Vihar,PM10,2025-12-04 15:00:00,223.0
Ashok Vihar,PM10,2025-12-04 16:00:00,207.0
Ashok Vihar,PM10,2025-12-04 17:00:00,210.0
Ashok Vihar,PM10,2025-12-04 18:00:00,263.0
Ashok Vihar,PM10,2025-12-04 19:00:00,322.0
Ashok Vihar,PM10,2025-12-04 20:00:00,348.0
Ashok Vihar,PM10,2025-12-04 21:00:00,423.0
Ashok Vihar,PM10,2025-12-04 22:00:00,444.0
Ashok Vihar,PM10,2025-12-04 23:00:00,460.0
Ashok Vihar,PM10,2025-12-05 00:00:00,422.0
Ashok Vihar,PM10,2025-12-05 01:00:00,356.0
Ashok Vihar,PM10,2025-12-05 02:00:00,313.0
Ashok Vihar,PM10,2025-12-05 03:00:00,311.0
Ashok Vihar,PM10,2025-12-05 04:00:00,324.0
Ashok Vihar,PM10,2025-12-05 05:00:00,324.0
Ashok Vihar,PM10,2025-12-05 06:00:00,277.0
Ashok Vihar,PM10,2025-12-05 07:00:00,283.0
Ashok Vihar,PM10,2025-12-05 08:00:00,300.0
Ashok Vihar,PM10,2025-12-05 09:00:00,337.0
Ashok Vihar,PM10,2025-12-05 10:00:00,400.0
Ashok Vihar,PM10,2025-12-05 11:00:00,
Ashok Vihar,PM10,2025-12-05 12:00:00,316.0
Ashok Vihar,PM10,2025-12-05 13:00:00,290.0
Ashok Vihar,PM10,2025-12-05 14:00:00,252.0
Ashok Vihar,PM10,2025-12-05 15:00:00,274.0
Ashok Vihar,PM10,2025-12-05 16:00:00,222.0
Ashok Vihar,PM10,2025-12-05 17:00:00,250.0
Ashok Vihar,PM10,2025-12-05 18:00:00,307.0
Ashok Vihar,PM10,2025-12-05 19:00:00,361.0
Ashok Vihar,PM10,2025-12-05 20:00:00,416.0
Ashok Vihar,PM10,2025-12-05 21:00:00,401.0
Ashok Vihar,PM10,2025-12-05 22:00:00,388.0
Ashok Vihar,PM10,2025-12-05 23:00:00,392.0
Ashok Vihar,PM10,2025-12-06 00:00:00,323.0
Ashok Vihar,PM10,2025-12-06 01:00:00,328.0
Ashok Vihar,PM10,2025-12-06 02:00:00,320.0
Ashok Vihar,PM10,2025-12-06 03:00:00,295.0
Ashok Vihar,PM10,2025-12-06 04:00:00,300.0
Ashok Vihar,PM10,2025-12-06 05:00:00,273.0
Ashok Vihar,PM10,2025-12-06 06:00:00,329.0
Ashok Vihar,PM10,2025-12-06 07:00:00,338.0
Ashok Vihar,PM10,2025-12-06 08:00:00,357.0
Ashok Vihar,PM10,2025-12-06 09:00:00,356.0
Ashok Vihar,PM10,2025-12-06 10:00:00,353.0
Ashok Vihar,PM10,2025-12-06 11:00:00,310.0
Ashok Vihar,PM10,2025-12-06 12:00:00,311.0
Ashok Vihar,PM10,2025-12-06 13:00:00,309.0
Ashok Vihar,PM10,2025-12-06 14:00:00,276.0
Ashok Vihar,PM10,2025-12-06 15:00:00,243.0
Ashok Vihar,PM10,2025-12-06 16:00:00,216.0
Ashok Vihar,PM10,2025-12-06 17:00:00,232.0
Ashok Vihar,PM10,2025-12-06 18:00:00,263.0
Ashok Vihar,PM10,2025-12-06 19:00:00,362.0
Ashok Vihar,PM10,2025-12-06 20:00:00,340.0
Ashok Vihar,PM10,2025-12-06 21:00:00,350.0
