zone,param,timestamp,value
Bawana,NO2,2025-12-01 01:00:00,16.9
Bawana,NO2,2025-12-01 02:00:00,15.6
Bawana,NO2,2025-12-01 03:00:00,21.1
Bawana,NO2,2025-12-01 04:00:00,21.6
Bawana,NO2,2025-12-01 05:00:00,18.2
Bawana,NO2,2025-12-01 06:00:00,17.3
Bawana,NO2,2025-12-01 07:00:00,18.6
Bawana,NO2,2025-12-01 08:00:00,18.6
Bawana,NO2,2025-12-01 09:00:00,28.8
Bawana,NO2,2025-12-01 10:00:00,15.1
Bawana,NO2,2025-12-01 11:00:00,14.5
Bawana,NO2,2025-12-01 12:00:00,7.1
Bawana,NO2,2025-12-01 13:00:00,5.0
Bawana,NO2,2025-12-01 14:00:00,6.3
Bawana,NO2,2025-12-01 15:00:00,
Bawana,NO2,2025-12-01 16:00:00,7.1
Bawana,NO2,2025-12-01 17:00:00,10.3
Bawana,NO2,2025-12-01 18:00:00,25.3
Bawana,NO2,2025-12-01 19:00:00,44.8
Bawana,NO2,2025-12-01 20:00:00,44.4
Bawana,NO2,2025-12-01 21:00:00,39.8
Bawana,NO2,2025-12-01 22:00:00,41.5
Bawana,NO2,2025-12-01 23:00:00,35.4
Bawana,NO2,2025-12-02 00:00:00,34.4
Bawana,NO2,2025-12-02 01:00:00,37.0
Bawana,NO2,2025-12-02 02:00:00,35.7
Bawana,NO2,2025-12-02 03:00:00,33.3
Bawana,NO2,2025-12-02 04:00:00,21.0
Bawana,NO2,2025-12-02 05:00:00,24.0
Bawana,NO2,2025-12-02 06:00:00,25.6
Bawana,NO2,2025-12-02 07:00:00,24.6
Bawana,NO2,2025-12-02 08:00:00,27.4
Bawana,NO2,2025-12-02 09:00:00,27.2
Bawana,NO2,2025-12-02 10:00:00,24.3
Bawana,NO2,2025-12-02 11:00:00,19.7
Bawana,NO2,2025-12-02 12:00:00,15.3
Bawana,NO2,2025-12-02 13:00:00,12.9
Bawana,NO2,2025-12-02 14:00:00,10.6
Bawana,NO2,2025-12-02 17:00:00,
Bawana,NO2,2025-12-02 18:00:00,48.9
Bawana,NO2,2025-12-02 19:00:00,45.2
Bawana,NO2,2025-12-02 20:00:00,29.9
Bawana,NO2,2025-12-02 21:00:00,17.9
Bawana,NO2,2025-12-02 22:00:00,34.7
Bawana,NO2,2025-12-02 23:00:00,29.7
Bawana,NO2,2025-12-03 12:00:00,6.0
Bawana,NO2,2025-12-03 13:00:00,4.5
Bawana,NO2,2025-12-03 14:00:00,4.2
Bawana,NO2,2025-12-03 15:00:00,3.8
Bawana,NO2,2025-12-03 16:00:00,4.8
Bawana,NO2,2025-12-03 17:00:00,8.4
Bawana,NO2,2025-12-03 18:00:00,30.2
Bawana,NO2,2025-12-03 19:00:00,23.0
Bawana,NO2,2025-12-03 20:00:00,31.6
Bawana,NO2,2025-12-03 21:00:00,29.4
Bawana,NO2,2025-12-03 22:00:00,27.8
Bawana,NO2,2025-12-03 23:00:00,26.7
Bawana,NO2,2025-12-04 00:00:00,23.3
Bawana,NO2,2025-12-04 01:00:00,17.8
Bawana,NO2,2025-12-04 02:00:00,18.5
Bawana,NO2,2025-12-04 03:00:00,20.0
Bawana,NO2,2025-12-04 04:00:00,18.2
Bawana,NO2,2025-12-04 05:00:00,17.4
Bawana,NO2,2025-12-04 06:00:00,17.4
Bawana,NO2,2025-12-04 07:00:00,18.0
Bawana,NO2,2025-12-04 08:00:00,18.3
Bawana,NO2,2025-12-04 09:00:00,20.1
Bawana,NO2,2025-12-04 10:00:00,14.7
Bawana,NO2,2025-12-04 11:00:00,7.0
Bawana,NO2,2025-12-04 12:00:00,7.8
Bawana,NO2,2025-12-04 13:00:00,8.4
Bawana,NO2,2025-12-04 14:00:00,6.7
Bawana,NO2,2025-12-04 15:00:00,6.1
Bawana,NO2,2025-12-04 16:00:00,6.1
Bawana,NO2,2025-12-04 17:00:00,10.5
Bawana,NO2,2025-12-04 18:00:00,28.7
Bawana,NO2,2025-12-04 19:00:00,40.9
