zone,param,timestamp,value
Bawana,O3,2025-12-01 01:00:00,13.7
Bawana,O3,2025-12-01 02:00:00,11.6
Bawana,O3,2025-12-01 03:00:00,3.2
Bawana,O3,2025-12-01 04:00:00,1.8
Bawana,O3,2025-12-01 05:00:00,1.5
Bawana,O3,2025-12-01 06:00:00,1.8
Bawana,O3,2025-12-01 07:00:00,17.9
Bawana,O3,2025-12-01 08:00:00,9.5
Bawana,O3,2025-12-01 09:00:00,5.7
Bawana,O3,2025-12-01 10:00:00,20.5
Bawana,O3,2025-12-01 11:00:00,44.2
Bawana,O3,2025-12-01 12:00:00,57.3
Bawana,O3,2025-12-01 13:00:00,66.8
Bawana,O3,2025-12-01 14:00:00,70.0
Bawana,O3,2025-12-01 15:00:00,71.6
Bawana,O3,2025-12-01 16:00:00,57.8
Bawana,O3,2025-12-01 17:00:00,46.3
Bawana,O3,2025-12-01 18:00:00,22.9
Bawana,O3,2025-12-01 19:00:00,2.2
Bawana,O3,2025-12-01 20:00:00,3.5
Bawana,O3,2025-12-01 21:00:00,3.1
Bawana,O3,2025-12-01 22:00:00,3.7
Bawana,O3,2025-12-01 23:00:00,2.5
Bawana,O3,2025-12-02 00:00:00,2.3
Bawana,O3,2025-12-02 01:00:00,37.5
Bawana,O3,2025-12-02 02:00:00,11.9
Bawana,O3,2025-12-02 03:00:00,5.5
Bawana,O3,2025-12-02 04:00:00,8.5
Bawana,O3,2025-12-02 05:00:00,4.4
Bawana,O3,2025-12-02 06:00:00,3.0
Bawana,O3,2025-12-02 07:00:00,4.2
Bawana,O3,2025-12-02 08:00:00,3.5
Bawana,O3,2025-12-02 09:00:00,7.2
Bawana,O3,2025-12-02 10:00:00,24.3
Bawana,O3,2025-12-02 11:00:00,38.8
Bawana,O3,2025-12-02 12:00:00,63.9
Bawana,O3,2025-12-02 13:00:00,79.1
Bawana,O3,2025-12-02 14:00:00,90.8
Bawana,O3,2025-12-02 17:00:00,
Bawana,O3,2025-12-02 18:00:00,5.3
Bawana,O3,2025-12-02 19:00:00,2.1
Bawana,O3,2025-12-02 20:00:00,11.1
Bawana,O3,2025-12-02 21:00:00,19.7
Bawana,O3,2025-12-02 22:00:00,4.5
Bawana,O3,2025-12-02 23:00:00,2.3
Bawana,O3,2025-12-03 12:00:00,57.5
Bawana,O3,2025-12-03 13:00:00,56.7
Bawana,O3,2025-12-03 14:00:00,57.1
Bawana,O3,2025-12-03 15:00:00,55.7
Bawana,O3,2025-12-03 16:00:00,54.3
Bawana,O3,2025-12-03 17:00:00,35.5
Bawana,O3,2025-12-03 18:00:00,10.0
Bawana,O3,2025-12-03 19:00:00,9.6
Bawana,O3,2025-12-03 20:00:00,1.8
Bawana,O3,2025-12-03 21:00:00,2.2
Bawana,O3,2025-12-03 22:00:00,1.9
Bawana,O3,2025-12-03 23:00:00,1.7
Bawana,O3,2025-12-04 00:00:00,1.9
Bawana,O3,2025-12-04 01:00:00,2.9
Bawana,O3,2025-12-04 02:00:00,2.4
Bawana,O3,2025-12-04 03:00:00,1.5
Bawana,O3,2025-12-04 04:00:00,2.3
Bawana,O3,2025-12-04 05:00:00,2.8
Bawana,O3,2025-12-04 06:00:00,2.1
Bawana,O3,2025-12-04 07:00:00,1.9
Bawana,O3,2025-12-04 08:00:00,2.6
Bawana,O3,2025-12-04 09:00:00,7.9
Bawana,O3,2025-12-04 10:00:00,22.5
Bawana,O3,2025-12-04 11:00:00,43.0
Bawana,O3,2025-12-04 12:00:00,46.6
Bawana,O3,2025-12-04 13:00:00,53.6
Bawana,O3,2025-12-04 14:00:00,58.3
Bawana,O3,2025-12-04 15:00:00,61.6
Bawana,O3,2025-12-04 16:00:00,58.1
Bawana,O3,2025-12-04 17:00:00,43.4
Bawana,O3,2025-12-04 18:00:00,13.7
Bawana,O3,2025-12-04 19:00:00,2.3
Bawana,O3,2025-12-04 20:00:00,8.3
Bawana,O3,2025-12-04 21:00:00,2.2
Bawana,O3,2025-12-04 22:00:00,2.7
Bawana,O3,2025-12-04 23:00:00,2.2
Bawana,O3,2025-12-05 00:00:00,3.1
Bawana,O3,2025-12-05 01:00:00,6.7
Bawana,O3,2025-12-05 02:00:00,7.4
Bawana,O3,2025-12-05 03:00:00,2.0
Bawana,O3,2025-12-05 04:00:00,1.3
Bawana,O3,2025-12-05 05:00:00,1.5
Bawana,O3,2025-12-05 06:00:00,1.6
Bawana,O3,2025-12-05 07:00:00,1.7
Bawana,O3,2025-12-05 08:00:00,2.3
Bawana,O3,2025-12-05 09:00:00,7.0
Bawana,O3,2025-12-05 10:00:00,20.3
Bawana,O3,2025-12-05 11:00:00,32.8
Bawana,O3,2025-12-05 12:00:00,46.5
Bawana,O3,2025-12-05 13:00:00,59.6
Bawana,O3,2025-12-05 14:00:00,66.6
Bawana,O3,2025-12-05 15:00:00,63.9
Bawana,O3,2025-12-05 16:00:00,56.5
Bawana,O3,2025-12-05 17:00:00,37.9
Bawana,O3,2025-12-05 18:00:00,14.1
Bawana,O3,2025-12-05 19:00:00,2.8
Bawana,O3,2025-12-05 20:00:00,2.0
Bawana,O3,2025-12-05 21:00:00,2.2
Bawana,O3,2025-12-05 22:00:00,1.7
Bawana,O3,2025-12-05 23:00:00,2.2
Bawana,O3,2025-12-06 00:00:00,3.8
