zone,param,timestamp,value
Bawana,PM10,2025-12-01 01:00:00,248.0
Bawana,PM10,2025-12-01 02:00:00,239.0
Bawana,PM10,2025-12-01 03:00:00,248.0
Bawana,PM10,2025-12-01 04:00:00,263.0
Bawana,PM10,2025-12-01 05:00:00,304.0
Bawana,PM10,2025-12-01 06:00:00,340.0
Bawana,PM10,2025-12-01 07:00:00,339.0
Bawana,PM10,2025-12-01 08:00:00,522.0
Bawana,PM10,2025-12-01 09:00:00,374.0
Bawana,PM10,2025-12-01 10:00:00,343.0
Bawana,PM10,2025-12-01 11:00:00,271.0
Bawana,PM10,2025-12-01 12:00:00,196.0
Bawana,PM10,2025-12-01 13:00:00,
Bawana,PM10,2025-12-01 14:00:00,145.0
Bawana,PM10,2025-12-01 15:00:00,171.0
Bawana,PM10,2025-12-01 16:00:00,161.0
Bawana,PM10,2025-12-01 17:00:00,195.0
Bawana,PM10,2025-12-01 18:00:00,392.0
Bawana,PM10,2025-12-01 19:00:00,563.0
Bawana,PM10,2025-12-01 20:00:00,420.0
Bawana,PM10,2025-12-01 21:00:00,613.0
Bawana,PM10,2025-12-01 22:00:00,692.0
Bawana,PM10,2025-12-01 23:00:00,832.0
Bawana,PM10,2025-12-02 00:00:00,545.0
Bawana,PM10,2025-12-02 01:00:00,483.0
Bawana,PM10,2025-12-02 02:00:00,447.0
Bawana,PM10,2025-12-02 03:00:00,398.0
Bawana,PM10,2025-12-02 04:00:00,340.0
Bawana,PM10,2025-12-02 05:00:00,379.0
Bawana,PM10,2025-12-02 06:00:00,428.0
Bawana,PM10,2025-12-02 07:00:00,351.0
Bawana,PM10,2025-12-02 08:00:00,393.0
Bawana,PM10,2025-12-02 09:00:00,488.0
Bawana,PM10,2025-12-02 10:00:00,483.0
Bawana,PM10,2025-12-02 11:00:00,401.0
Bawana,PM10,2025-12-02 12:00:00,329.0
Bawana,PM10,2025-12-02 13:00:00,335.0
Bawana,PM10,2025-12-02 14:00:00,337.0
Bawana,PM10,2025-12-02 17:00:00,
Bawana,PM10,2025-12-02 18:00:00,436.0
Bawana,PM10,2025-12-02 19:00:00,516.0
Bawana,PM10,2025-12-02 20:00:00,483.0
Bawana,PM10,2025-12-02 21:00:00,410.0
Bawana,PM10,2025-12-02 22:00:00,309.0
Bawana,PM10,2025-12-02 23:00:00,364.0
Bawana,PM10,2025-12-03 12:00:00,244.0
Bawana,PM10,2025-12-03 13:00:00,216.0
Bawana,PM10,2025-12-03 14:00:00,190.0
Bawana,PM10,2025-12-03 15:00:00,175.0
Bawana,PM10,2025-12-03 16:00:00,184.0
Bawana,PM10,2025-12-03 17:00:00,156.0
Bawana,PM10,2025-12-03 18:00:00,277.0
Bawana,PM10,2025-12-03 19:00:00,376.0
Bawana,PM10,2025-12-03 20:00:00,395.0
Bawana,PM10,2025-12-03 21:00:00,364.0
Bawana,PM10,2025-12-03 22:00:00,365.0
Bawana,PM10,2025-12-03 23:00:00,351.0
Bawana,PM10,2025-12-04 00:00:00,318.0
Bawana,PM10,2025-12-04 01:00:00,240.0
