zone,param,timestamp,value
Dwarka,NO2,2025-10-01 01:00:00,27.8
Dwarka,NO2,2025-10-01 02:00:00,23.0
Dwarka,NO2,2025-10-01 03:00:00,20.0
Dwarka,NO2,2025-10-01 04:00:00,48.6
Dwarka,NO2,2025-10-01 05:00:00,47.5
Dwarka,NO2,2025-10-01 06:00:00,44.0
Dwarka,NO2,2025-10-01 07:00:00,41.0
Dwarka,NO2,2025-10-01 08:00:00,36.8
Dwarka,NO2,2025-10-01 09:00:00,37.0
Dwarka,NO2,2025-10-01 10:00:00,35.8
Dwarka,NO2,2025-10-01 11:00:00,28.0
Dwarka,NO2,2025-10-01 12:00:00,33.4
Dwarka,NO2,2025-10-01 13:00:00,17.0
Dwarka,NO2,2025-10-01 14:00:00,43.7
Dwarka,NO2,2025-10-01 15:00:00,32.0
Dwarka,NO2,2025-10-01 16:00:00,47.6
Dwarka,NO2,2025-10-01 17:00:00,102.6
Dwarka,NO2,2025-10-01 18:00:00,103.6
Dwarka,NO2,2025-10-01 19:00:00,172.9
Dwarka,NO2,2025-10-01 20:00:00,89.6
Dwarka,NO2,2025-10-01 21:00:00,105.8
Dwarka,NO2,2025-10-01 22:00:00,98.4
Dwarka,NO2,2025-10-01 23:00:00,85.1
Dwarka,NO2,2025-10-02 00:00:00,70.1
Dwarka,NO2,2025-10-02 01:00:00,51.3
Dwarka,NO2,2025-10-02 02:00:00,49.2
Dwarka,NO2,2025-10-02 03:00:00,43.3
Dwarka,NO2,2025-10-02 04:00:00,29.6
Dwarka,NO2,2025-10-02 05:00:00,37.4
Dwarka,NO2,2025-10-02 06:00:00,40.5
Dwarka,NO2,2025-10-02 07:00:00,51.2
Dwarka,NO2,2025-10-02 08:00:00,39.9
Dwarka,NO2,2025-10-02 09:00:00,33.2
Dwarka,NO2,2025-10-02 10:00:00,30.9
Dwarka,NO2,2025-10-02 11:00:00,24.6
Dwarka,NO2,2025-10-02 12:00:00,39.4
Dwarka,NO2,2025-10-02 13:00:00,43.0
Dwarka,NO2,2025-10-03 11:00:00,31.8
Dwarka,NO2,2025-10-03 12:00:00,21.3
Dwarka,NO2,2025-10-03 13:00:00,19.2
Dwarka,NO2,2025-10-03 14:00:00,21.0
Dwarka,NO2,2025-10-03 15:00:00,30.3
Dwarka,NO2,2025-10-03 16:00:00,26.6
Dwarka,NO2,2025-10-03 17:00:00,21.6
