zone,param,timestamp,value
Jahangirpuri,PM10,2025-12-01 01:00:00,340.0
Jahangirpuri,PM10,2025-12-01 02:00:00,413.1
Jahangirpuri,PM10,2025-12-01 03:00:00,389.3
Jahangirpuri,PM10,2025-12-01 04:00:00,340.0
Jahangirpuri,PM10,2025-12-01 05:00:00,350.2
Jahangirpuri,PM10,2025-12-01 06:00:00,362.1
Jahangirpuri,PM10,2025-12-01 07:00:00,350.2
Jahangirpuri,PM10,2025-12-01 08:00:00,340.0
Jahangirpuri,PM10,2025-12-01 09:00:00,358.7
Jahangirpuri,PM10,2025-12-01 10:00:00,379.1
Jahangirpuri,PM10,2025-12-01 11:00:00,334.9
Jahangirpuri,PM10,2025-12-01 12:00:00,377.4
Jahangirpuri,PM10,2025-12-01 13:00:00,193.8
Jahangirpuri,PM10,2025-12-01 14:00:00,137.7
Jahangirpuri,PM10,2025-12-01 15:00:00,125.8
Jahangirpuri,PM10,2025-12-01 16:00:00,137.7
Jahangirpuri,PM10,2025-12-01 17:00:00,161.5
Jahangirpuri,PM10,2025-12-01 18:00:00,205.7
Jahangirpuri,PM10,2025-12-01 19:00:00,343.4
Jahangirpuri,PM10,2025-12-01 20:00:00,340.0
Jahangirpuri,PM10,2025-12-01 21:00:00,511.7
Jahangirpuri,PM10,2025-12-01 22:00:00,464.1
Jahangirpuri,PM10,2025-12-01 23:00:00,547.4
Jahangirpuri,PM10,2025-12-02 00:00:00,489.6
Jahangirpuri,PM10,2025-12-02 01:00:00,555.9
Jahangirpuri,PM10,2025-12-02 02:00:00,537.2
Jahangirpuri,PM10,2025-12-02 03:00:00,469.2
Jahangirpuri,PM10,2025-12-02 04:00:00,385.9
Jahangirpuri,PM10,2025-12-02 05:00:00,357.0
Jahangirpuri,PM10,2025-12-02 06:00:00,397.8
Jahangirpuri,PM10,2025-12-02 07:00:00,435.2
Jahangirpuri,PM10,2025-12-02 08:00:00,527.0
Jahangirpuri,PM10,2025-12-02 09:00:00,618.8
Jahangirpuri,PM10,2025-12-02 10:00:00,606.9
Jahangirpuri,PM10,2025-12-02 11:00:00,686.8
Jahangirpuri,PM10,2025-12-02 12:00:00,511.7
Jahangirpuri,PM10,2025-12-02 13:00:00,418.2
Jahangirpuri,PM10,2025-12-02 14:00:00,380.8
Jahangirpuri,PM10,2025-12-02 15:00:00,321.3
Jahangirpuri,PM10,2025-12-02 16:00:00,265.2
Jahangirpuri,PM10,2025-12-02 17:00:00,283.9
Jahangirpuri,PM10,2025-12-02 18:00:00,302.6
Jahangirpuri,PM10,2025-12-02 19:00:00,557.6
Jahangirpuri,PM10,2025-12-02 20:00:00,725.9
Jahangirpuri,PM10,2025-12-02 21:00:00,535.5
Jahangirpuri,PM10,2025-12-02 22:00:00,511.7
Jahangirpuri,PM10,2025-12-02 23:00:00,576.3
Jahangirpuri,PM10,2025-12-03 00:00:00,389.3
Jahangirpuri,PM10,2025-12-03 01:00:00,324.7
Jahangirpuri,PM10,2025-12-03 11:00:00,314.5
Jahangirpuri,PM10,2025-12-03 12:00:00,275.4
Jahangirpuri,PM10,2025-12-03 13:00:00,207.4
Jahangirpuri,PM10,2025-12-03 14:00:00,180.2
Jahangirpuri,PM10,2025-12-03 15:00:00,151.3
