zone,param,timestamp,value
Jahangirpuri,SO2,2025-12-01 01:00:00,24.4
Jahangirpuri,SO2,2025-12-01 02:00:00,24.7
Jahangirpuri,SO2,2025-12-01 03:00:00,25.1
Jahangirpuri,SO2,2025-12-01 04:00:00,24.3
Jahangirpuri,SO2,2025-12-01 05:00:00,26.2
Jahangirpuri,SO2,2025-12-01 06:00:00,30.4
Jahangirpuri,SO2,2025-12-01 07:00:00,33.6
Jahangirpuri,SO2,2025-12-01 08:00:00,28.7
Jahangirpuri,SO2,2025-12-01 09:00:00,35.9
Jahangirpuri,SO2,2025-12-01 10:00:00,37.9
Jahangirpuri,SO2,2025-12-01 11:00:00,34.8
Jahangirpuri,SO2,2025-12-01 12:00:00,31.5
Jahangirpuri,SO2,2025-12-01 13:00:00,27.7
Jahangirpuri,SO2,2025-12-01 14:00:00,26.5
Jahangirpuri,SO2,2025-12-01 15:00:00,25.4
Jahangirpuri,SO2,2025-12-01 16:00:00,22.4
Jahangirpuri,SO2,2025-12-01 17:00:00,21.0
Jahangirpuri,SO2,2025-12-01 18:00:00,22.3
Jahangirpuri,SO2,2025-12-01 19:00:00,21.9
Jahangirpuri,SO2,2025-12-01 20:00:00,24.3
Jahangirpuri,SO2,2025-12-01 21:00:00,24.8
Jahangirpuri,SO2,2025-12-01 22:00:00,26.0
Jahangirpuri,SO2,2025-12-01 23:00:00,26.8
Jahangirpuri,SO2,2025-12-02 00:00:00,28.3
Jahangirpuri,SO2,2025-12-02 01:00:00,30.6
Jahangirpuri,SO2,2025-12-02 02:00:00,32.1
Jahangirpuri,SO2,2025-12-02 03:00:00,33.2
Jahangirpuri,SO2,2025-12-02 04:00:00,33.1
Jahangirpuri,SO2,2025-12-02 05:00:00,24.4
Jahangirpuri,SO2,2025-12-02 06:00:00,25.1
Jahangirpuri,SO2,2025-12-02 07:00:00,26.5
Jahangirpuri,SO2,2025-12-02 08:00:00,30.5
Jahangirpuri,SO2,2025-12-02 09:00:00,39.9
Jahangirpuri,SO2,2025-12-02 10:00:00,64.5
Jahangirpuri,SO2,2025-12-02 11:00:00,61.2
Jahangirpuri,SO2,2025-12-02 12:00:00,49.8
Jahangirpuri,SO2,2025-12-02 13:00:00,46.3
Jahangirpuri,SO2,2025-12-02 14:00:00,42.1
Jahangirpuri,SO2,2025-12-02 15:00:00,32.1
Jahangirpuri,SO2,2025-12-02 16:00:00,27.7
Jahangirpuri,SO2,2025-12-02 17:00:00,22.5
Jahangirpuri,SO2,2025-12-02 18:00:00,19.2
Jahangirpuri,SO2,2025-12-02 19:00:00,26.0
Jahangirpuri,SO2,2025-12-02 20:00:00,32.8
Jahangirpuri,SO2,2025-12-02 21:00:00,34.8
Jahangirpuri,SO2,2025-12-02 22:00:00,30.8
Jahangirpuri,SO2,2025-12-02 23:00:00,28.9
Jahangirpuri,SO2,2025-12-03 00:00:00,26.4
Jahangirpuri,SO2,2025-12-03 01:00:00,
Jahangirpuri,SO2,2025-12-03 11:00:00,36.1
Jahangirpuri,SO2,2025-12-03 12:00:00,31.2
Jahangirpuri,SO2,2025-12-03 13:00:00,25.0
Jahangirpuri,SO2,2025-12-03 14:00:00,20.4
Jahangirpuri,SO2,2025-12-03 15:00:00,17.4
Jahangirpuri,SO2,2025-12-03 16:00:00,17.2
Jahangirpuri,SO2,2025-12-03 17:00:00,19.5
Jahangirpuri,SO2,2025-12-03 19:00:00,33.1
Jahangirpuri,SO2,2025-12-03 20:00:00,37.1
Jahangirpuri,SO2,2025-12-03 21:00:00,35.9
Jahangirpuri,SO2,2025-12-03 22:00:00,41.4
Jahangirpuri,SO2,2025-12-03 23:00:00,26.2
Jahangirpuri,SO2,2025-12-04 00:00:00,22.0
Jahangirpuri,SO2,2025-12-04 01:00:00,22.2
Jahangirpuri,SO2,2025-12-04 02:00:00,19.7
Jahangirpuri,SO2,2025-12-04 03:00:00,22.6
Jahangirpuri,SO2,2025-12-04 04:00:00,19.1
Jahangirpuri,SO2,2025-12-04 05:00:00,27.7
Jahangirpuri,SO2,2025-12-04 06:00:00,32.8
Jahangirpuri,SO2,2025-12-04 07:00:00,36.0
Jahangirpuri,SO2,2025-12-04 08:00:00,32.2
Jahangirpuri,SO2,2025-12-04 09:00:00,26.8
Jahangirpuri,SO2,2025-12-04 10:00:00,25.4
Jahangirpuri,SO2,2025-12-04 11:00:00,26.4
Jahangirpuri,SO2,2025-12-04 12:00:00,25.0
Jahangirpuri,SO2,2025-12-04 13:00:00,42.5
Jahangirpuri,SO2,2025-12-04 14:00:00,34.1
Jahangirpuri,SO2,2025-12-04 15:00:00,24.4
Jahangirpuri,SO2,2025-12-04 16:00:00,27.0
Jahangirpuri,SO2,2025-12-04 17:00:00,22.4
Jahangirpuri,SO2,2025-12-04 18:00:00,22.2
Jahangirpuri,SO2,2025-12-04 19:00:00,30.0
Jahangirpuri,SO2,2025-12-04 20:00:00,42.2
Jahangirpuri,SO2,2025-12-04 21:00:00,38.7
Jahangirpuri,SO2,2025-12-04 22:00:00,29.0
Jahangirpuri,SO2,2025-12-04 23:00:00,45.5
Jahangirpuri,SO2,2025-12-05 00:00:00,33.1
Jahangirpuri,SO2,2025-12-05 01:00:00,35.0
Jahangirpuri,SO2,2025-12-05 02:00:00,25.1
Jahangirpuri,SO2,2025-12-05 03:00:00,24.4
Jahangirpuri,SO2,2025-12-05 04:00:00,25.7
Jahangirpuri,SO2,2025-12-05 05:00:00,46.0
Jahangirpuri,SO2,2025-12-05 06:00:00,42.4
Jahangirpuri,SO2,2025-12-05 07:00:00,39.5
Jahangirpuri,SO2,2025-12-05 08:00:00,45.4
Jahangirpuri,SO2,2025-12-05 09:00:00,44.1
Jahangirpuri,SO2,2025-12-05 10:00:00,40.4
Jahangirpuri,SO2,2025-12-05 11:00:00,37.4
Jahangirpuri,SO2,2025-12-05 12:00:00,33.6
Jahangirpuri,SO2,2025-12-05 13:00:00,33.3
Jahangirpuri,SO2,2025-12-05 14:00:00,27.1
Jahangirpuri,SO2,2025-12-05 15:00:00,20.0
Jahangirpuri,SO2,2025-12-05 16:00:00,21.4
Jahangirpuri,SO2,2025-12-05 17:00:00,22.5
Jahangirpuri,SO2,2025-12-05 18:00:00,27.0
Jahangirpuri,SO2,2025-12-05 19:00:00,33.9
Jahangirpuri,SO2,2025-12-05 20:00:00,37.6
Jahangirpuri,SO2,2025-12-05 21:00:00,41.2
Jahangirpuri,SO2,2025-12-05 22:00:00,38.8
Jahangirpuri,SO2,2025-12-05 23:00:00,36.0
Jahangirpuri,SO2,2025-12-06 00:00:00,32.7
Jahangirpuri,SO2,2025-12-06 01:00:00,28.2
Jahangirpuri,SO2,2025-12-06 02:00:00,27.8
Jahangirpuri,SO2,2025-12-06 03:00:00,28.8
Jahangirpuri,SO2,2025-12-06 04:00:00,36.9
Jahangirpuri,SO2,2025-12-06 05:00:00,29.7
Jahangirpuri,SO2,2025-12-06 06:00:00,26.7
Jahangirpuri,SO2,2025-12-06 07:00:00,24.0
Jahangirpuri,SO2,2025-12-06 08:00:00,26.1
Jahangirpuri,SO2,2025-12-06 09:00:00,31.6
Jahangirpuri,SO2,2025-12-06 10:00:00,28.7
Jahangirpuri,SO2,2025-12-06 11:00:00,23.9
Jahangirpuri,SO2,2025-12-06 12:00:00,21.8
Jahangirpuri,SO2,2025-12-06 13:00:00,19.7
Jahangirpuri,SO2,2025-12-06 14:00:00,14.3
Jahangirpuri,SO2,2025-12-06 15:00:00,
Jahangirpuri,SO2,2025-12-06 16:00:00,9.1
Jahangirpuri,SO2,2025-12-06 17:00:00,32.5
Jahangirpuri,SO2,2025-12-06 18:00:00,30.2
Jahangirpuri,SO2,2025-12-06 19:00:00,46.6
Jahangirpuri,SO2,2025-12-06 20:00:00,69.7
Jahangirpuri,SO2,2025-12-06 21:00:00,52.5
Jahangirpuri,SO2,2025-12-06 22:00:00,50.6
Jahangirpuri,SO2,2025-12-06 23:00:00,30.2
Jahangirpuri,SO2,2025-12-07 00:00:00,22.4
