zone,param,timestamp,value
Mundka,NO2,2025-12-01 03:00:00,95.7
Mundka,NO2,2025-12-01 11:00:00,86.3
Mundka,NO2,2025-12-01 12:00:00,83.2
Mundka,NO2,2025-12-01 13:00:00,83.8
Mundka,NO2,2025-12-01 14:00:00,82.8
Mundka,NO2,2025-12-01 15:00:00,88.9
Mundka,NO2,2025-12-01 16:00:00,78.9
Mundka,NO2,2025-12-01 17:00:00,80.9
Mundka,NO2,2025-12-01 18:00:00,110.6
Mundka,NO2,2025-12-01 19:00:00,137.8
Mundka,NO2,2025-12-01 22:00:00,146.7
Mundka,NO2,2025-12-01 23:00:00,116.1
Mundka,NO2,2025-12-02 00:00:00,145.2
Mundka,NO2,2025-12-02 01:00:00,108.0
Mundka,NO2,2025-12-02 02:00:00,105.2
Mundka,NO2,2025-12-02 03:00:00,108.1
Mundka,NO2,2025-12-02 04:00:00,102.5
Mundka,NO2,2025-12-02 05:00:00,99.9
Mundka,NO2,2025-12-02 06:00:00,108.6
Mundka,NO2,2025-12-02 07:00:00,106.3
Mundka,NO2,2025-12-02 08:00:00,105.1
Mundka,NO2,2025-12-02 09:00:00,130.0
Mundka,NO2,2025-12-02 10:00:00,148.4
Mundka,NO2,2025-12-02 11:00:00,144.5
Mundka,NO2,2025-12-02 12:00:00,130.3
Mundka,NO2,2025-12-02 13:00:00,110.2
Mundka,NO2,2025-12-02 14:00:00,109.2
Mundka,NO2,2025-12-02 15:00:00,98.5
Mundka,NO2,2025-12-02 16:00:00,82.3
Mundka,NO2,2025-12-02 17:00:00,137.3
Mundka,NO2,2025-12-02 18:00:00,175.9
Mundka,NO2,2025-12-02 19:00:00,144.9
Mundka,NO2,2025-12-02 20:00:00,127.0
Mundka,NO2,2025-12-02 21:00:00,110.8
Mundka,NO2,2025-12-02 22:00:00,115.0
Mundka,NO2,2025-12-02 23:00:00,95.2
Mundka,NO2,2025-12-03 00:00:00,96.1
Mundka,NO2,2025-12-03 12:00:00,85.9
Mundka,NO2,2025-12-03 13:00:00,82.2
Mundka,NO2,2025-12-03 14:00:00,82.0
Mundka,NO2,2025-12-03 15:00:00,77.0
Mundka,NO2,2025-12-03 16:00:00,80.4
Mundka,NO2,2025-12-03 17:00:00,97.1
Mundka,NO2,2025-12-03 18:00:00,123.2
Mundka,NO2,2025-12-03 19:00:00,133.0
Mundka,NO2,2025-12-03 20:00:00,130.0
Mundka,NO2,2025-12-03 21:00:00,129.5
Mundka,NO2,2025-12-03 22:00:00,71.1
Mundka,NO2,2025-12-03 23:00:00,111.6
Mundka,NO2,2025-12-04 00:00:00,108.3
Mundka,NO2,2025-12-04 01:00:00,99.2
Mundka,NO2,2025-12-04 02:00:00,98.4
Mundka,NO2,2025-12-04 03:00:00,99.9
Mundka,NO2,2025-12-04 04:00:00,97.8
Mundka,NO2,2025-12-04 05:00:00,89.4
Mundka,NO2,2025-12-04 06:00:00,82.8
Mundka,NO2,2025-12-04 07:00:00,75.7
Mundka,NO2,2025-12-04 08:00:00,93.2
Mundka,NO2,2025-12-04 09:00:00,103.8
Mundka,NO2,2025-12-04 10:00:00,80.5
Mundka,NO2,2025-12-04 11:00:00,80.6
Mundka,NO2,2025-12-04 12:00:00,88.3
Mundka,NO2,2025-12-04 13:00:00,77.4
Mundka,NO2,2025-12-04 14:00:00,81.5
Mundka,NO2,2025-12-04 15:00:00,71.8
Mundka,NO2,2025-12-04 16:00:00,78.5
Mundka,NO2,2025-12-04 17:00:00,86.0
Mundka,NO2,2025-12-04 18:00:00,140.8
Mundka,NO2,2025-12-04 19:00:00,133.8
Mundka,NO2,2025-12-04 20:00:00,132.1
Mundka,NO2,2025-12-04 21:00:00,126.4
Mundka,NO2,2025-12-04 22:00:00,124.0
Mundka,NO2,2025-12-04 23:00:00,105.7
Mundka,NO2,2025-12-05 00:00:00,113.3
Mundka,NO2,2025-12-05 01:00:00,112.5
Mundka,NO2,2025-12-05 02:00:00,98.3
Mundka,NO2,2025-12-05 08:00:00,96.0
Mundka,NO2,2025-12-05 11:00:00,
Mundka,NO2,2025-12-05 12:00:00,56.0
Mundka,NO2,2025-12-05 13:00:00,41.2
Mundka,NO2,2025-12-05 14:00:00,26.9
Mundka,NO2,2025-12-05 15:00:00,40.4
Mundka,NO2,2025-12-05 16:00:00,51.5
Mundka,NO2,2025-12-05 17:00:00,62.2
Mundka,NO2,2025-12-05 18:00:00,99.4
Mundka,NO2,2025-12-05 19:00:00,98.7
Mundka,NO2,2025-12-05 20:00:00,129.1
Mundka,NO2,2025-12-05 21:00:00,109.3
Mundka,NO2,2025-12-05 22:00:00,106.1
Mundka,NO2,2025-12-05 23:00:00,101.2
Mundka,NO2,2025-12-06 00:00:00,104.0
Mundka,NO2,2025-12-06 01:00:00,87.0
Mundka,NO2,2025-12-06 02:00:00,97.2
Mundka,NO2,2025-12-06 03:00:00,80.8
Mundka,NO2,2025-12-06 04:00:00,82.7
Mundka,NO2,2025-12-06 08:00:00,63.9
Mundka,NO2,2025-12-06 09:00:00,70.8
Mundka,NO2,2025-12-06 10:00:00,62.2
Mundka,NO2,2025-12-06 11:00:00,43.9
Mundka,NO2,2025-12-06 12:00:00,61.6
Mundka,NO2,2025-12-06 13:00:00,61.2
Mundka,NO2,2025-12-06 14:00:00,49.3
Mundka,NO2,2025-12-06 15:00:00,49.2
Mundka,NO2,2025-12-06 16:00:00,57.0
Mundka,NO2,2025-12-06 17:00:00,82.6
Mundka,NO2,2025-12-06 18:00:00,64.1
Mundka,NO2,2025-12-06 19:00:00,85.6
Mundka,NO2,2025-12-06 20:00:00,73.0
Mundka,NO2,2025-12-06 21:00:00,118.8
Mundka,NO2,2025-12-06 22:00:00,114.1
Mundka,NO2,2025-12-06 23:00:00,73.9
Mundka,NO2,2025-12-07 00:00:00,88.0
