zone,param,timestamp,value
Mundka,O3,2025-12-01 03:00:00,1.6
Mundka,O3,2025-12-01 11:00:00,44.3
Mundka,O3,2025-12-01 12:00:00,58.3
Mundka,O3,2025-12-01 13:00:00,77.1
Mundka,O3,2025-12-01 14:00:00,83.0
Mundka,O3,2025-12-01 15:00:00,97.3
Mundka,O3,2025-12-01 16:00:00,81.8
Mundka,O3,2025-12-01 17:00:00,58.5
Mundka,O3,2025-12-01 18:00:00,22.9
Mundka,O3,2025-12-01 19:00:00,3.0
Mundka,O3,2025-12-01 22:00:00,1.5
Mundka,O3,2025-12-01 23:00:00,2.0
Mundka,O3,2025-12-02 00:00:00,2.1
Mundka,O3,2025-12-02 01:00:00,2.5
Mundka,O3,2025-12-02 02:00:00,2.5
Mundka,O3,2025-12-02 03:00:00,2.2
Mundka,O3,2025-12-02 04:00:00,2.8
Mundka,O3,2025-12-02 05:00:00,3.2
Mundka,O3,2025-12-02 06:00:00,3.1
Mundka,O3,2025-12-02 07:00:00,2.6
Mundka,O3,2025-12-02 08:00:00,4.0
Mundka,O3,2025-12-02 09:00:00,3.9
Mundka,O3,2025-12-02 10:00:00,13.0
Mundka,O3,2025-12-02 11:00:00,39.9
Mundka,O3,2025-12-02 12:00:00,66.7
Mundka,O3,2025-12-02 13:00:00,84.9
Mundka,O3,2025-12-02 14:00:00,89.9
Mundka,O3,2025-12-02 15:00:00,97.2
Mundka,O3,2025-12-02 16:00:00,74.7
Mundka,O3,2025-12-02 17:00:00,25.6
Mundka,O3,2025-12-02 18:00:00,2.7
Mundka,O3,2025-12-02 19:00:00,11.7
Mundka,O3,2025-12-02 20:00:00,13.9
Mundka,O3,2025-12-02 21:00:00,9.7
Mundka,O3,2025-12-02 22:00:00,2.3
Mundka,O3,2025-12-02 23:00:00,5.2
Mundka,O3,2025-12-03 00:00:00,3.3
Mundka,O3,2025-12-03 12:00:00,63.0
Mundka,O3,2025-12-03 13:00:00,65.4
Mundka,O3,2025-12-03 14:00:00,63.7
Mundka,O3,2025-12-03 15:00:00,63.2
Mundka,O3,2025-12-03 16:00:00,55.5
Mundka,O3,2025-12-03 17:00:00,32.9
Mundka,O3,2025-12-03 18:00:00,9.6
Mundka,O3,2025-12-03 19:00:00,4.5
Mundka,O3,2025-12-03 20:00:00,0.0
Mundka,O3,2025-12-03 21:00:00,0.0
Mundka,O3,2025-12-03 22:00:00,0.0
Mundka,O3,2025-12-03 23:00:00,0.0
Mundka,O3,2025-12-04 00:00:00,0.0
Mundka,O3,2025-12-04 01:00:00,0.0
Mundka,O3,2025-12-04 02:00:00,0.0
Mundka,O3,2025-12-04 03:00:00,0.0
Mundka,O3,2025-12-04 04:00:00,0.0
Mundka,O3,2025-12-04 05:00:00,0.0
Mundka,O3,2025-12-04 06:00:00,0.0
Mundka,O3,2025-12-04 07:00:00,0.0
Mundka,O3,2025-12-04 08:00:00,0.0
Mundka,O3,2025-12-04 09:00:00,0.0
Mundka,O3,2025-12-04 10:00:00,0.0
Mundka,O3,2025-12-04 11:00:00,0.0
Mundka,O3,2025-12-04 12:00:00,0.0
Mundka,O3,2025-12-04 13:00:00,53.8
Mundka,O3,2025-12-04 14:00:00,62.5
Mundka,O3,2025-12-04 15:00:00,68.6
Mundka,O3,2025-12-04 16:00:00,65.4
Mundka,O3,2025-12-04 17:00:00,45.6
Mundka,O3,2025-12-04 18:00:00,1.9
Mundka,O3,2025-12-04 19:00:00,2.1
Mundka,O3,2025-12-04 20:00:00,1.9
Mundka,O3,2025-12-04 21:00:00,1.6
Mundka,O3,2025-12-04 22:00:00,1.9
Mundka,O3,2025-12-04 23:00:00,1.6
Mundka,O3,2025-12-05 00:00:00,2.2
Mundka,O3,2025-12-05 01:00:00,1.9
Mundka,O3,2025-12-05 02:00:00,2.1
Mundka,O3,2025-12-05 08:00:00,
Mundka,O3,2025-12-05 11:00:00,0.0
Mundka,O3,2025-12-05 12:00:00,0.0
Mundka,O3,2025-12-05 13:00:00,102.1
Mundka,O3,2025-12-05 14:00:00,113.2
Mundka,O3,2025-12-05 15:00:00,112.5
Mundka,O3,2025-12-05 16:00:00,99.5
Mundka,O3,2025-12-05 17:00:00,63.2
Mundka,O3,2025-12-05 18:00:00,29.9
Mundka,O3,2025-12-05 19:00:00,38.9
Mundka,O3,2025-12-05 20:00:00,7.2
Mundka,O3,2025-12-05 21:00:00,6.5
Mundka,O3,2025-12-05 22:00:00,7.8
Mundka,O3,2025-12-05 23:00:00,7.0
Mundka,O3,2025-12-06 00:00:00,6.2
Mundka,O3,2025-12-06 01:00:00,5.6
Mundka,O3,2025-12-06 02:00:00,5.8
Mundka,O3,2025-12-06 03:00:00,6.7
Mundka,O3,2025-12-06 04:00:00,3.8
Mundka,O3,2025-12-06 08:00:00,9.1
Mundka,O3,2025-12-06 09:00:00,15.5
Mundka,O3,2025-12-06 10:00:00,38.3
Mundka,O3,2025-12-06 11:00:00,79.7
Mundka,O3,2025-12-06 12:00:00,80.6
Mundka,O3,2025-12-06 13:00:00,88.1
Mundka,O3,2025-12-06 14:00:00,102.0
Mundka,O3,2025-12-06 15:00:00,104.4
Mundka,O3,2025-12-06 16:00:00,95.1
Mundka,O3,2025-12-06 17:00:00,59.7
Mundka,O3,2025-12-06 18:00:00,65.5
Mundka,O3,2025-12-06 19:00:00,46.1
Mundka,O3,2025-12-06 20:00:00,59.3
Mundka,O3,2025-12-06 21:00:00,5.8
Mundka,O3,2025-12-06 22:00:00,5.3
Mundka,O3,2025-12-06 23:00:00,28.6
Mundka,O3,2025-12-07 00:00:00,7.9
