zone,param,timestamp,value
Mundka,PM2.5,2025-12-01 03:00:00,193.0
Mundka,PM2.5,2025-12-01 11:00:00,133.0
Mundka,PM2.5,2025-12-01 12:00:00,99.0
Mundka,PM2.5,2025-12-01 13:00:00,99.0
Mundka,PM2.5,2025-12-01 14:00:00,107.0
Mundka,PM2.5,2025-12-01 15:00:00,89.0
Mundka,PM2.5,2025-12-01 16:00:00,84.0
Mundka,PM2.5,2025-12-01 17:00:00,90.0
Mundka,PM2.5,2025-12-01 18:00:00,117.0
Mundka,PM2.5,2025-12-01 19:00:00,228.0
Mundka,PM2.5,2025-12-01 22:00:00,318.0
Mundka,PM2.5,2025-12-01 23:00:00,353.0
Mundka,PM2.5,2025-12-02 00:00:00,353.0
Mundka,PM2.5,2025-12-02 01:00:00,409.0
Mundka,PM2.5,2025-12-02 02:00:00,374.0
Mundka,PM2.5,2025-12-02 03:00:00,350.0
Mundka,PM2.5,2025-12-02 04:00:00,290.0
Mundka,PM2.5,2025-12-02 05:00:00,265.0
Mundka,PM2.5,2025-12-02 06:00:00,259.0
Mundka,PM2.5,2025-12-02 07:00:00,235.0
Mundka,PM2.5,2025-12-02 08:00:00,342.0
Mundka,PM2.5,2025-12-02 09:00:00,361.0
Mundka,PM2.5,2025-12-02 10:00:00,360.0
Mundka,PM2.5,2025-12-02 11:00:00,250.0
Mundka,PM2.5,2025-12-02 12:00:00,221.0
Mundka,PM2.5,2025-12-02 13:00:00,200.0
Mundka,PM2.5,2025-12-02 14:00:00,235.0
Mundka,PM2.5,2025-12-02 15:00:00,205.0
Mundka,PM2.5,2025-12-02 16:00:00,180.0
Mundka,PM2.5,2025-12-02 17:00:00,153.0
Mundka,PM2.5,2025-12-02 18:00:00,195.0
Mundka,PM2.5,2025-12-02 19:00:00,215.0
Mundka,PM2.5,2025-12-02 20:00:00,241.0
Mundka,PM2.5,2025-12-02 21:00:00,256.0
Mundka,PM2.5,2025-12-02 22:00:00,271.0
Mundka,PM2.5,2025-12-02 23:00:00,278.0
Mundka,PM2.5,2025-12-03 00:00:00,262.0
Mundka,PM2.5,2025-12-03 12:00:00,138.0
Mundka,PM2.5,2025-12-03 13:00:00,110.0
Mundka,PM2.5,2025-12-03 14:00:00,90.0
Mundka,PM2.5,2025-12-03 15:00:00,67.0
Mundka,PM2.5,2025-12-03 16:00:00,61.0
Mundka,PM2.5,2025-12-03 17:00:00,69.0
Mundka,PM2.5,2025-12-03 18:00:00,92.0
Mundka,PM2.5,2025-12-03 19:00:00,151.0
Mundka,PM2.5,2025-12-03 20:00:00,302.0
Mundka,PM2.5,2025-12-03 21:00:00,329.0
Mundka,PM2.5,2025-12-03 22:00:00,282.0
Mundka,PM2.5,2025-12-03 23:00:00,342.0
Mundka,PM2.5,2025-12-04 00:00:00,323.0
Mundka,PM2.5,2025-12-04 01:00:00,239.0
Mundka,PM2.5,2025-12-04 02:00:00,223.0
Mundka,PM2.5,2025-12-04 03:00:00,224.0
Mundka,PM2.5,2025-12-04 04:00:00,273.0
Mundka,PM2.5,2025-12-04 05:00:00,248.0
Mundka,PM2.5,2025-12-04 06:00:00,224.0
Mundka,PM2.5,2025-12-04 07:00:00,200.0
Mundka,PM2.5,2025-12-04 08:00:00,190.0
Mundka,PM2.5,2025-12-04 09:00:00,238.0
Mundka,PM2.5,2025-12-04 10:00:00,246.0
Mundka,PM2.5,2025-12-04 11:00:00,183.0
Mundka,PM2.5,2025-12-04 12:00:00,143.0
Mundka,PM2.5,2025-12-04 13:00:00,
Mundka,PM2.5,2025-12-04 14:00:00,103.0
Mundka,PM2.5,2025-12-04 15:00:00,116.0
Mundka,PM2.5,2025-12-04 16:00:00,89.0
Mundka,PM2.5,2025-12-04 17:00:00,96.0
Mundka,PM2.5,2025-12-04 18:00:00,132.0
Mundka,PM2.5,2025-12-04 19:00:00,216.0
Mundka,PM2.5,2025-12-04 20:00:00,262.0
Mundka,PM2.5,2025-12-04 21:00:00,265.0
Mundka,PM2.5,2025-12-04 22:00:00,287.0
Mundka,PM2.5,2025-12-04 23:00:00,541.0
Mundka,PM2.5,2025-12-05 00:00:00,390.0
Mundka,PM2.5,2025-12-05 01:00:00,263.0
Mundka,PM2.5,2025-12-05 02:00:00,233.0
Mundka,PM2.5,2025-12-05 08:00:00,162.0
Mundka,PM2.5,2025-12-05 11:00:00,199.0
Mundka,PM2.5,2025-12-05 12:00:00,
Mundka,PM2.5,2025-12-05 13:00:00,268.0
Mundka,PM2.5,2025-12-05 14:00:00,140.0
Mundka,PM2.5,2025-12-05 15:00:00,119.0
Mundka,PM2.5,2025-12-05 16:00:00,113.0
Mundka,PM2.5,2025-12-05 17:00:00,110.0
Mundka,PM2.5,2025-12-05 18:00:00,173.0
Mundka,PM2.5,2025-12-05 19:00:00,188.0
Mundka,PM2.5,2025-12-05 20:00:00,294.0
Mundka,PM2.5,2025-12-05 21:00:00,356.0
Mundka,PM2.5,2025-12-05 22:00:00,398.0
Mundka,PM2.5,2025-12-05 23:00:00,403.0
Mundka,PM2.5,2025-12-06 00:00:00,283.0
Mundka,PM2.5,2025-12-06 01:00:00,271.0
Mundka,PM2.5,2025-12-06 02:00:00,267.0
Mundka,PM2.5,2025-12-06 03:00:00,294.0
Mundka,PM2.5,2025-12-06 04:00:00,256.0
Mundka,PM2.5,2025-12-06 08:00:00,276.0
Mundka,PM2.5,2025-12-06 09:00:00,312.0
Mundka,PM2.5,2025-12-06 10:00:00,244.0
Mundka,PM2.5,2025-12-06 11:00:00,208.0
Mundka,PM2.5,2025-12-06 12:00:00,202.0
Mundka,PM2.5,2025-12-06 13:00:00,152.0
Mundka,PM2.5,2025-12-06 14:00:00,132.0
Mundka,PM2.5,2025-12-06 15:00:00,94.0
Mundka,PM2.5,2025-12-06 16:00:00,91.0
Mundka,PM2.5,2025-12-06 17:00:00,130.0
Mundka,PM2.5,2025-12-06 18:00:00,144.0
Mundka,PM2.5,2025-12-06 19:00:00,194.0
Mundka,PM2.5,2025-12-06 20:00:00,234.0
Mundka,PM2.5,2025-12-06 21:00:00,277.0
Mundka,PM2.5,2025-12-06 22:00:00,250.0
Mundka,PM2.5,2025-12-06 23:00:00,255.0
Mundka,PM2.5,2025-12-07 00:00:00,228.0
