zone,param,timestamp,value
Mundka,humidity,2025-12-01 03:00:00,74.8
Mundka,humidity,2025-12-01 11:00:00,40.6
Mundka,humidity,2025-12-01 12:00:00,38.1
Mundka,humidity,2025-12-01 13:00:00,37.8
Mundka,humidity,2025-12-01 14:00:00,37.8
Mundka,humidity,2025-12-01 15:00:00,39.0
Mundka,humidity,2025-12-01 16:00:00,40.4
Mundka,humidity,2025-12-01 17:00:00,47.2
Mundka,humidity,2025-12-01 18:00:00,56.9
Mundka,humidity,2025-12-01 19:00:00,62.2
Mundka,humidity,2025-12-01 22:00:00,71.6
Mundka,humidity,2025-12-01 23:00:00,74.2
Mundka,humidity,2025-12-02 00:00:00,76.4
Mundka,humidity,2025-12-02 01:00:00,78.7
Mundka,humidity,2025-12-02 02:00:00,78.0
Mundka,humidity,2025-12-02 03:00:00,77.4
Mundka,humidity,2025-12-02 04:00:00,73.6
Mundka,humidity,2025-12-02 05:00:00,75.9
Mundka,humidity,2025-12-02 06:00:00,73.1
Mundka,humidity,2025-12-02 07:00:00,74.1
Mundka,humidity,2025-12-02 08:00:00,74.6
Mundka,humidity,2025-12-02 09:00:00,66.0
Mundka,humidity,2025-12-02 10:00:00,48.3
Mundka,humidity,2025-12-02 11:00:00,44.4
Mundka,humidity,2025-12-02 12:00:00,43.2
Mundka,humidity,2025-12-02 13:00:00,44.4
Mundka,humidity,2025-12-02 14:00:00,45.0
Mundka,humidity,2025-12-02 15:00:00,46.9
Mundka,humidity,2025-12-02 16:00:00,48.1
Mundka,humidity,2025-12-02 17:00:00,57.1
Mundka,humidity,2025-12-02 18:00:00,65.4
Mundka,humidity,2025-12-02 19:00:00,69.4
Mundka,humidity,2025-12-02 20:00:00,71.3
Mundka,humidity,2025-12-02 21:00:00,72.6
Mundka,humidity,2025-12-02 22:00:00,74.7
Mundka,humidity,2025-12-02 23:00:00,73.5
Mundka,humidity,2025-12-03 00:00:00,74.4
Mundka,humidity,2025-12-03 12:00:00,46.6
Mundka,humidity,2025-12-03 13:00:00,44.0
Mundka,humidity,2025-12-03 14:00:00,41.5
Mundka,humidity,2025-12-03 15:00:00,40.1
Mundka,humidity,2025-12-03 16:00:00,41.6
Mundka,humidity,2025-12-03 17:00:00,48.1
Mundka,humidity,2025-12-03 18:00:00,55.0
Mundka,humidity,2025-12-03 19:00:00,59.7
Mundka,humidity,2025-12-03 20:00:00,62.9
Mundka,humidity,2025-12-03 21:00:00,65.7
Mundka,humidity,2025-12-03 22:00:00,72.6
Mundka,humidity,2025-12-03 23:00:00,72.5
Mundka,humidity,2025-12-04 00:00:00,70.7
Mundka,humidity,2025-12-04 01:00:00,76.4
Mundka,humidity,2025-12-04 02:00:00,81.2
Mundka,humidity,2025-12-04 03:00:00,82.0
Mundka,humidity,2025-12-04 04:00:00,84.2
Mundka,humidity,2025-12-04 05:00:00,86.2
Mundka,humidity,2025-12-04 06:00:00,87.8
Mundka,humidity,2025-12-04 07:00:00,89.7
Mundka,humidity,2025-12-04 08:00:00,88.3
Mundka,humidity,2025-12-04 09:00:00,77.3
Mundka,humidity,2025-12-04 10:00:00,60.2
Mundka,humidity,2025-12-04 11:00:00,54.3
Mundka,humidity,2025-12-04 12:00:00,47.2
Mundka,humidity,2025-12-04 13:00:00,45.8
Mundka,humidity,2025-12-04 14:00:00,42.5
Mundka,humidity,2025-12-04 15:00:00,43.4
Mundka,humidity,2025-12-04 16:00:00,42.9
Mundka,humidity,2025-12-04 17:00:00,47.6
Mundka,humidity,2025-12-04 18:00:00,54.9
Mundka,humidity,2025-12-04 19:00:00,60.8
Mundka,humidity,2025-12-04 20:00:00,60.3
Mundka,humidity,2025-12-04 21:00:00,64.2
Mundka,humidity,2025-12-04 22:00:00,70.4
Mundka,humidity,2025-12-04 23:00:00,74.9
Mundka,humidity,2025-12-05 00:00:00,74.3
Mundka,humidity,2025-12-05 01:00:00,76.7
Mundka,humidity,2025-12-05 02:00:00,75.6
Mundka,humidity,2025-12-05 08:00:00,83.0
Mundka,humidity,2025-12-05 11:00:00,50.9
Mundka,humidity,2025-12-05 12:00:00,45.7
Mundka,humidity,2025-12-05 13:00:00,43.1
Mundka,humidity,2025-12-05 14:00:00,43.5
Mundka,humidity,2025-12-05 15:00:00,44.7
Mundka,humidity,2025-12-05 16:00:00,45.6
Mundka,humidity,2025-12-05 17:00:00,51.9
Mundka,humidity,2025-12-05 18:00:00,61.1
Mundka,humidity,2025-12-05 19:00:00,59.9
Mundka,humidity,2025-12-05 20:00:00,64.9
Mundka,humidity,2025-12-05 21:00:00,67.2
Mundka,humidity,2025-12-05 22:00:00,73.6
