zone,param,timestamp,value
Narela,NO2,2025-12-01 01:00:00,33.6
Narela,NO2,2025-12-01 02:00:00,
Narela,NO2,2025-12-01 03:00:00,31.0
Narela,NO2,2025-12-01 04:00:00,30.1
Narela,NO2,2025-12-01 05:00:00,39.1
Narela,NO2,2025-12-01 06:00:00,34.0
Narela,NO2,2025-12-01 07:00:00,28.8
Narela,NO2,2025-12-01 08:00:00,59.7
Narela,NO2,2025-12-01 09:00:00,52.8
Narela,NO2,2025-12-01 10:00:00,39.8
Narela,NO2,2025-12-01 11:00:00,29.3
Narela,NO2,2025-12-01 12:00:00,26.4
Narela,NO2,2025-12-01 13:00:00,16.0
Narela,NO2,2025-12-01 14:00:00,14.1
Narela,NO2,2025-12-01 15:00:00,21.0
Narela,NO2,2025-12-01 16:00:00,30.1
Narela,NO2,2025-12-01 17:00:00,29.7
Narela,NO2,2025-12-01 18:00:00,78.9
Narela,NO2,2025-12-01 19:00:00,75.1
Narela,NO2,2025-12-01 20:00:00,84.5
Narela,NO2,2025-12-02 08:00:00,43.6
Narela,NO2,2025-12-02 09:00:00,57.6
Narela,NO2,2025-12-02 10:00:00,44.4
Narela,NO2,2025-12-02 11:00:00,32.3
Narela,NO2,2025-12-02 12:00:00,16.3
Narela,NO2,2025-12-02 13:00:00,27.8
Narela,NO2,2025-12-02 14:00:00,17.4
Narela,NO2,2025-12-02 15:00:00,22.2
Narela,NO2,2025-12-02 16:00:00,29.1
Narela,NO2,2025-12-02 17:00:00,53.1
Narela,NO2,2025-12-02 18:00:00,87.3
Narela,NO2,2025-12-02 19:00:00,92.7
Narela,NO2,2025-12-02 20:00:00,82.7
Narela,NO2,2025-12-02 21:00:00,64.0
Narela,NO2,2025-12-02 22:00:00,53.6
Narela,NO2,2025-12-02 23:00:00,44.6
Narela,NO2,2025-12-03 00:00:00,36.5
Narela,NO2,2025-12-03 01:00:00,36.2
Narela,NO2,2025-12-03 02:00:00,
Narela,NO2,2025-12-03 12:00:00,9.7
Narela,NO2,2025-12-03 13:00:00,22.9
Narela,NO2,2025-12-03 14:00:00,17.9
Narela,NO2,2025-12-03 15:00:00,15.6
Narela,NO2,2025-12-03 16:00:00,16.2
Narela,NO2,2025-12-03 17:00:00,49.2
Narela,NO2,2025-12-03 18:00:00,42.0
Narela,NO2,2025-12-03 19:00:00,61.8
Narela,NO2,2025-12-03 20:00:00,45.3
Narela,NO2,2025-12-03 21:00:00,31.6
Narela,NO2,2025-12-03 22:00:00,34.8
Narela,NO2,2025-12-03 23:00:00,32.1
Narela,NO2,2025-12-04 00:00:00,30.6
Narela,NO2,2025-12-04 01:00:00,37.8
Narela,NO2,2025-12-04 02:00:00,
Narela,NO2,2025-12-04 03:00:00,26.2
Narela,NO2,2025-12-04 04:00:00,32.8
Narela,NO2,2025-12-04 05:00:00,32.9
Narela,NO2,2025-12-04 06:00:00,36.6
Narela,NO2,2025-12-04 07:00:00,34.0
Narela,NO2,2025-12-04 08:00:00,34.0
Narela,NO2,2025-12-04 09:00:00,38.1
Narela,NO2,2025-12-04 10:00:00,26.0
Narela,NO2,2025-12-04 11:00:00,22.9
Narela,NO2,2025-12-04 12:00:00,14.6
Narela,NO2,2025-12-04 13:00:00,14.9
Narela,NO2,2025-12-04 14:00:00,16.4
Narela,NO2,2025-12-04 15:00:00,15.1
Narela,NO2,2025-12-04 16:00:00,20.9
Narela,NO2,2025-12-04 17:00:00,31.1
Narela,NO2,2025-12-04 18:00:00,36.3
Narela,NO2,2025-12-04 19:00:00,63.3
Narela,NO2,2025-12-04 20:00:00,63.3
Narela,NO2,2025-12-04 21:00:00,44.7
Narela,NO2,2025-12-04 22:00:00,57.7
Narela,NO2,2025-12-04 23:00:00,54.9
Narela,NO2,2025-12-05 00:00:00,44.0
Narela,NO2,2025-12-05 01:00:00,38.2
Narela,NO2,2025-12-05 02:00:00,
Narela,NO2,2025-12-05 03:00:00,37.5
Narela,NO2,2025-12-05 04:00:00,39.2
Narela,NO2,2025-12-05 05:00:00,41.8
Narela,NO2,2025-12-05 06:00:00,39.1
Narela,NO2,2025-12-05 07:00:00,42.7
Narela,NO2,2025-12-05 08:00:00,50.8
Narela,NO2,2025-12-05 09:00:00,49.0
Narela,NO2,2025-12-05 10:00:00,32.9
Narela,NO2,2025-12-05 11:00:00,23.7
Narela,NO2,2025-12-05 12:00:00,20.8
Narela,NO2,2025-12-05 13:00:00,18.6
Narela,NO2,2025-12-05 14:00:00,6.3
Narela,NO2,2025-12-05 15:00:00,16.6
Narela,NO2,2025-12-05 16:00:00,19.1
Narela,NO2,2025-12-05 17:00:00,45.5
Narela,NO2,2025-12-05 18:00:00,57.4
Narela,NO2,2025-12-05 19:00:00,70.7
Narela,NO2,2025-12-05 20:00:00,50.2
Narela,NO2,2025-12-05 21:00:00,43.2
Narela,NO2,2025-12-05 22:00:00,38.2
Narela,NO2,2025-12-05 23:00:00,47.0
Narela,NO2,2025-12-06 00:00:00,33.5
Narela,NO2,2025-12-06 01:00:00,39.0
Narela,NO2,2025-12-06 02:00:00,
Narela,NO2,2025-12-06 03:00:00,30.3
Narela,NO2,2025-12-06 04:00:00,44.8
Narela,NO2,2025-12-06 05:00:00,26.9
Narela,NO2,2025-12-06 06:00:00,23.0
Narela,NO2,2025-12-06 07:00:00,28.5
Narela,NO2,2025-12-06 08:00:00,28.0
Narela,NO2,2025-12-06 09:00:00,20.9
Narela,NO2,2025-12-06 10:00:00,25.2
Narela,NO2,2025-12-06 11:00:00,18.6
Narela,NO2,2025-12-06 12:00:00,15.2
Narela,NO2,2025-12-06 13:00:00,15.2
Narela,NO2,2025-12-06 14:00:00,
Narela,NO2,2025-12-06 15:00:00,12.6
Narela,NO2,2025-12-06 16:00:00,19.0
Narela,NO2,2025-12-06 17:00:00,31.2
Narela,NO2,2025-12-06 18:00:00,71.6
Narela,NO2,2025-12-06 19:00:00,38.4
Narela,NO2,2025-12-06 20:00:00,55.8
Narela,NO2,2025-12-06 21:00:00,44.3
Narela,NO2,2025-12-06 22:00:00,23.9
Narela,NO2,2025-12-06 23:00:00,28.6
Narela,NO2,2025-12-07 00:00:00,14.6
