zone,param,timestamp,value
Narela,O3,2025-12-01 01:00:00,
Narela,O3,2025-12-01 02:00:00,
Narela,O3,2025-12-01 03:00:00,13.7
Narela,O3,2025-12-01 04:00:00,2.1
Narela,O3,2025-12-01 05:00:00,0.2
Narela,O3,2025-12-01 06:00:00,
Narela,O3,2025-12-01 07:00:00,
Narela,O3,2025-12-01 08:00:00,
Narela,O3,2025-12-01 09:00:00,15.7
Narela,O3,2025-12-01 10:00:00,62.2
Narela,O3,2025-12-01 11:00:00,115.1
Narela,O3,2025-12-01 12:00:00,130.7
Narela,O3,2025-12-01 13:00:00,133.3
Narela,O3,2025-12-01 14:00:00,148.2
Narela,O3,2025-12-01 15:00:00,135.9
Narela,O3,2025-12-01 16:00:00,120.2
Narela,O3,2025-12-01 17:00:00,108.2
Narela,O3,2025-12-01 18:00:00,30.2
Narela,O3,2025-12-01 19:00:00,14.6
Narela,O3,2025-12-01 20:00:00,6.8
Narela,O3,2025-12-02 08:00:00,3.4
Narela,O3,2025-12-02 09:00:00,21.6
Narela,O3,2025-12-02 10:00:00,57.9
Narela,O3,2025-12-02 11:00:00,91.6
Narela,O3,2025-12-02 12:00:00,131.7
Narela,O3,2025-12-02 13:00:00,151.6
Narela,O3,2025-12-02 14:00:00,166.8
Narela,O3,2025-12-02 15:00:00,158.2
Narela,O3,2025-12-02 16:00:00,147.2
Narela,O3,2025-12-02 17:00:00,74.3
Narela,O3,2025-12-02 18:00:00,10.8
Narela,O3,2025-12-02 19:00:00,12.5
Narela,O3,2025-12-02 20:00:00,13.7
Narela,O3,2025-12-02 21:00:00,11.9
Narela,O3,2025-12-02 22:00:00,8.5
Narela,O3,2025-12-02 23:00:00,20.3
Narela,O3,2025-12-03 00:00:00,38.5
Narela,O3,2025-12-03 01:00:00,
Narela,O3,2025-12-03 02:00:00,19.2
Narela,O3,2025-12-03 12:00:00,117.3
Narela,O3,2025-12-03 13:00:00,119.5
Narela,O3,2025-12-03 14:00:00,123.8
Narela,O3,2025-12-03 15:00:00,118.9
Narela,O3,2025-12-03 16:00:00,111.1
Narela,O3,2025-12-03 17:00:00,49.7
Narela,O3,2025-12-03 18:00:00,45.1
Narela,O3,2025-12-03 19:00:00,13.7
Narela,O3,2025-12-03 20:00:00,29.4
Narela,O3,2025-12-03 21:00:00,38.9
Narela,O3,2025-12-03 22:00:00,35.5
Narela,O3,2025-12-03 23:00:00,34.0
Narela,O3,2025-12-04 00:00:00,30.7
Narela,O3,2025-12-04 01:00:00,
Narela,O3,2025-12-04 02:00:00,35.0
Narela,O3,2025-12-04 03:00:00,25.0
Narela,O3,2025-12-04 04:00:00,25.2
Narela,O3,2025-12-04 05:00:00,11.1
Narela,O3,2025-12-04 06:00:00,6.3
Narela,O3,2025-12-04 07:00:00,12.6
Narela,O3,2025-12-04 08:00:00,13.2
Narela,O3,2025-12-04 09:00:00,35.5
Narela,O3,2025-12-04 10:00:00,58.8
Narela,O3,2025-12-04 11:00:00,94.4
Narela,O3,2025-12-04 12:00:00,109.8
Narela,O3,2025-12-04 13:00:00,119.2
Narela,O3,2025-12-04 14:00:00,121.2
Narela,O3,2025-12-04 15:00:00,133.5
Narela,O3,2025-12-04 16:00:00,117.3
Narela,O3,2025-12-04 17:00:00,78.6
Narela,O3,2025-12-04 18:00:00,63.9
Narela,O3,2025-12-04 19:00:00,6.8
Narela,O3,2025-12-04 20:00:00,4.2
Narela,O3,2025-12-04 21:00:00,21.1
Narela,O3,2025-12-04 22:00:00,4.7
Narela,O3,2025-12-04 23:00:00,4.0
Narela,O3,2025-12-05 00:00:00,7.3
Narela,O3,2025-12-05 01:00:00,
Narela,O3,2025-12-05 02:00:00,6.7
Narela,O3,2025-12-05 03:00:00,1.5
Narela,O3,2025-12-05 04:00:00,
Narela,O3,2025-12-05 05:00:00,0.5
Narela,O3,2025-12-05 06:00:00,4.0
Narela,O3,2025-12-05 07:00:00,0.2
Narela,O3,2025-12-05 08:00:00,1.4
Narela,O3,2025-12-05 09:00:00,17.9
Narela,O3,2025-12-05 10:00:00,50.5
Narela,O3,2025-12-05 11:00:00,82.4
Narela,O3,2025-12-05 12:00:00,107.4
Narela,O3,2025-12-05 13:00:00,121.3
Narela,O3,2025-12-05 14:00:00,132.8
Narela,O3,2025-12-05 15:00:00,128.9
Narela,O3,2025-12-05 16:00:00,120.3
Narela,O3,2025-12-05 17:00:00,60.3
Narela,O3,2025-12-05 18:00:00,46.7
Narela,O3,2025-12-05 19:00:00,4.7
Narela,O3,2025-12-05 20:00:00,32.8
Narela,O3,2025-12-05 21:00:00,39.3
Narela,O3,2025-12-05 22:00:00,38.0
Narela,O3,2025-12-05 23:00:00,17.3
Narela,O3,2025-12-06 00:00:00,26.4
Narela,O3,2025-12-06 01:00:00,
Narela,O3,2025-12-06 02:00:00,17.9
Narela,O3,2025-12-06 03:00:00,22.9
Narela,O3,2025-12-06 04:00:00,18.8
Narela,O3,2025-12-06 05:00:00,33.9
Narela,O3,2025-12-06 06:00:00,34.4
Narela,O3,2025-12-06 07:00:00,34.2
Narela,O3,2025-12-06 08:00:00,36.3
Narela,O3,2025-12-06 09:00:00,49.6
Narela,O3,2025-12-06 10:00:00,64.2
Narela,O3,2025-12-06 11:00:00,84.6
Narela,O3,2025-12-06 12:00:00,103.2
Narela,O3,2025-12-06 13:00:00,116.9
Narela,O3,2025-12-06 14:00:00,97.5
Narela,O3,2025-12-06 15:00:00,88.6
Narela,O3,2025-12-06 16:00:00,86.4
Narela,O3,2025-12-06 17:00:00,52.9
Narela,O3,2025-12-06 18:00:00,17.0
Narela,O3,2025-12-06 19:00:00,40.1
Narela,O3,2025-12-06 20:00:00,17.2
Narela,O3,2025-12-06 21:00:00,23.7
Narela,O3,2025-12-06 22:00:00,54.0
Narela,O3,2025-12-06 23:00:00,44.5
Narela,O3,2025-12-07 00:00:00,67.7
