zone,param,timestamp,value
Narela,PM2.5,2025-12-01 01:00:00,141.0
Narela,PM2.5,2025-12-01 02:00:00,144.0
Narela,PM2.5,2025-12-01 03:00:00,140.0
Narela,PM2.5,2025-12-01 04:00:00,141.0
Narela,PM2.5,2025-12-01 05:00:00,144.0
Narela,PM2.5,2025-12-01 06:00:00,185.0
Narela,PM2.5,2025-12-01 07:00:00,232.0
Narela,PM2.5,2025-12-01 08:00:00,256.0
Narela,PM2.5,2025-12-01 09:00:00,283.0
Narela,PM2.5,2025-12-01 10:00:00,266.0
Narela,PM2.5,2025-12-01 11:00:00,227.0
Narela,PM2.5,2025-12-01 12:00:00,145.0
Narela,PM2.5,2025-12-01 13:00:00,113.0
Narela,PM2.5,2025-12-01 14:00:00,88.0
Narela,PM2.5,2025-12-01 15:00:00,77.0
Narela,PM2.5,2025-12-01 16:00:00,90.0
Narela,PM2.5,2025-12-01 17:00:00,105.0
Narela,PM2.5,2025-12-01 18:00:00,152.0
Narela,PM2.5,2025-12-01 19:00:00,195.0
Narela,PM2.5,2025-12-01 20:00:00,227.0
Narela,PM2.5,2025-12-02 08:00:00,288.0
Narela,PM2.5,2025-12-02 09:00:00,290.0
Narela,PM2.5,2025-12-02 10:00:00,291.0
Narela,PM2.5,2025-12-02 11:00:00,229.0
Narela,PM2.5,2025-12-02 12:00:00,173.0
Narela,PM2.5,2025-12-02 13:00:00,149.0
Narela,PM2.5,2025-12-02 14:00:00,157.0
Narela,PM2.5,2025-12-02 15:00:00,145.0
Narela,PM2.5,2025-12-02 16:00:00,145.0
Narela,PM2.5,2025-12-02 17:00:00,155.0
Narela,PM2.5,2025-12-02 18:00:00,183.0
Narela,PM2.5,2025-12-02 19:00:00,250.0
Narela,PM2.5,2025-12-02 20:00:00,285.0
Narela,PM2.5,2025-12-02 21:00:00,267.0
Narela,PM2.5,2025-12-02 22:00:00,259.0
Narela,PM2.5,2025-12-02 23:00:00,248.0
Narela,PM2.5,2025-12-03 00:00:00,195.0
Narela,PM2.5,2025-12-03 01:00:00,178.0
Narela,PM2.5,2025-12-03 02:00:00,172.0
Narela,PM2.5,2025-12-03 12:00:00,139.0
Narela,PM2.5,2025-12-03 13:00:00,123.0
Narela,PM2.5,2025-12-03 14:00:00,88.0
Narela,PM2.5,2025-12-03 15:00:00,83.0
Narela,PM2.5,2025-12-03 16:00:00,79.0
Narela,PM2.5,2025-12-03 17:00:00,77.0
Narela,PM2.5,2025-12-03 18:00:00,77.0
Narela,PM2.5,2025-12-03 19:00:00,114.0
Narela,PM2.5,2025-12-03 20:00:00,149.0
Narela,PM2.5,2025-12-03 21:00:00,155.0
Narela,PM2.5,2025-12-03 22:00:00,164.0
Narela,PM2.5,2025-12-03 23:00:00,143.0
Narela,PM2.5,2025-12-04 00:00:00,135.0
Narela,PM2.5,2025-12-04 01:00:00,153.0
Narela,PM2.5,2025-12-04 02:00:00,332.0
Narela,PM2.5,2025-12-04 03:00:00,195.0
Narela,PM2.5,2025-12-04 04:00:00,172.0
Narela,PM2.5,2025-12-04 05:00:00,164.0
Narela,PM2.5,2025-12-04 06:00:00,249.0
Narela,PM2.5,2025-12-04 07:00:00,243.0
Narela,PM2.5,2025-12-04 08:00:00,229.0
Narela,PM2.5,2025-12-04 09:00:00,202.0
Narela,PM2.5,2025-12-04 10:00:00,193.0
Narela,PM2.5,2025-12-04 11:00:00,160.0
Narela,PM2.5,2025-12-04 12:00:00,106.0
Narela,PM2.5,2025-12-04 13:00:00,105.0
Narela,PM2.5,2025-12-04 14:00:00,95.0
Narela,PM2.5,2025-12-04 15:00:00,90.0
Narela,PM2.5,2025-12-04 16:00:00,113.0
Narela,PM2.5,2025-12-04 17:00:00,105.0
Narela,PM2.5,2025-12-04 18:00:00,118.0
Narela,PM2.5,2025-12-04 19:00:00,134.0
Narela,PM2.5,2025-12-04 20:00:00,194.0
Narela,PM2.5,2025-12-04 21:00:00,201.0
Narela,PM2.5,2025-12-04 22:00:00,205.0
Narela,PM2.5,2025-12-04 23:00:00,212.0
Narela,PM2.5,2025-12-05 00:00:00,210.0
Narela,PM2.5,2025-12-05 01:00:00,189.0
Narela,PM2.5,2025-12-05 02:00:00,174.0
Narela,PM2.5,2025-12-05 03:00:00,185.0
Narela,PM2.5,2025-12-05 04:00:00,199.0
Narela,PM2.5,2025-12-05 05:00:00,237.0
Narela,PM2.5,2025-12-05 06:00:00,268.0
Narela,PM2.5,2025-12-05 07:00:00,272.0
Narela,PM2.5,2025-12-05 08:00:00,273.0
Narela,PM2.5,2025-12-05 09:00:00,263.0
Narela,PM2.5,2025-12-05 10:00:00,215.0
Narela,PM2.5,2025-12-05 11:00:00,194.0
Narela,PM2.5,2025-12-05 12:00:00,164.0
Narela,PM2.5,2025-12-05 13:00:00,139.0
Narela,PM2.5,2025-12-05 14:00:00,113.0
Narela,PM2.5,2025-12-05 15:00:00,97.0
Narela,PM2.5,2025-12-05 16:00:00,106.0
Narela,PM2.5,2025-12-05 17:00:00,107.0
Narela,PM2.5,2025-12-05 18:00:00,124.0
Narela,PM2.5,2025-12-05 19:00:00,151.0
Narela,PM2.5,2025-12-05 20:00:00,215.0
Narela,PM2.5,2025-12-05 21:00:00,215.0
Narela,PM2.5,2025-12-05 22:00:00,182.0
Narela,PM2.5,2025-12-05 23:00:00,186.0
Narela,PM2.5,2025-12-06 00:00:00,188.0
Narela,PM2.5,2025-12-06 01:00:00,213.0
Narela,PM2.5,2025-12-06 02:00:00,185.0
Narela,PM2.5,2025-12-06 03:00:00,186.0
Narela,PM2.5,2025-12-06 04:00:00,212.0
Narela,PM2.5,2025-12-06 05:00:00,202.0
Narela,PM2.5,2025-12-06 06:00:00,180.0
Narela,PM2.5,2025-12-06 07:00:00,184.0
Narela,PM2.5,2025-12-06 08:00:00,182.0
Narela,PM2.5,2025-12-06 09:00:00,188.0
Narela,PM2.5,2025-12-06 10:00:00,161.0
Narela,PM2.5,2025-12-06 11:00:00,141.0
Narela,PM2.5,2025-12-06 12:00:00,129.0
Narela,PM2.5,2025-12-06 13:00:00,112.0
Narela,PM2.5,2025-12-06 14:00:00,91.0
Narela,PM2.5,2025-12-06 15:00:00,
Narela,PM2.5,2025-12-06 16:00:00,
Narela,PM2.5,2025-12-06 17:00:00,69.0
Narela,PM2.5,2025-12-06 18:00:00,101.0
Narela,PM2.5,2025-12-06 19:00:00,122.0
Narela,PM2.5,2025-12-06 20:00:00,145.0
Narela,PM2.5,2025-12-06 21:00:00,185.0
Narela,PM2.5,2025-12-06 22:00:00,179.0
Narela,PM2.5,2025-12-06 23:00:00,171.0
Narela,PM2.5,2025-12-07 00:00:00,149.0
