zone,param,timestamp,value
Narela,SO2,2025-12-01 01:00:00,10.6
Narela,SO2,2025-12-01 02:00:00,
Narela,SO2,2025-12-01 03:00:00,9.5
Narela,SO2,2025-12-01 04:00:00,9.1
Narela,SO2,2025-12-01 05:00:00,9.6
Narela,SO2,2025-12-01 06:00:00,10.7
Narela,SO2,2025-12-01 07:00:00,12.2
Narela,SO2,2025-12-01 08:00:00,14.6
Narela,SO2,2025-12-01 09:00:00,24.1
Narela,SO2,2025-12-01 10:00:00,31.5
Narela,SO2,2025-12-01 11:00:00,31.0
Narela,SO2,2025-12-01 12:00:00,24.7
Narela,SO2,2025-12-01 13:00:00,22.8
Narela,SO2,2025-12-01 14:00:00,18.6
Narela,SO2,2025-12-01 15:00:00,18.2
Narela,SO2,2025-12-01 16:00:00,22.6
Narela,SO2,2025-12-01 17:00:00,26.9
Narela,SO2,2025-12-01 18:00:00,32.5
Narela,SO2,2025-12-01 19:00:00,31.2
Narela,SO2,2025-12-01 20:00:00,25.6
Narela,SO2,2025-12-02 08:00:00,6.4
Narela,SO2,2025-12-02 09:00:00,20.2
Narela,SO2,2025-12-02 10:00:00,21.1
Narela,SO2,2025-12-02 11:00:00,23.7
Narela,SO2,2025-12-02 12:00:00,20.9
Narela,SO2,2025-12-02 13:00:00,19.6
Narela,SO2,2025-12-02 14:00:00,16.4
Narela,SO2,2025-12-02 15:00:00,14.1
Narela,SO2,2025-12-02 16:00:00,20.6
Narela,SO2,2025-12-02 17:00:00,11.3
Narela,SO2,2025-12-02 18:00:00,11.0
Narela,SO2,2025-12-02 19:00:00,10.9
Narela,SO2,2025-12-02 20:00:00,18.7
Narela,SO2,2025-12-02 21:00:00,8.9
Narela,SO2,2025-12-02 22:00:00,5.1
Narela,SO2,2025-12-02 23:00:00,3.8
Narela,SO2,2025-12-03 00:00:00,6.3
Narela,SO2,2025-12-03 01:00:00,9.5
Narela,SO2,2025-12-03 02:00:00,
Narela,SO2,2025-12-03 12:00:00,19.4
Narela,SO2,2025-12-03 13:00:00,18.3
Narela,SO2,2025-12-03 14:00:00,12.0
Narela,SO2,2025-12-03 15:00:00,12.8
Narela,SO2,2025-12-03 16:00:00,10.9
Narela,SO2,2025-12-03 17:00:00,9.6
Narela,SO2,2025-12-03 18:00:00,13.7
Narela,SO2,2025-12-03 19:00:00,14.6
Narela,SO2,2025-12-03 20:00:00,15.6
Narela,SO2,2025-12-03 21:00:00,11.2
Narela,SO2,2025-12-03 22:00:00,9.1
Narela,SO2,2025-12-03 23:00:00,8.6
Narela,SO2,2025-12-04 00:00:00,8.1
Narela,SO2,2025-12-04 01:00:00,9.7
Narela,SO2,2025-12-04 02:00:00,
Narela,SO2,2025-12-04 03:00:00,10.2
Narela,SO2,2025-12-04 04:00:00,10.2
Narela,SO2,2025-12-04 05:00:00,9.8
Narela,SO2,2025-12-04 06:00:00,9.2
Narela,SO2,2025-12-04 07:00:00,9.7
Narela,SO2,2025-12-04 08:00:00,10.0
Narela,SO2,2025-12-04 09:00:00,12.2
Narela,SO2,2025-12-04 10:00:00,16.2
Narela,SO2,2025-12-04 11:00:00,18.3
Narela,SO2,2025-12-04 12:00:00,17.5
Narela,SO2,2025-12-04 13:00:00,16.7
Narela,SO2,2025-12-04 14:00:00,28.4
Narela,SO2,2025-12-04 15:00:00,23.6
Narela,SO2,2025-12-04 16:00:00,29.0
Narela,SO2,2025-12-04 17:00:00,20.3
Narela,SO2,2025-12-04 18:00:00,16.0
Narela,SO2,2025-12-04 19:00:00,13.8
Narela,SO2,2025-12-04 20:00:00,14.0
Narela,SO2,2025-12-04 21:00:00,13.4
Narela,SO2,2025-12-04 22:00:00,12.1
Narela,SO2,2025-12-04 23:00:00,13.4
Narela,SO2,2025-12-05 00:00:00,12.6
Narela,SO2,2025-12-05 01:00:00,9.1
Narela,SO2,2025-12-05 02:00:00,
Narela,SO2,2025-12-05 03:00:00,5.4
Narela,SO2,2025-12-05 04:00:00,6.6
Narela,SO2,2025-12-05 05:00:00,8.0
Narela,SO2,2025-12-05 06:00:00,8.0
Narela,SO2,2025-12-05 07:00:00,7.7
Narela,SO2,2025-12-05 08:00:00,9.0
Narela,SO2,2025-12-05 09:00:00,16.3
Narela,SO2,2025-12-05 10:00:00,
Narela,SO2,2025-12-05 11:00:00,20.6
Narela,SO2,2025-12-05 12:00:00,20.1
Narela,SO2,2025-12-05 13:00:00,16.6
Narela,SO2,2025-12-05 14:00:00,13.6
Narela,SO2,2025-12-05 15:00:00,14.1
Narela,SO2,2025-12-05 16:00:00,16.4
Narela,SO2,2025-12-05 17:00:00,15.4
Narela,SO2,2025-12-05 18:00:00,15.7
Narela,SO2,2025-12-05 19:00:00,13.4
Narela,SO2,2025-12-05 20:00:00,16.0
Narela,SO2,2025-12-05 21:00:00,13.5
Narela,SO2,2025-12-05 22:00:00,10.4
Narela,SO2,2025-12-05 23:00:00,9.8
Narela,SO2,2025-12-06 00:00:00,10.1
Narela,SO2,2025-12-06 01:00:00,9.6
Narela,SO2,2025-12-06 02:00:00,
Narela,SO2,2025-12-06 03:00:00,7.8
Narela,SO2,2025-12-06 04:00:00,8.0
Narela,SO2,2025-12-06 05:00:00,9.0
Narela,SO2,2025-12-06 06:00:00,8.1
Narela,SO2,2025-12-06 07:00:00,8.1
Narela,SO2,2025-12-06 08:00:00,8.5
Narela,SO2,2025-12-06 09:00:00,11.8
Narela,SO2,2025-12-06 10:00:00,16.3
Narela,SO2,2025-12-06 11:00:00,14.8
Narela,SO2,2025-12-06 12:00:00,11.0
Narela,SO2,2025-12-06 13:00:00,11.7
Narela,SO2,2025-12-06 14:00:00,
Narela,SO2,2025-12-06 15:00:00,6.3
Narela,SO2,2025-12-06 16:00:00,7.6
Narela,SO2,2025-12-06 17:00:00,13.9
Narela,SO2,2025-12-06 18:00:00,18.6
Narela,SO2,2025-12-06 19:00:00,15.1
Narela,SO2,2025-12-06 20:00:00,11.3
Narela,SO2,2025-12-06 21:00:00,13.3
Narela,SO2,2025-12-06 22:00:00,12.5
Narela,SO2,2025-12-06 23:00:00,10.6
Narela,SO2,2025-12-07 00:00:00,11.7
