zone,param,timestamp,value
Okhla,humidity,2025-12-01 01:00:00,66.9
Okhla,humidity,2025-12-01 02:00:00,70.1
Okhla,humidity,2025-12-01 03:00:00,70.5
Okhla,humidity,2025-12-01 04:00:00,69.9
Okhla,humidity,2025-12-01 05:00:00,71.4
Okhla,humidity,2025-12-01 06:00:00,69.7
Okhla,humidity,2025-12-01 07:00:00,72.4
Okhla,humidity,2025-12-01 08:00:00,69.4
Okhla,humidity,2025-12-01 09:00:00,56.6
Okhla,humidity,2025-12-01 10:00:00,50.3
Okhla,humidity,2025-12-01 11:00:00,37.9
Okhla,humidity,2025-12-01 12:00:00,37.1
Okhla,humidity,2025-12-01 13:00:00,36.0
Okhla,humidity,2025-12-01 14:00:00,37.9
Okhla,humidity,2025-12-01 15:00:00,38.1
Okhla,humidity,2025-12-01 16:00:00,39.3
Okhla,humidity,2025-12-01 17:00:00,43.2
Okhla,humidity,2025-12-01 18:00:00,47.4
Okhla,humidity,2025-12-01 19:00:00,53.2
Okhla,humidity,2025-12-01 20:00:00,59.9
Okhla,humidity,2025-12-01 21:00:00,62.4
Okhla,humidity,2025-12-01 22:00:00,62.6
Okhla,humidity,2025-12-01 23:00:00,65.9
Okhla,humidity,2025-12-02 00:00:00,66.6
Okhla,humidity,2025-12-02 01:00:00,70.9
Okhla,humidity,2025-12-02 02:00:00,74.4
Okhla,humidity,2025-12-02 03:00:00,74.9
Okhla,humidity,2025-12-02 04:00:00,75.2
Okhla,humidity,2025-12-02 05:00:00,74.7
Okhla,humidity,2025-12-02 06:00:00,75.7
Okhla,humidity,2025-12-02 07:00:00,67.5
Okhla,humidity,2025-12-02 08:00:00,61.1
Okhla,humidity,2025-12-02 09:00:00,57.4
Okhla,humidity,2025-12-02 10:00:00,49.4
Okhla,humidity,2025-12-02 11:00:00,43.5
Okhla,humidity,2025-12-02 12:00:00,42.5
Okhla,humidity,2025-12-02 13:00:00,44.1
Okhla,humidity,2025-12-02 14:00:00,45.6
Okhla,humidity,2025-12-02 15:00:00,46.9
Okhla,humidity,2025-12-02 16:00:00,47.8
Okhla,humidity,2025-12-02 17:00:00,51.7
Okhla,humidity,2025-12-02 18:00:00,56.0
Okhla,humidity,2025-12-02 19:00:00,62.6
Okhla,humidity,2025-12-02 20:00:00,68.9
Okhla,humidity,2025-12-02 21:00:00,71.9
Okhla,humidity,2025-12-02 22:00:00,71.6
Okhla,humidity,2025-12-02 23:00:00,72.4
Okhla,humidity,2025-12-03 00:00:00,71.4
Okhla,humidity,2025-12-03 01:00:00,70.2
Okhla,humidity,2025-12-03 12:00:00,39.1
Okhla,humidity,2025-12-03 13:00:00,39.9
Okhla,humidity,2025-12-03 14:00:00,41.3
Okhla,humidity,2025-12-03 15:00:00,40.3
Okhla,humidity,2025-12-03 16:00:00,41.5
Okhla,humidity,2025-12-03 17:00:00,44.9
Okhla,humidity,2025-12-03 18:00:00,53.1
Okhla,humidity,2025-12-03 19:00:00,56.2
Okhla,humidity,2025-12-03 20:00:00,57.6
Okhla,humidity,2025-12-03 21:00:00,60.7
Okhla,humidity,2025-12-03 22:00:00,63.2
Okhla,humidity,2025-12-03 23:00:00,64.7
Okhla,humidity,2025-12-04 00:00:00,67.8
Okhla,humidity,2025-12-04 01:00:00,68.9
Okhla,humidity,2025-12-04 02:00:00,66.6
Okhla,humidity,2025-12-04 03:00:00,67.9
Okhla,humidity,2025-12-04 04:00:00,70.4
Okhla,humidity,2025-12-04 05:00:00,68.0
Okhla,humidity,2025-12-04 06:00:00,70.0
Okhla,humidity,2025-12-04 07:00:00,71.6
Okhla,humidity,2025-12-04 08:00:00,69.6
Okhla,humidity,2025-12-04 09:00:00,64.8
Okhla,humidity,2025-12-04 10:00:00,57.2
Okhla,humidity,2025-12-04 11:00:00,47.1
Okhla,humidity,2025-12-04 12:00:00,43.0
