zone,param,timestamp,value
Punjabi Bagh,NO2,2025-12-01 01:00:00,51.7
Punjabi Bagh,NO2,2025-12-01 02:00:00,51.0
Punjabi Bagh,NO2,2025-12-01 03:00:00,45.0
Punjabi Bagh,NO2,2025-12-01 04:00:00,41.0
Punjabi Bagh,NO2,2025-12-01 05:00:00,38.4
Punjabi Bagh,NO2,2025-12-01 06:00:00,37.0
Punjabi Bagh,NO2,2025-12-01 07:00:00,39.2
Punjabi Bagh,NO2,2025-12-01 08:00:00,39.5
Punjabi Bagh,NO2,2025-12-01 09:00:00,57.4
Punjabi Bagh,NO2,2025-12-01 10:00:00,66.5
Punjabi Bagh,NO2,2025-12-01 11:00:00,43.6
Punjabi Bagh,NO2,2025-12-01 12:00:00,37.6
Punjabi Bagh,NO2,2025-12-01 13:00:00,28.5
Punjabi Bagh,NO2,2025-12-01 14:00:00,30.1
Punjabi Bagh,NO2,2025-12-01 15:00:00,33.1
Punjabi Bagh,NO2,2025-12-01 16:00:00,32.2
Punjabi Bagh,NO2,2025-12-01 17:00:00,37.5
Punjabi Bagh,NO2,2025-12-01 18:00:00,65.7
Punjabi Bagh,NO2,2025-12-01 19:00:00,82.5
Punjabi Bagh,NO2,2025-12-01 20:00:00,83.1
Punjabi Bagh,NO2,2025-12-01 21:00:00,73.2
Punjabi Bagh,NO2,2025-12-01 22:00:00,74.4
Punjabi Bagh,NO2,2025-12-01 23:00:00,68.5
Punjabi Bagh,NO2,2025-12-02 00:00:00,66.6
Punjabi Bagh,NO2,2025-12-02 01:00:00,66.4
Punjabi Bagh,NO2,2025-12-02 02:00:00,91.0
Punjabi Bagh,NO2,2025-12-02 03:00:00,70.4
Punjabi Bagh,NO2,2025-12-02 04:00:00,69.9
Punjabi Bagh,NO2,2025-12-02 05:00:00,62.4
Punjabi Bagh,NO2,2025-12-02 06:00:00,56.1
Punjabi Bagh,NO2,2025-12-02 07:00:00,51.1
Punjabi Bagh,NO2,2025-12-02 08:00:00,50.9
Punjabi Bagh,NO2,2025-12-02 09:00:00,57.4
Punjabi Bagh,NO2,2025-12-02 10:00:00,116.1
Punjabi Bagh,NO2,2025-12-02 11:00:00,92.9
Punjabi Bagh,NO2,2025-12-02 12:00:00,83.7
Punjabi Bagh,NO2,2025-12-02 13:00:00,84.2
Punjabi Bagh,NO2,2025-12-02 14:00:00,69.0
Punjabi Bagh,NO2,2025-12-02 15:00:00,66.8
Punjabi Bagh,NO2,2025-12-02 16:00:00,51.6
Punjabi Bagh,NO2,2025-12-02 17:00:00,56.9
Punjabi Bagh,NO2,2025-12-02 18:00:00,70.1
Punjabi Bagh,NO2,2025-12-02 19:00:00,81.8
Punjabi Bagh,NO2,2025-12-02 20:00:00,84.8
Punjabi Bagh,NO2,2025-12-02 21:00:00,77.7
Punjabi Bagh,NO2,2025-12-02 22:00:00,71.8
Punjabi Bagh,NO2,2025-12-02 23:00:00,68.9
Punjabi Bagh,NO2,2025-12-03 00:00:00,65.5
Punjabi Bagh,NO2,2025-12-03 01:00:00,67.9
Punjabi Bagh,NO2,2025-12-03 02:00:00,59.6
Punjabi Bagh,NO2,2025-12-03 03:00:00,55.1
Punjabi Bagh,NO2,2025-12-03 04:00:00,48.7
Punjabi Bagh,NO2,2025-12-03 12:00:00,21.3
Punjabi Bagh,NO2,2025-12-03 14:00:00,17.8
Punjabi Bagh,NO2,2025-12-03 15:00:00,
Punjabi Bagh,NO2,2025-12-03 16:00:00,19.5
Punjabi Bagh,NO2,2025-12-03 17:00:00,35.6
Punjabi Bagh,NO2,2025-12-03 18:00:00,51.8
Punjabi Bagh,NO2,2025-12-03 19:00:00,58.4
Punjabi Bagh,NO2,2025-12-03 20:00:00,58.8
Punjabi Bagh,NO2,2025-12-03 21:00:00,60.5
Punjabi Bagh,NO2,2025-12-03 22:00:00,57.1
Punjabi Bagh,NO2,2025-12-03 23:00:00,53.4
Punjabi Bagh,NO2,2025-12-04 00:00:00,50.8
Punjabi Bagh,NO2,2025-12-04 01:00:00,46.4
Punjabi Bagh,NO2,2025-12-04 02:00:00,45.2
Punjabi Bagh,NO2,2025-12-04 03:00:00,43.7
Punjabi Bagh,NO2,2025-12-04 04:00:00,37.3
Punjabi Bagh,NO2,2025-12-04 05:00:00,36.0
Punjabi Bagh,NO2,2025-12-04 06:00:00,32.2
Punjabi Bagh,NO2,2025-12-04 07:00:00,35.1
Punjabi Bagh,NO2,2025-12-04 08:00:00,38.1
Punjabi Bagh,NO2,2025-12-04 09:00:00,45.4
Punjabi Bagh,NO2,2025-12-04 10:00:00,42.1
Punjabi Bagh,NO2,2025-12-04 11:00:00,22.1
Punjabi Bagh,NO2,2025-12-04 12:00:00,23.8
Punjabi Bagh,NO2,2025-12-04 13:00:00,16.9
Punjabi Bagh,NO2,2025-12-04 14:00:00,15.3
Punjabi Bagh,NO2,2025-12-04 15:00:00,18.7
Punjabi Bagh,NO2,2025-12-04 16:00:00,20.8
Punjabi Bagh,NO2,2025-12-04 17:00:00,32.6
Punjabi Bagh,NO2,2025-12-04 18:00:00,42.3
Punjabi Bagh,NO2,2025-12-04 19:00:00,55.1
Punjabi Bagh,NO2,2025-12-04 20:00:00,56.1
Punjabi Bagh,NO2,2025-12-04 21:00:00,55.2
Punjabi Bagh,NO2,2025-12-04 22:00:00,54.6
Punjabi Bagh,NO2,2025-12-04 23:00:00,49.8
