zone,param,timestamp,value
Punjabi Bagh,O3,2025-12-01 01:00:00,1.7
Punjabi Bagh,O3,2025-12-01 02:00:00,5.2
Punjabi Bagh,O3,2025-12-01 03:00:00,7.3
Punjabi Bagh,O3,2025-12-01 04:00:00,5.1
Punjabi Bagh,O3,2025-12-01 05:00:00,7.4
Punjabi Bagh,O3,2025-12-01 06:00:00,5.0
Punjabi Bagh,O3,2025-12-01 07:00:00,10.4
Punjabi Bagh,O3,2025-12-01 08:00:00,11.7
Punjabi Bagh,O3,2025-12-01 09:00:00,20.4
Punjabi Bagh,O3,2025-12-01 10:00:00,35.6
Punjabi Bagh,O3,2025-12-01 11:00:00,91.2
Punjabi Bagh,O3,2025-12-01 12:00:00,119.8
Punjabi Bagh,O3,2025-12-01 13:00:00,147.8
Punjabi Bagh,O3,2025-12-01 14:00:00,148.0
Punjabi Bagh,O3,2025-12-01 15:00:00,150.5
Punjabi Bagh,O3,2025-12-01 16:00:00,124.7
Punjabi Bagh,O3,2025-12-01 17:00:00,66.5
Punjabi Bagh,O3,2025-12-01 18:00:00,6.7
Punjabi Bagh,O3,2025-12-01 19:00:00,2.7
Punjabi Bagh,O3,2025-12-01 20:00:00,5.3
Punjabi Bagh,O3,2025-12-01 21:00:00,5.6
Punjabi Bagh,O3,2025-12-01 22:00:00,6.2
Punjabi Bagh,O3,2025-12-01 23:00:00,7.6
Punjabi Bagh,O3,2025-12-02 00:00:00,6.6
Punjabi Bagh,O3,2025-12-02 01:00:00,6.3
Punjabi Bagh,O3,2025-12-02 02:00:00,6.9
Punjabi Bagh,O3,2025-12-02 03:00:00,7.1
Punjabi Bagh,O3,2025-12-02 04:00:00,6.8
Punjabi Bagh,O3,2025-12-02 05:00:00,5.2
Punjabi Bagh,O3,2025-12-02 06:00:00,4.8
Punjabi Bagh,O3,2025-12-02 07:00:00,5.7
Punjabi Bagh,O3,2025-12-02 08:00:00,5.7
Punjabi Bagh,O3,2025-12-02 09:00:00,5.7
Punjabi Bagh,O3,2025-12-02 10:00:00,14.0
Punjabi Bagh,O3,2025-12-02 11:00:00,43.2
Punjabi Bagh,O3,2025-12-02 12:00:00,84.8
Punjabi Bagh,O3,2025-12-02 13:00:00,119.0
Punjabi Bagh,O3,2025-12-02 14:00:00,137.9
Punjabi Bagh,O3,2025-12-02 15:00:00,153.5
Punjabi Bagh,O3,2025-12-02 16:00:00,122.5
Punjabi Bagh,O3,2025-12-02 17:00:00,62.5
Punjabi Bagh,O3,2025-12-02 18:00:00,12.7
Punjabi Bagh,O3,2025-12-02 19:00:00,5.2
Punjabi Bagh,O3,2025-12-02 20:00:00,5.1
Punjabi Bagh,O3,2025-12-02 21:00:00,5.0
Punjabi Bagh,O3,2025-12-02 22:00:00,4.3
