zone,param,timestamp,value
Punjabi Bagh,SO2,2025-12-01 01:00:00,7.3
Punjabi Bagh,SO2,2025-12-01 02:00:00,
Punjabi Bagh,SO2,2025-12-01 03:00:00,1.3
Punjabi Bagh,SO2,2025-12-01 04:00:00,2.7
Punjabi Bagh,SO2,2025-12-01 05:00:00,
Punjabi Bagh,SO2,2025-12-01 06:00:00,
Punjabi Bagh,SO2,2025-12-01 07:00:00,3.0
Punjabi Bagh,SO2,2025-12-01 08:00:00,6.2
Punjabi Bagh,SO2,2025-12-01 09:00:00,1.5
Punjabi Bagh,SO2,2025-12-01 10:00:00,6.7
Punjabi Bagh,SO2,2025-12-01 11:00:00,10.9
Punjabi Bagh,SO2,2025-12-01 12:00:00,5.3
Punjabi Bagh,SO2,2025-12-01 13:00:00,7.8
Punjabi Bagh,SO2,2025-12-01 14:00:00,8.7
Punjabi Bagh,SO2,2025-12-01 15:00:00,10.6
Punjabi Bagh,SO2,2025-12-01 16:00:00,5.3
Punjabi Bagh,SO2,2025-12-01 17:00:00,0.9
Punjabi Bagh,SO2,2025-12-01 18:00:00,5.9
Punjabi Bagh,SO2,2025-12-01 19:00:00,8.9
Punjabi Bagh,SO2,2025-12-01 20:00:00,5.1
Punjabi Bagh,SO2,2025-12-01 21:00:00,7.0
Punjabi Bagh,SO2,2025-12-01 22:00:00,1.9
Punjabi Bagh,SO2,2025-12-01 23:00:00,4.9
Punjabi Bagh,SO2,2025-12-02 00:00:00,5.3
Punjabi Bagh,SO2,2025-12-02 01:00:00,5.6
Punjabi Bagh,SO2,2025-12-02 02:00:00,
Punjabi Bagh,SO2,2025-12-02 03:00:00,
Punjabi Bagh,SO2,2025-12-02 04:00:00,2.3
Punjabi Bagh,SO2,2025-12-02 05:00:00,5.7
Punjabi Bagh,SO2,2025-12-02 06:00:00,
Punjabi Bagh,SO2,2025-12-02 07:00:00,1.9
Punjabi Bagh,SO2,2025-12-02 08:00:00,1.3
Punjabi Bagh,SO2,2025-12-02 09:00:00,5.8
Punjabi Bagh,SO2,2025-12-02 10:00:00,9.6
Punjabi Bagh,SO2,2025-12-02 11:00:00,13.9
Punjabi Bagh,SO2,2025-12-02 12:00:00,5.4
Punjabi Bagh,SO2,2025-12-02 13:00:00,12.9
Punjabi Bagh,SO2,2025-12-02 14:00:00,15.6
Punjabi Bagh,SO2,2025-12-02 15:00:00,7.4
Punjabi Bagh,SO2,2025-12-02 16:00:00,6.6
Punjabi Bagh,SO2,2025-12-02 17:00:00,2.4
Punjabi Bagh,SO2,2025-12-02 18:00:00,
Punjabi Bagh,SO2,2025-12-02 19:00:00,4.7
Punjabi Bagh,SO2,2025-12-02 20:00:00,2.9
Punjabi Bagh,SO2,2025-12-02 21:00:00,
Punjabi Bagh,SO2,2025-12-02 22:00:00,2.5
Punjabi Bagh,SO2,2025-12-02 23:00:00,
Punjabi Bagh,SO2,2025-12-03 00:00:00,
Punjabi Bagh,SO2,2025-12-03 01:00:00,2.0
Punjabi Bagh,SO2,2025-12-03 02:00:00,
Punjabi Bagh,SO2,2025-12-03 03:00:00,
Punjabi Bagh,SO2,2025-12-03 04:00:00,
Punjabi Bagh,SO2,2025-12-03 12:00:00,
Punjabi Bagh,SO2,2025-12-03 14:00:00,6.2
Punjabi Bagh,SO2,2025-12-03 15:00:00,11.1
Punjabi Bagh,SO2,2025-12-03 16:00:00,13.9
Punjabi Bagh,SO2,2025-12-03 17:00:00,6.0
Punjabi Bagh,SO2,2025-12-03 18:00:00,9.5
Punjabi Bagh,SO2,2025-12-03 19:00:00,8.6
Punjabi Bagh,SO2,2025-12-03 20:00:00,7.5
Punjabi Bagh,SO2,2025-12-03 21:00:00,19.7
Punjabi Bagh,SO2,2025-12-03 22:00:00,11.6
Punjabi Bagh,SO2,2025-12-03 23:00:00,7.5
Punjabi Bagh,SO2,2025-12-04 00:00:00,9.8
Punjabi Bagh,SO2,2025-12-04 01:00:00,6.8
Punjabi Bagh,SO2,2025-12-04 02:00:00,
Punjabi Bagh,SO2,2025-12-04 03:00:00,
Punjabi Bagh,SO2,2025-12-04 04:00:00,2.4
Punjabi Bagh,SO2,2025-12-04 05:00:00,
Punjabi Bagh,SO2,2025-12-04 06:00:00,4.5
Punjabi Bagh,SO2,2025-12-04 07:00:00,1.4
Punjabi Bagh,SO2,2025-12-04 08:00:00,4.5
Punjabi Bagh,SO2,2025-12-04 09:00:00,3.3
Punjabi Bagh,SO2,2025-12-04 10:00:00,5.8
Punjabi Bagh,SO2,2025-12-04 11:00:00,9.9
Punjabi Bagh,SO2,2025-12-04 12:00:00,6.0
Punjabi Bagh,SO2,2025-12-04 13:00:00,11.8
Punjabi Bagh,SO2,2025-12-04 14:00:00,3.2
Punjabi Bagh,SO2,2025-12-04 15:00:00,4.5
Punjabi Bagh,SO2,2025-12-04 16:00:00,5.1
Punjabi Bagh,SO2,2025-12-04 17:00:00,13.2
Punjabi Bagh,SO2,2025-12-04 18:00:00,4.8
Punjabi Bagh,SO2,2025-12-04 19:00:00,10.2
Punjabi Bagh,SO2,2025-12-04 20:00:00,8.0
Punjabi Bagh,SO2,2025-12-04 21:00:00,2.2
Punjabi Bagh,SO2,2025-12-04 22:00:00,2.1
Punjabi Bagh,SO2,2025-12-04 23:00:00,
Punjabi Bagh,SO2,2025-12-05 00:00:00,
Punjabi Bagh,SO2,2025-12-05 01:00:00,4.6
Punjabi Bagh,SO2,2025-12-05 02:00:00,
Punjabi Bagh,SO2,2025-12-05 03:00:00,
Punjabi Bagh,SO2,2025-12-05 04:00:00,
Punjabi Bagh,SO2,2025-12-05 05:00:00,
