zone,param,timestamp,value
RK Puram,NO2,2025-12-01 01:00:00,58.1
RK Puram,NO2,2025-12-01 02:00:00,31.9
RK Puram,NO2,2025-12-01 03:00:00,66.2
RK Puram,NO2,2025-12-01 04:00:00,54.9
RK Puram,NO2,2025-12-01 06:00:00,58.0
RK Puram,NO2,2025-12-01 08:00:00,73.9
RK Puram,NO2,2025-12-01 09:00:00,101.5
RK Puram,NO2,2025-12-01 10:00:00,128.1
RK Puram,NO2,2025-12-01 11:00:00,56.4
RK Puram,NO2,2025-12-01 12:00:00,75.9
RK Puram,NO2,2025-12-01 13:00:00,39.9
RK Puram,NO2,2025-12-01 14:00:00,28.5
RK Puram,NO2,2025-12-01 15:00:00,27.7
RK Puram,NO2,2025-12-01 16:00:00,45.2
RK Puram,NO2,2025-12-01 17:00:00,78.1
RK Puram,NO2,2025-12-01 18:00:00,117.2
RK Puram,NO2,2025-12-01 19:00:00,124.1
RK Puram,NO2,2025-12-01 20:00:00,116.6
RK Puram,NO2,2025-12-01 21:00:00,86.6
RK Puram,NO2,2025-12-01 22:00:00,76.6
RK Puram,NO2,2025-12-01 23:00:00,60.3
RK Puram,NO2,2025-12-02 00:00:00,65.4
RK Puram,NO2,2025-12-02 01:00:00,40.1
RK Puram,NO2,2025-12-02 02:00:00,39.7
RK Puram,NO2,2025-12-02 03:00:00,35.2
RK Puram,NO2,2025-12-02 04:00:00,29.9
RK Puram,NO2,2025-12-02 05:00:00,28.9
RK Puram,NO2,2025-12-02 06:00:00,23.9
RK Puram,NO2,2025-12-02 07:00:00,28.9
RK Puram,NO2,2025-12-02 08:00:00,52.8
RK Puram,NO2,2025-12-02 09:00:00,105.5
RK Puram,NO2,2025-12-02 10:00:00,105.3
RK Puram,NO2,2025-12-02 11:00:00,74.8
RK Puram,NO2,2025-12-02 12:00:00,77.5
RK Puram,NO2,2025-12-02 13:00:00,59.6
RK Puram,NO2,2025-12-02 14:00:00,21.0
RK Puram,NO2,2025-12-02 15:00:00,58.3
RK Puram,NO2,2025-12-02 16:00:00,96.5
RK Puram,NO2,2025-12-02 17:00:00,125.8
RK Puram,NO2,2025-12-02 18:00:00,129.9
RK Puram,NO2,2025-12-02 19:00:00,137.1
RK Puram,NO2,2025-12-02 20:00:00,115.3
RK Puram,NO2,2025-12-02 21:00:00,101.8
RK Puram,NO2,2025-12-02 22:00:00,65.1
RK Puram,NO2,2025-12-02 23:00:00,51.5
RK Puram,NO2,2025-12-03 00:00:00,52.1
RK Puram,NO2,2025-12-03 12:00:00,27.0
RK Puram,NO2,2025-12-03 13:00:00,22.8
RK Puram,NO2,2025-12-03 14:00:00,20.3
RK Puram,NO2,2025-12-03 15:00:00,18.9
RK Puram,NO2,2025-12-03 16:00:00,32.0
RK Puram,NO2,2025-12-03 17:00:00,63.9
RK Puram,NO2,2025-12-03 18:00:00,109.2
RK Puram,NO2,2025-12-03 19:00:00,106.0
RK Puram,NO2,2025-12-03 20:00:00,98.0
RK Puram,NO2,2025-12-03 21:00:00,90.2
RK Puram,NO2,2025-12-03 22:00:00,73.4
RK Puram,NO2,2025-12-03 23:00:00,70.1
RK Puram,NO2,2025-12-04 00:00:00,67.6
RK Puram,NO2,2025-12-04 01:00:00,66.8
RK Puram,NO2,2025-12-04 02:00:00,72.2
RK Puram,NO2,2025-12-04 03:00:00,78.3
RK Puram,NO2,2025-12-04 04:00:00,69.4
RK Puram,NO2,2025-12-04 05:00:00,62.8
RK Puram,NO2,2025-12-04 06:00:00,60.7
RK Puram,NO2,2025-12-04 07:00:00,54.4
RK Puram,NO2,2025-12-04 11:00:00,33.4
RK Puram,NO2,2025-12-04 13:00:00,32.4
