zone,param,timestamp,value
RK Puram,PM2.5,2025-12-01 01:00:00,221.0
RK Puram,PM2.5,2025-12-01 02:00:00,224.0
RK Puram,PM2.5,2025-12-01 03:00:00,206.0
RK Puram,PM2.5,2025-12-01 04:00:00,178.0
RK Puram,PM2.5,2025-12-01 06:00:00,204.0
RK Puram,PM2.5,2025-12-01 08:00:00,259.0
RK Puram,PM2.5,2025-12-01 09:00:00,327.0
RK Puram,PM2.5,2025-12-01 10:00:00,178.0
RK Puram,PM2.5,2025-12-01 11:00:00,151.0
RK Puram,PM2.5,2025-12-01 12:00:00,103.0
RK Puram,PM2.5,2025-12-01 13:00:00,79.0
RK Puram,PM2.5,2025-12-01 14:00:00,69.0
RK Puram,PM2.5,2025-12-01 15:00:00,73.0
RK Puram,PM2.5,2025-12-01 16:00:00,94.0
RK Puram,PM2.5,2025-12-01 17:00:00,102.0
RK Puram,PM2.5,2025-12-01 18:00:00,122.0
RK Puram,PM2.5,2025-12-01 19:00:00,182.0
RK Puram,PM2.5,2025-12-01 20:00:00,389.0
RK Puram,PM2.5,2025-12-01 21:00:00,440.0
RK Puram,PM2.5,2025-12-01 22:00:00,393.0
RK Puram,PM2.5,2025-12-01 23:00:00,415.0
RK Puram,PM2.5,2025-12-02 00:00:00,388.0
RK Puram,PM2.5,2025-12-02 01:00:00,312.0
RK Puram,PM2.5,2025-12-02 02:00:00,299.0
RK Puram,PM2.5,2025-12-02 03:00:00,266.0
RK Puram,PM2.5,2025-12-02 04:00:00,243.0
RK Puram,PM2.5,2025-12-02 05:00:00,245.0
RK Puram,PM2.5,2025-12-02 06:00:00,267.0
RK Puram,PM2.5,2025-12-02 07:00:00,285.0
RK Puram,PM2.5,2025-12-02 08:00:00,354.0
RK Puram,PM2.5,2025-12-02 09:00:00,438.0
RK Puram,PM2.5,2025-12-02 10:00:00,285.0
RK Puram,PM2.5,2025-12-02 11:00:00,234.0
RK Puram,PM2.5,2025-12-02 12:00:00,273.0
RK Puram,PM2.5,2025-12-02 13:00:00,252.0
RK Puram,PM2.5,2025-12-02 14:00:00,110.0
RK Puram,PM2.5,2025-12-02 15:00:00,132.0
RK Puram,PM2.5,2025-12-02 16:00:00,273.0
RK Puram,PM2.5,2025-12-02 17:00:00,288.0
RK Puram,PM2.5,2025-12-02 18:00:00,228.0
RK Puram,PM2.5,2025-12-02 19:00:00,444.0
RK Puram,PM2.5,2025-12-02 20:00:00,374.0
RK Puram,PM2.5,2025-12-02 21:00:00,594.0
RK Puram,PM2.5,2025-12-02 22:00:00,602.0
RK Puram,PM2.5,2025-12-02 23:00:00,661.0
RK Puram,PM2.5,2025-12-03 00:00:00,390.0
RK Puram,PM2.5,2025-12-03 12:00:00,150.0
RK Puram,PM2.5,2025-12-03 13:00:00,114.0
RK Puram,PM2.5,2025-12-03 14:00:00,96.0
RK Puram,PM2.5,2025-12-03 15:00:00,88.0
RK Puram,PM2.5,2025-12-03 16:00:00,78.0
RK Puram,PM2.5,2025-12-03 17:00:00,75.0
RK Puram,PM2.5,2025-12-03 18:00:00,106.0
RK Puram,PM2.5,2025-12-03 19:00:00,213.0
RK Puram,PM2.5,2025-12-03 20:00:00,334.0
RK Puram,PM2.5,2025-12-03 21:00:00,324.0
RK Puram,PM2.5,2025-12-03 22:00:00,309.0
RK Puram,PM2.5,2025-12-03 23:00:00,280.0
RK Puram,PM2.5,2025-12-04 00:00:00,269.0
RK Puram,PM2.5,2025-12-04 01:00:00,233.0
RK Puram,PM2.5,2025-12-04 02:00:00,196.0
RK Puram,PM2.5,2025-12-04 03:00:00,190.0
RK Puram,PM2.5,2025-12-04 04:00:00,185.0
RK Puram,PM2.5,2025-12-04 05:00:00,197.0
RK Puram,PM2.5,2025-12-04 06:00:00,212.0
RK Puram,PM2.5,2025-12-04 07:00:00,211.0
RK Puram,PM2.5,2025-12-04 11:00:00,180.0
RK Puram,PM2.5,2025-12-04 13:00:00,169.0
RK Puram,PM2.5,2025-12-04 14:00:00,145.0
RK Puram,PM2.5,2025-12-04 15:00:00,141.0
RK Puram,PM2.5,2025-12-04 16:00:00,123.0
RK Puram,PM2.5,2025-12-04 17:00:00,116.0
RK Puram,PM2.5,2025-12-04 18:00:00,144.0
