zone,param,timestamp,value
Rohini,O3,2025-12-01 01:00:00,3.0
Rohini,O3,2025-12-01 02:00:00,3.5
Rohini,O3,2025-12-01 03:00:00,4.5
Rohini,O3,2025-12-01 04:00:00,5.4
Rohini,O3,2025-12-01 05:00:00,6.5
Rohini,O3,2025-12-01 06:00:00,7.3
Rohini,O3,2025-12-01 07:00:00,5.1
Rohini,O3,2025-12-01 08:00:00,6.4
Rohini,O3,2025-12-01 09:00:00,10.6
Rohini,O3,2025-12-01 10:00:00,70.6
Rohini,O3,2025-12-01 11:00:00,131.9
Rohini,O3,2025-12-01 12:00:00,164.8
Rohini,O3,2025-12-01 13:00:00,201.9
Rohini,O3,2025-12-01 14:00:00,190.3
Rohini,O3,2025-12-01 15:00:00,144.0
Rohini,O3,2025-12-01 16:00:00,120.5
Rohini,O3,2025-12-01 17:00:00,57.4
Rohini,O3,2025-12-01 18:00:00,13.1
Rohini,O3,2025-12-01 19:00:00,3.7
Rohini,O3,2025-12-01 20:00:00,5.8
Rohini,O3,2025-12-01 21:00:00,5.6
Rohini,O3,2025-12-01 22:00:00,5.5
Rohini,O3,2025-12-01 23:00:00,6.5
Rohini,O3,2025-12-02 00:00:00,5.8
Rohini,O3,2025-12-02 01:00:00,6.2
Rohini,O3,2025-12-02 02:00:00,6.0
Rohini,O3,2025-12-02 03:00:00,3.8
Rohini,O3,2025-12-02 04:00:00,15.1
Rohini,O3,2025-12-02 05:00:00,9.6
Rohini,O3,2025-12-02 06:00:00,5.0
Rohini,O3,2025-12-02 07:00:00,6.1
Rohini,O3,2025-12-02 08:00:00,13.0
Rohini,O3,2025-12-02 09:00:00,8.4
Rohini,O3,2025-12-02 10:00:00,23.4
Rohini,O3,2025-12-02 11:00:00,77.1
Rohini,O3,2025-12-02 12:00:00,117.1
Rohini,O3,2025-12-02 13:00:00,148.0
Rohini,O3,2025-12-02 14:00:00,179.2
Rohini,O3,2025-12-02 15:00:00,177.9
Rohini,O3,2025-12-02 16:00:00,151.0
Rohini,O3,2025-12-02 17:00:00,109.3
Rohini,O3,2025-12-02 18:00:00,4.3
Rohini,O3,2025-12-02 19:00:00,5.2
Rohini,O3,2025-12-02 20:00:00,4.5
Rohini,O3,2025-12-02 21:00:00,3.5
Rohini,O3,2025-12-02 22:00:00,4.4
Rohini,O3,2025-12-02 23:00:00,5.7
Rohini,O3,2025-12-03 00:00:00,5.1
Rohini,O3,2025-12-03 01:00:00,5.6
Rohini,O3,2025-12-03 02:00:00,7.3
Rohini,O3,2025-12-03 03:00:00,4.4
Rohini,O3,2025-12-03 12:00:00,122.1
Rohini,O3,2025-12-03 13:00:00,124.4
Rohini,O3,2025-12-03 14:00:00,121.6
Rohini,O3,2025-12-03 15:00:00,113.0
Rohini,O3,2025-12-03 16:00:00,117.0
Rohini,O3,2025-12-03 17:00:00,84.2
Rohini,O3,2025-12-03 18:00:00,6.3
Rohini,O3,2025-12-03 19:00:00,5.5
Rohini,O3,2025-12-03 20:00:00,4.0
Rohini,O3,2025-12-03 21:00:00,3.9
Rohini,O3,2025-12-03 22:00:00,3.8
Rohini,O3,2025-12-03 23:00:00,5.4
Rohini,O3,2025-12-04 00:00:00,4.3
Rohini,O3,2025-12-04 01:00:00,5.8
Rohini,O3,2025-12-04 02:00:00,7.6
Rohini,O3,2025-12-04 03:00:00,9.4
Rohini,O3,2025-12-04 04:00:00,15.4
Rohini,O3,2025-12-04 05:00:00,6.9
Rohini,O3,2025-12-04 06:00:00,6.0
Rohini,O3,2025-12-04 07:00:00,8.9
Rohini,O3,2025-12-04 08:00:00,8.6
Rohini,O3,2025-12-04 09:00:00,39.0
Rohini,O3,2025-12-04 10:00:00,64.9
Rohini,O3,2025-12-04 11:00:00,101.8
Rohini,O3,2025-12-04 12:00:00,99.1
Rohini,O3,2025-12-04 13:00:00,111.1
Rohini,O3,2025-12-04 14:00:00,125.6
Rohini,O3,2025-12-04 15:00:00,138.1
Rohini,O3,2025-12-04 16:00:00,133.6
Rohini,O3,2025-12-04 17:00:00,84.5
Rohini,O3,2025-12-04 18:00:00,6.3
Rohini,O3,2025-12-04 19:00:00,7.4
Rohini,O3,2025-12-04 20:00:00,5.2
Rohini,O3,2025-12-04 21:00:00,6.6
Rohini,O3,2025-12-04 22:00:00,5.1
Rohini,O3,2025-12-04 23:00:00,5.7
Rohini,O3,2025-12-05 00:00:00,4.7
Rohini,O3,2025-12-05 01:00:00,5.6
Rohini,O3,2025-12-05 02:00:00,6.4
Rohini,O3,2025-12-05 03:00:00,5.9
Rohini,O3,2025-12-05 04:00:00,4.6
Rohini,O3,2025-12-05 05:00:00,5.1
Rohini,O3,2025-12-05 06:00:00,5.9
Rohini,O3,2025-12-05 07:00:00,4.8
Rohini,O3,2025-12-05 08:00:00,6.4
Rohini,O3,2025-12-05 09:00:00,14.2
Rohini,O3,2025-12-05 10:00:00,44.6
Rohini,O3,2025-12-05 11:00:00,72.6
Rohini,O3,2025-12-05 12:00:00,103.9
Rohini,O3,2025-12-05 13:00:00,138.3
Rohini,O3,2025-12-05 14:00:00,153.7
Rohini,O3,2025-12-05 15:00:00,154.9
Rohini,O3,2025-12-05 16:00:00,140.5
Rohini,O3,2025-12-05 17:00:00,65.5
Rohini,O3,2025-12-05 18:00:00,4.6
Rohini,O3,2025-12-05 19:00:00,5.9
Rohini,O3,2025-12-05 20:00:00,6.3
Rohini,O3,2025-12-05 21:00:00,4.2
Rohini,O3,2025-12-05 22:00:00,5.8
Rohini,O3,2025-12-05 23:00:00,4.9
Rohini,O3,2025-12-06 00:00:00,6.7
Rohini,O3,2025-12-06 01:00:00,7.8
Rohini,O3,2025-12-06 02:00:00,6.8
Rohini,O3,2025-12-06 03:00:00,6.0
Rohini,O3,2025-12-06 04:00:00,23.5
Rohini,O3,2025-12-06 05:00:00,22.4
Rohini,O3,2025-12-06 06:00:00,23.7
Rohini,O3,2025-12-06 07:00:00,21.3
Rohini,O3,2025-12-06 08:00:00,27.3
Rohini,O3,2025-12-06 09:00:00,55.4
Rohini,O3,2025-12-06 10:00:00,76.1
Rohini,O3,2025-12-06 11:00:00,88.6
Rohini,O3,2025-12-06 12:00:00,116.1
Rohini,O3,2025-12-06 13:00:00,138.5
Rohini,O3,2025-12-06 14:00:00,132.8
Rohini,O3,2025-12-06 15:00:00,129.0
Rohini,O3,2025-12-06 16:00:00,127.0
Rohini,O3,2025-12-06 17:00:00,110.1
