zone,param,timestamp,value
Rohini,PM10,2025-12-01 01:00:00,349.0
Rohini,PM10,2025-12-01 02:00:00,425.0
Rohini,PM10,2025-12-01 03:00:00,522.0
Rohini,PM10,2025-12-01 04:00:00,390.0
Rohini,PM10,2025-12-01 05:00:00,353.0
Rohini,PM10,2025-12-01 06:00:00,361.0
Rohini,PM10,2025-12-01 07:00:00,385.0
Rohini,PM10,2025-12-01 08:00:00,403.0
Rohini,PM10,2025-12-01 09:00:00,469.0
Rohini,PM10,2025-12-01 10:00:00,434.0
Rohini,PM10,2025-12-01 11:00:00,390.0
Rohini,PM10,2025-12-01 12:00:00,272.0
Rohini,PM10,2025-12-01 13:00:00,213.0
Rohini,PM10,2025-12-01 14:00:00,179.0
Rohini,PM10,2025-12-01 15:00:00,147.0
Rohini,PM10,2025-12-01 16:00:00,189.0
Rohini,PM10,2025-12-01 17:00:00,199.0
Rohini,PM10,2025-12-01 18:00:00,356.0
Rohini,PM10,2025-12-01 19:00:00,327.0
Rohini,PM10,2025-12-01 20:00:00,583.0
Rohini,PM10,2025-12-01 21:00:00,567.0
Rohini,PM10,2025-12-01 22:00:00,576.0
Rohini,PM10,2025-12-01 23:00:00,720.0
Rohini,PM10,2025-12-02 00:00:00,658.0
Rohini,PM10,2025-12-02 01:00:00,572.0
Rohini,PM10,2025-12-02 02:00:00,567.0
Rohini,PM10,2025-12-02 03:00:00,490.0
Rohini,PM10,2025-12-02 04:00:00,394.0
Rohini,PM10,2025-12-02 05:00:00,360.0
Rohini,PM10,2025-12-02 06:00:00,345.0
Rohini,PM10,2025-12-02 07:00:00,414.0
Rohini,PM10,2025-12-02 08:00:00,483.0
Rohini,PM10,2025-12-02 09:00:00,599.0
Rohini,PM10,2025-12-02 10:00:00,762.0
Rohini,PM10,2025-12-02 11:00:00,608.0
Rohini,PM10,2025-12-02 12:00:00,732.0
Rohini,PM10,2025-12-02 13:00:00,572.0
Rohini,PM10,2025-12-02 14:00:00,459.0
Rohini,PM10,2025-12-02 15:00:00,355.0
Rohini,PM10,2025-12-02 16:00:00,371.0
Rohini,PM10,2025-12-02 17:00:00,300.0
Rohini,PM10,2025-12-02 18:00:00,403.0
Rohini,PM10,2025-12-02 19:00:00,498.0
Rohini,PM10,2025-12-02 20:00:00,465.0
Rohini,PM10,2025-12-02 21:00:00,521.0
Rohini,PM10,2025-12-02 22:00:00,697.0
Rohini,PM10,2025-12-02 23:00:00,482.0
Rohini,PM10,2025-12-03 00:00:00,399.0
Rohini,PM10,2025-12-03 01:00:00,427.0
Rohini,PM10,2025-12-03 02:00:00,455.0
Rohini,PM10,2025-12-03 03:00:00,378.0
Rohini,PM10,2025-12-03 12:00:00,266.0
Rohini,PM10,2025-12-03 13:00:00,216.0
Rohini,PM10,2025-12-03 14:00:00,194.0
Rohini,PM10,2025-12-03 15:00:00,153.0
Rohini,PM10,2025-12-03 16:00:00,147.0
Rohini,PM10,2025-12-03 17:00:00,182.0
Rohini,PM10,2025-12-03 18:00:00,285.0
Rohini,PM10,2025-12-03 19:00:00,445.0
Rohini,PM10,2025-12-03 20:00:00,384.0
Rohini,PM10,2025-12-03 21:00:00,420.0
Rohini,PM10,2025-12-03 22:00:00,511.0
Rohini,PM10,2025-12-03 23:00:00,464.0
Rohini,PM10,2025-12-04 00:00:00,556.0
Rohini,PM10,2025-12-04 01:00:00,398.0
Rohini,PM10,2025-12-04 02:00:00,295.0
Rohini,PM10,2025-12-04 03:00:00,263.0
Rohini,PM10,2025-12-04 04:00:00,362.0
Rohini,PM10,2025-12-04 05:00:00,379.0
Rohini,PM10,2025-12-04 06:00:00,329.0
Rohini,PM10,2025-12-04 07:00:00,313.0
Rohini,PM10,2025-12-04 08:00:00,338.0
Rohini,PM10,2025-12-04 09:00:00,367.0
Rohini,PM10,2025-12-04 10:00:00,356.0
Rohini,PM10,2025-12-04 11:00:00,306.0
Rohini,PM10,2025-12-04 12:00:00,241.0
Rohini,PM10,2025-12-04 13:00:00,197.0
Rohini,PM10,2025-12-04 14:00:00,180.0
Rohini,PM10,2025-12-04 15:00:00,180.0
Rohini,PM10,2025-12-04 16:00:00,182.0
Rohini,PM10,2025-12-04 17:00:00,216.0
Rohini,PM10,2025-12-04 18:00:00,249.0
Rohini,PM10,2025-12-04 19:00:00,459.0
Rohini,PM10,2025-12-04 20:00:00,532.0
Rohini,PM10,2025-12-04 21:00:00,553.0
Rohini,PM10,2025-12-04 22:00:00,504.0
Rohini,PM10,2025-12-04 23:00:00,420.0
Rohini,PM10,2025-12-05 00:00:00,385.0
Rohini,PM10,2025-12-05 01:00:00,385.0
Rohini,PM10,2025-12-05 02:00:00,492.0
Rohini,PM10,2025-12-05 03:00:00,493.0
Rohini,PM10,2025-12-05 04:00:00,392.0
Rohini,PM10,2025-12-05 05:00:00,384.0
Rohini,PM10,2025-12-05 06:00:00,301.0
Rohini,PM10,2025-12-05 07:00:00,351.0
Rohini,PM10,2025-12-05 08:00:00,432.0
Rohini,PM10,2025-12-05 09:00:00,404.0
Rohini,PM10,2025-12-05 10:00:00,378.0
Rohini,PM10,2025-12-05 11:00:00,382.0
Rohini,PM10,2025-12-05 12:00:00,368.0
Rohini,PM10,2025-12-05 13:00:00,255.0
Rohini,PM10,2025-12-05 14:00:00,289.0
Rohini,PM10,2025-12-05 15:00:00,224.0
Rohini,PM10,2025-12-05 16:00:00,197.0
Rohini,PM10,2025-12-05 17:00:00,229.0
Rohini,PM10,2025-12-05 18:00:00,320.0
Rohini,PM10,2025-12-05 19:00:00,481.0
Rohini,PM10,2025-12-05 20:00:00,487.0
Rohini,PM10,2025-12-05 21:00:00,519.0
Rohini,PM10,2025-12-05 22:00:00,482.0
Rohini,PM10,2025-12-05 23:00:00,486.0
Rohini,PM10,2025-12-06 00:00:00,339.0
Rohini,PM10,2025-12-06 01:00:00,315.0
Rohini,PM10,2025-12-06 02:00:00,313.0
Rohini,PM10,2025-12-06 03:00:00,306.0
Rohini,PM10,2025-12-06 04:00:00,349.0
Rohini,PM10,2025-12-06 05:00:00,351.0
Rohini,PM10,2025-12-06 06:00:00,344.0
Rohini,PM10,2025-12-06 07:00:00,338.0
Rohini,PM10,2025-12-06 08:00:00,339.0
Rohini,PM10,2025-12-06 09:00:00,315.0
Rohini,PM10,2025-12-06 10:00:00,317.0
Rohini,PM10,2025-12-06 11:00:00,311.0
Rohini,PM10,2025-12-06 12:00:00,317.0
Rohini,PM10,2025-12-06 13:00:00,288.0
Rohini,PM10,2025-12-06 14:00:00,237.0
Rohini,PM10,2025-12-06 15:00:00,189.0
Rohini,PM10,2025-12-06 16:00:00,172.0
Rohini,PM10,2025-12-06 17:00:00,219.0
Rohini,PM10,2025-12-06 18:00:00,277.0
Rohini,PM10,2025-12-06 19:00:00,322.0
Rohini,PM10,2025-12-06 20:00:00,302.0
Rohini,PM10,2025-12-06 21:00:00,362.0
Rohini,PM10,2025-12-06 22:00:00,387.0
Rohini,PM10,2025-12-06 23:00:00,321.0
Rohini,PM10,2025-12-07 00:00:00,271.0
