zone,param,timestamp,value
Rohini,humidity,2025-12-01 01:00:00,81.5
Rohini,humidity,2025-12-01 02:00:00,79.9
Rohini,humidity,2025-12-01 03:00:00,83.5
Rohini,humidity,2025-12-01 04:00:00,84.9
Rohini,humidity,2025-12-01 05:00:00,85.6
Rohini,humidity,2025-12-01 06:00:00,88.7
Rohini,humidity,2025-12-01 07:00:00,87.6
Rohini,humidity,2025-12-01 08:00:00,88.1
Rohini,humidity,2025-12-01 09:00:00,69.0
Rohini,humidity,2025-12-01 10:00:00,56.2
Rohini,humidity,2025-12-01 11:00:00,46.6
Rohini,humidity,2025-12-01 12:00:00,38.6
Rohini,humidity,2025-12-01 13:00:00,35.6
Rohini,humidity,2025-12-01 14:00:00,35.9
Rohini,humidity,2025-12-01 15:00:00,34.4
Rohini,humidity,2025-12-01 16:00:00,37.7
Rohini,humidity,2025-12-01 17:00:00,47.1
Rohini,humidity,2025-12-01 18:00:00,61.2
Rohini,humidity,2025-12-01 19:00:00,70.7
Rohini,humidity,2025-12-01 20:00:00,74.1
Rohini,humidity,2025-12-01 21:00:00,80.6
Rohini,humidity,2025-12-01 22:00:00,82.7
Rohini,humidity,2025-12-01 23:00:00,83.7
Rohini,humidity,2025-12-02 00:00:00,82.8
Rohini,humidity,2025-12-02 01:00:00,86.3
Rohini,humidity,2025-12-02 02:00:00,85.7
Rohini,humidity,2025-12-02 03:00:00,77.9
Rohini,humidity,2025-12-02 04:00:00,63.5
Rohini,humidity,2025-12-02 05:00:00,70.1
Rohini,humidity,2025-12-02 06:00:00,71.6
Rohini,humidity,2025-12-02 07:00:00,77.1
Rohini,humidity,2025-12-02 08:00:00,81.1
Rohini,humidity,2025-12-02 09:00:00,68.8
Rohini,humidity,2025-12-02 10:00:00,54.0
Rohini,humidity,2025-12-02 11:00:00,47.8
Rohini,humidity,2025-12-02 12:00:00,47.5
Rohini,humidity,2025-12-02 13:00:00,45.7
Rohini,humidity,2025-12-02 14:00:00,43.8
Rohini,humidity,2025-12-02 15:00:00,43.1
Rohini,humidity,2025-12-02 16:00:00,45.5
