zone,param,timestamp,value
Vivek Vihar,NO2,2025-12-01 01:00:00,89.2
Vivek Vihar,NO2,2025-12-01 02:00:00,77.1
Vivek Vihar,NO2,2025-12-01 03:00:00,77.8
Vivek Vihar,NO2,2025-12-01 04:00:00,69.7
Vivek Vihar,NO2,2025-12-01 05:00:00,69.6
Vivek Vihar,NO2,2025-12-01 06:00:00,62.2
Vivek Vihar,NO2,2025-12-01 07:00:00,61.5
Vivek Vihar,NO2,2025-12-01 08:00:00,66.7
Vivek Vihar,NO2,2025-12-01 09:00:00,104.6
Vivek Vihar,NO2,2025-12-01 10:00:00,112.9
Vivek Vihar,NO2,2025-12-01 11:00:00,108.7
Vivek Vihar,NO2,2025-12-01 12:00:00,82.0
Vivek Vihar,NO2,2025-12-01 13:00:00,70.0
Vivek Vihar,NO2,2025-12-01 14:00:00,63.7
Vivek Vihar,NO2,2025-12-01 15:00:00,60.5
Vivek Vihar,NO2,2025-12-01 16:00:00,68.4
Vivek Vihar,NO2,2025-12-01 17:00:00,90.0
Vivek Vihar,NO2,2025-12-01 18:00:00,118.4
Vivek Vihar,NO2,2025-12-01 19:00:00,106.9
Vivek Vihar,NO2,2025-12-01 20:00:00,118.7
Vivek Vihar,NO2,2025-12-01 21:00:00,113.5
Vivek Vihar,NO2,2025-12-01 22:00:00,109.4
Vivek Vihar,NO2,2025-12-02 10:00:00,120.4
Vivek Vihar,NO2,2025-12-02 11:00:00,128.7
Vivek Vihar,NO2,2025-12-02 12:00:00,121.1
Vivek Vihar,NO2,2025-12-02 13:00:00,102.7
Vivek Vihar,NO2,2025-12-02 14:00:00,95.8
Vivek Vihar,NO2,2025-12-02 15:00:00,94.4
Vivek Vihar,NO2,2025-12-02 16:00:00,86.0
Vivek Vihar,NO2,2025-12-02 17:00:00,89.8
Vivek Vihar,NO2,2025-12-02 18:00:00,91.2
Vivek Vihar,NO2,2025-12-02 19:00:00,110.5
Vivek Vihar,NO2,2025-12-02 20:00:00,116.1
Vivek Vihar,NO2,2025-12-02 21:00:00,112.9
Vivek Vihar,NO2,2025-12-02 22:00:00,103.6
Vivek Vihar,NO2,2025-12-02 23:00:00,95.1
Vivek Vihar,NO2,2025-12-03 00:00:00,83.7
Vivek Vihar,NO2,2025-12-03 01:00:00,83.4
Vivek Vihar,NO2,2025-12-04 08:00:00,74.6
Vivek Vihar,NO2,2025-12-04 09:00:00,70.6
Vivek Vihar,NO2,2025-12-04 10:00:00,61.2
Vivek Vihar,NO2,2025-12-04 11:00:00,55.4
Vivek Vihar,NO2,2025-12-04 12:00:00,56.2
Vivek Vihar,NO2,2025-12-04 13:00:00,55.9
Vivek Vihar,NO2,2025-12-04 14:00:00,59.2
Vivek Vihar,NO2,2025-12-04 15:00:00,57.1
Vivek Vihar,NO2,2025-12-04 16:00:00,56.2
Vivek Vihar,NO2,2025-12-04 17:00:00,63.1
Vivek Vihar,NO2,2025-12-04 18:00:00,75.7
Vivek Vihar,NO2,2025-12-04 19:00:00,107.3
Vivek Vihar,NO2,2025-12-05 02:00:00,79.8
Vivek Vihar,NO2,2025-12-05 04:00:00,67.1
Vivek Vihar,NO2,2025-12-05 05:00:00,74.5
Vivek Vihar,NO2,2025-12-05 06:00:00,70.6
Vivek Vihar,NO2,2025-12-05 07:00:00,78.3
Vivek Vihar,NO2,2025-12-05 08:00:00,82.0
Vivek Vihar,NO2,2025-12-05 09:00:00,94.6
Vivek Vihar,NO2,2025-12-05 10:00:00,77.4
Vivek Vihar,NO2,2025-12-05 11:00:00,76.3
Vivek Vihar,NO2,2025-12-05 12:00:00,51.9
Vivek Vihar,NO2,2025-12-05 13:00:00,
Vivek Vihar,NO2,2025-12-05 14:00:00,56.1
Vivek Vihar,NO2,2025-12-05 15:00:00,53.4
Vivek Vihar,NO2,2025-12-05 16:00:00,42.3
Vivek Vihar,NO2,2025-12-05 17:00:00,61.1
Vivek Vihar,NO2,2025-12-05 19:00:00,115.2
Vivek Vihar,NO2,2025-12-05 20:00:00,109.6
Vivek Vihar,NO2,2025-12-05 21:00:00,105.8
Vivek Vihar,NO2,2025-12-05 22:00:00,105.6
Vivek Vihar,NO2,2025-12-05 23:00:00,102.2
Vivek Vihar,NO2,2025-12-06 00:00:00,114.2
Vivek Vihar,NO2,2025-12-06 01:00:00,97.4
Vivek Vihar,NO2,2025-12-06 02:00:00,94.4
Vivek Vihar,NO2,2025-12-06 03:00:00,93.3
Vivek Vihar,NO2,2025-12-06 04:00:00,73.1
Vivek Vihar,NO2,2025-12-06 05:00:00,71.4
Vivek Vihar,NO2,2025-12-06 06:00:00,67.4
Vivek Vihar,NO2,2025-12-06 07:00:00,60.3
Vivek Vihar,NO2,2025-12-06 08:00:00,63.1
Vivek Vihar,NO2,2025-12-06 09:00:00,66.7
Vivek Vihar,NO2,2025-12-06 10:00:00,65.9
Vivek Vihar,NO2,2025-12-06 11:00:00,62.1
Vivek Vihar,NO2,2025-12-06 12:00:00,65.3
Vivek Vihar,NO2,2025-12-06 13:00:00,62.6
Vivek Vihar,NO2,2025-12-06 14:00:00,63.9
Vivek Vihar,NO2,2025-12-06 15:00:00,60.5
Vivek Vihar,NO2,2025-12-06 16:00:00,32.2
Vivek Vihar,NO2,2025-12-06 17:00:00,50.7
Vivek Vihar,NO2,2025-12-06 18:00:00,76.8
Vivek Vihar,NO2,2025-12-06 19:00:00,95.7
Vivek Vihar,NO2,2025-12-06 20:00:00,103.4
