zone,param,timestamp,value
Vivek Vihar,PM2.5,2025-12-01 01:00:00,213.0
Vivek Vihar,PM2.5,2025-12-01 02:00:00,172.0
Vivek Vihar,PM2.5,2025-12-01 03:00:00,171.0
Vivek Vihar,PM2.5,2025-12-01 04:00:00,172.0
Vivek Vihar,PM2.5,2025-12-01 05:00:00,168.0
Vivek Vihar,PM2.5,2025-12-01 06:00:00,168.0
Vivek Vihar,PM2.5,2025-12-01 07:00:00,194.0
Vivek Vihar,PM2.5,2025-12-01 08:00:00,199.0
Vivek Vihar,PM2.5,2025-12-01 09:00:00,215.0
Vivek Vihar,PM2.5,2025-12-01 10:00:00,244.0
Vivek Vihar,PM2.5,2025-12-01 11:00:00,280.0
Vivek Vihar,PM2.5,2025-12-01 12:00:00,160.0
Vivek Vihar,PM2.5,2025-12-01 13:00:00,158.0
Vivek Vihar,PM2.5,2025-12-01 14:00:00,143.0
Vivek Vihar,PM2.5,2025-12-01 15:00:00,132.0
Vivek Vihar,PM2.5,2025-12-01 16:00:00,132.0
Vivek Vihar,PM2.5,2025-12-01 17:00:00,118.0
Vivek Vihar,PM2.5,2025-12-01 18:00:00,163.0
Vivek Vihar,PM2.5,2025-12-01 19:00:00,244.0
Vivek Vihar,PM2.5,2025-12-01 20:00:00,360.0
Vivek Vihar,PM2.5,2025-12-01 21:00:00,372.0
Vivek Vihar,PM2.5,2025-12-01 22:00:00,383.0
Vivek Vihar,PM2.5,2025-12-02 10:00:00,389.0
Vivek Vihar,PM2.5,2025-12-02 11:00:00,365.0
Vivek Vihar,PM2.5,2025-12-02 12:00:00,342.0
Vivek Vihar,PM2.5,2025-12-02 13:00:00,327.0
Vivek Vihar,PM2.5,2025-12-02 14:00:00,254.0
Vivek Vihar,PM2.5,2025-12-02 15:00:00,273.0
Vivek Vihar,PM2.5,2025-12-02 16:00:00,233.0
Vivek Vihar,PM2.5,2025-12-02 17:00:00,208.0
Vivek Vihar,PM2.5,2025-12-02 18:00:00,226.0
Vivek Vihar,PM2.5,2025-12-02 19:00:00,241.0
Vivek Vihar,PM2.5,2025-12-02 20:00:00,289.0
Vivek Vihar,PM2.5,2025-12-02 21:00:00,302.0
Vivek Vihar,PM2.5,2025-12-02 22:00:00,271.0
Vivek Vihar,PM2.5,2025-12-02 23:00:00,262.0
Vivek Vihar,PM2.5,2025-12-03 00:00:00,268.0
Vivek Vihar,PM2.5,2025-12-03 01:00:00,266.0
Vivek Vihar,PM2.5,2025-12-04 08:00:00,224.0
Vivek Vihar,PM2.5,2025-12-04 09:00:00,224.0
Vivek Vihar,PM2.5,2025-12-04 10:00:00,189.0
Vivek Vihar,PM2.5,2025-12-04 11:00:00,171.0
Vivek Vihar,PM2.5,2025-12-04 12:00:00,139.0
Vivek Vihar,PM2.5,2025-12-04 13:00:00,122.0
Vivek Vihar,PM2.5,2025-12-04 14:00:00,113.0
Vivek Vihar,PM2.5,2025-12-04 15:00:00,116.0
Vivek Vihar,PM2.5,2025-12-04 16:00:00,119.0
Vivek Vihar,PM2.5,2025-12-04 17:00:00,118.0
Vivek Vihar,PM2.5,2025-12-04 18:00:00,127.0
Vivek Vihar,PM2.5,2025-12-04 19:00:00,172.0
Vivek Vihar,PM2.5,2025-12-05 02:00:00,205.0
Vivek Vihar,PM2.5,2025-12-05 04:00:00,195.0
Vivek Vihar,PM2.5,2025-12-05 05:00:00,204.0
Vivek Vihar,PM2.5,2025-12-05 06:00:00,200.0
Vivek Vihar,PM2.5,2025-12-05 07:00:00,193.0
Vivek Vihar,PM2.5,2025-12-05 08:00:00,
Vivek Vihar,PM2.5,2025-12-05 09:00:00,
Vivek Vihar,PM2.5,2025-12-05 10:00:00,
Vivek Vihar,PM2.5,2025-12-05 11:00:00,
Vivek Vihar,PM2.5,2025-12-05 12:00:00,
Vivek Vihar,PM2.5,2025-12-05 13:00:00,
Vivek Vihar,PM2.5,2025-12-05 14:00:00,
