zone,param,timestamp,value
Vivek Vihar,SO2,2025-12-01 01:00:00,7.6
Vivek Vihar,SO2,2025-12-01 02:00:00,6.4
Vivek Vihar,SO2,2025-12-01 03:00:00,6.0
Vivek Vihar,SO2,2025-12-01 04:00:00,6.3
Vivek Vihar,SO2,2025-12-01 05:00:00,7.3
Vivek Vihar,SO2,2025-12-01 06:00:00,6.6
Vivek Vihar,SO2,2025-12-01 07:00:00,7.3
Vivek Vihar,SO2,2025-12-01 08:00:00,7.6
Vivek Vihar,SO2,2025-12-01 09:00:00,11.1
Vivek Vihar,SO2,2025-12-01 10:00:00,16.9
Vivek Vihar,SO2,2025-12-01 11:00:00,19.9
Vivek Vihar,SO2,2025-12-01 12:00:00,24.2
Vivek Vihar,SO2,2025-12-01 13:00:00,23.6
Vivek Vihar,SO2,2025-12-01 14:00:00,28.9
Vivek Vihar,SO2,2025-12-01 15:00:00,22.6
Vivek Vihar,SO2,2025-12-01 16:00:00,30.6
Vivek Vihar,SO2,2025-12-01 17:00:00,28.2
Vivek Vihar,SO2,2025-12-01 18:00:00,16.9
Vivek Vihar,SO2,2025-12-01 19:00:00,16.8
Vivek Vihar,SO2,2025-12-01 20:00:00,16.1
Vivek Vihar,SO2,2025-12-01 21:00:00,12.9
Vivek Vihar,SO2,2025-12-01 22:00:00,11.1
Vivek Vihar,SO2,2025-12-02 10:00:00,215.7
Vivek Vihar,SO2,2025-12-02 11:00:00,82.6
Vivek Vihar,SO2,2025-12-02 12:00:00,61.3
Vivek Vihar,SO2,2025-12-02 13:00:00,41.9
Vivek Vihar,SO2,2025-12-02 14:00:00,38.9
Vivek Vihar,SO2,2025-12-02 15:00:00,41.2
Vivek Vihar,SO2,2025-12-02 16:00:00,26.1
Vivek Vihar,SO2,2025-12-02 17:00:00,19.8
Vivek Vihar,SO2,2025-12-02 18:00:00,15.2
Vivek Vihar,SO2,2025-12-02 19:00:00,12.8
Vivek Vihar,SO2,2025-12-02 20:00:00,12.0
Vivek Vihar,SO2,2025-12-02 21:00:00,11.4
Vivek Vihar,SO2,2025-12-02 22:00:00,8.6
Vivek Vihar,SO2,2025-12-02 23:00:00,6.9
Vivek Vihar,SO2,2025-12-03 00:00:00,6.6
Vivek Vihar,SO2,2025-12-03 01:00:00,6.7
Vivek Vihar,SO2,2025-12-04 08:00:00,9.7
Vivek Vihar,SO2,2025-12-04 09:00:00,14.2
Vivek Vihar,SO2,2025-12-04 10:00:00,17.6
Vivek Vihar,SO2,2025-12-04 11:00:00,16.6
Vivek Vihar,SO2,2025-12-04 12:00:00,13.9
Vivek Vihar,SO2,2025-12-04 13:00:00,17.3
Vivek Vihar,SO2,2025-12-04 14:00:00,32.2
Vivek Vihar,SO2,2025-12-04 15:00:00,
Vivek Vihar,SO2,2025-12-04 16:00:00,21.5
Vivek Vihar,SO2,2025-12-04 17:00:00,20.4
Vivek Vihar,SO2,2025-12-04 18:00:00,14.5
Vivek Vihar,SO2,2025-12-04 19:00:00,11.0
Vivek Vihar,SO2,2025-12-05 02:00:00,4.9
Vivek Vihar,SO2,2025-12-05 04:00:00,6.0
Vivek Vihar,SO2,2025-12-05 05:00:00,6.8
Vivek Vihar,SO2,2025-12-05 06:00:00,6.6
Vivek Vihar,SO2,2025-12-05 07:00:00,6.3
Vivek Vihar,SO2,2025-12-05 08:00:00,5.9
Vivek Vihar,SO2,2025-12-05 09:00:00,8.9
Vivek Vihar,SO2,2025-12-05 10:00:00,15.0
Vivek Vihar,SO2,2025-12-05 11:00:00,18.3
Vivek Vihar,SO2,2025-12-05 12:00:00,20.8
Vivek Vihar,SO2,2025-12-05 13:00:00,
Vivek Vihar,SO2,2025-12-05 14:00:00,40.8
Vivek Vihar,SO2,2025-12-05 15:00:00,19.6
Vivek Vihar,SO2,2025-12-05 16:00:00,17.0
Vivek Vihar,SO2,2025-12-05 17:00:00,14.0
Vivek Vihar,SO2,2025-12-05 19:00:00,10.8
Vivek Vihar,SO2,2025-12-05 20:00:00,9.9
Vivek Vihar,SO2,2025-12-05 21:00:00,9.7
Vivek Vihar,SO2,2025-12-05 22:00:00,10.6
Vivek Vihar,SO2,2025-12-05 23:00:00,9.4
Vivek Vihar,SO2,2025-12-06 00:00:00,9.4
Vivek Vihar,SO2,2025-12-06 01:00:00,8.3
Vivek Vihar,SO2,2025-12-06 02:00:00,7.1
Vivek Vihar,SO2,2025-12-06 03:00:00,7.8
Vivek Vihar,SO2,2025-12-06 04:00:00,7.2
Vivek Vihar,SO2,2025-12-06 05:00:00,8.5
Vivek Vihar,SO2,2025-12-06 06:00:00,9.3
Vivek Vihar,SO2,2025-12-06 07:00:00,10.7
Vivek Vihar,SO2,2025-12-06 08:00:00,10.2
Vivek Vihar,SO2,2025-12-06 09:00:00,11.7
Vivek Vihar,SO2,2025-12-06 10:00:00,14.6
Vivek Vihar,SO2,2025-12-06 11:00:00,15.5
Vivek Vihar,SO2,2025-12-06 12:00:00,14.2
Vivek Vihar,SO2,2025-12-06 13:00:00,14.8
Vivek Vihar,SO2,2025-12-06 14:00:00,15.4
Vivek Vihar,SO2,2025-12-06 15:00:00,13.1
Vivek Vihar,SO2,2025-12-06 16:00:00,13.5
Vivek Vihar,SO2,2025-12-06 17:00:00,16.3
Vivek Vihar,SO2,2025-12-06 18:00:00,18.8
Vivek Vihar,SO2,2025-12-06 19:00:00,14.6
Vivek Vihar,SO2,2025-12-06 20:00:00,15.2
