zone,param,timestamp,value
Vivek Vihar,humidity,2025-12-01 01:00:00,64.0
Vivek Vihar,humidity,2025-12-01 02:00:00,67.2
Vivek Vihar,humidity,2025-12-01 03:00:00,70.2
Vivek Vihar,humidity,2025-12-01 04:00:00,74.0
Vivek Vihar,humidity,2025-12-01 05:00:00,79.5
Vivek Vihar,humidity,2025-12-01 06:00:00,80.1
Vivek Vihar,humidity,2025-12-01 07:00:00,81.3
Vivek Vihar,humidity,2025-12-01 08:00:00,78.8
Vivek Vihar,humidity,2025-12-01 09:00:00,49.6
Vivek Vihar,humidity,2025-12-01 10:00:00,44.0
Vivek Vihar,humidity,2025-12-01 11:00:00,41.1
Vivek Vihar,humidity,2025-12-01 12:00:00,37.4
Vivek Vihar,humidity,2025-12-01 13:00:00,36.0
Vivek Vihar,humidity,2025-12-01 14:00:00,35.2
Vivek Vihar,humidity,2025-12-01 15:00:00,36.5
Vivek Vihar,humidity,2025-12-01 16:00:00,37.5
Vivek Vihar,humidity,2025-12-01 17:00:00,43.2
Vivek Vihar,humidity,2025-12-01 18:00:00,50.7
Vivek Vihar,humidity,2025-12-01 19:00:00,55.0
Vivek Vihar,humidity,2025-12-01 20:00:00,60.9
Vivek Vihar,humidity,2025-12-01 21:00:00,64.3
Vivek Vihar,humidity,2025-12-01 22:00:00,70.8
Vivek Vihar,humidity,2025-12-02 10:00:00,45.3
Vivek Vihar,humidity,2025-12-02 11:00:00,41.7
Vivek Vihar,humidity,2025-12-02 12:00:00,40.9
Vivek Vihar,humidity,2025-12-02 13:00:00,39.0
Vivek Vihar,humidity,2025-12-02 14:00:00,40.9
Vivek Vihar,humidity,2025-12-02 15:00:00,41.8
Vivek Vihar,humidity,2025-12-02 16:00:00,45.3
Vivek Vihar,humidity,2025-12-02 17:00:00,52.3
Vivek Vihar,humidity,2025-12-02 18:00:00,60.1
Vivek Vihar,humidity,2025-12-02 19:00:00,65.0
Vivek Vihar,humidity,2025-12-02 20:00:00,68.8
Vivek Vihar,humidity,2025-12-02 21:00:00,66.3
Vivek Vihar,humidity,2025-12-02 22:00:00,68.1
Vivek Vihar,humidity,2025-12-02 23:00:00,67.3
Vivek Vihar,humidity,2025-12-03 00:00:00,68.1
Vivek Vihar,humidity,2025-12-03 01:00:00,70.6
Vivek Vihar,humidity,2025-12-04 08:00:00,66.5
Vivek Vihar,humidity,2025-12-04 09:00:00,54.8
Vivek Vihar,humidity,2025-12-04 10:00:00,49.7
Vivek Vihar,humidity,2025-12-04 11:00:00,45.9
Vivek Vihar,humidity,2025-12-04 12:00:00,46.3
Vivek Vihar,humidity,2025-12-04 13:00:00,40.0
Vivek Vihar,humidity,2025-12-04 14:00:00,40.1
Vivek Vihar,humidity,2025-12-04 15:00:00,39.8
Vivek Vihar,humidity,2025-12-04 16:00:00,40.2
Vivek Vihar,humidity,2025-12-04 17:00:00,44.8
Vivek Vihar,humidity,2025-12-04 18:00:00,54.8
Vivek Vihar,humidity,2025-12-04 19:00:00,62.5
Vivek Vihar,humidity,2025-12-05 02:00:00,71.4
Vivek Vihar,humidity,2025-12-05 04:00:00,80.7
Vivek Vihar,humidity,2025-12-05 05:00:00,80.7
Vivek Vihar,humidity,2025-12-05 06:00:00,78.1
Vivek Vihar,humidity,2025-12-05 07:00:00,74.2
Vivek Vihar,humidity,2025-12-05 08:00:00,70.6
Vivek Vihar,humidity,2025-12-05 09:00:00,55.2
Vivek Vihar,humidity,2025-12-05 10:00:00,46.6
Vivek Vihar,humidity,2025-12-05 11:00:00,44.8
Vivek Vihar,humidity,2025-12-05 12:00:00,40.0
Vivek Vihar,humidity,2025-12-05 13:00:00,38.6
Vivek Vihar,humidity,2025-12-05 14:00:00,40.3
Vivek Vihar,humidity,2025-12-05 15:00:00,40.7
Vivek Vihar,humidity,2025-12-05 16:00:00,42.4
Vivek Vihar,humidity,2025-12-05 17:00:00,47.6
Vivek Vihar,humidity,2025-12-05 19:00:00,67.1
Vivek Vihar,humidity,2025-12-05 20:00:00,69.8
Vivek Vihar,humidity,2025-12-05 21:00:00,71.2
Vivek Vihar,humidity,2025-12-05 22:00:00,73.6
Vivek Vihar,humidity,2025-12-05 23:00:00,74.8
Vivek Vihar,humidity,2025-12-06 00:00:00,74.1
Vivek Vihar,humidity,2025-12-06 01:00:00,72.0
Vivek Vihar,humidity,2025-12-06 02:00:00,76.2
Vivek Vihar,humidity,2025-12-06 03:00:00,69.2
Vivek Vihar,humidity,2025-12-06 04:00:00,67.8
Vivek Vihar,humidity,2025-12-06 05:00:00,65.4
Vivek Vihar,humidity,2025-12-06 06:00:00,63.5
Vivek Vihar,humidity,2025-12-06 07:00:00,61.9
Vivek Vihar,humidity,2025-12-06 08:00:00,58.0
Vivek Vihar,humidity,2025-12-06 09:00:00,51.5
Vivek Vihar,humidity,2025-12-06 10:00:00,47.5
Vivek Vihar,humidity,2025-12-06 11:00:00,43.7
Vivek Vihar,humidity,2025-12-06 12:00:00,42.4
Vivek Vihar,humidity,2025-12-06 13:00:00,40.6
Vivek Vihar,humidity,2025-12-06 14:00:00,38.6
Vivek Vihar,humidity,2025-12-06 15:00:00,36.4
Vivek Vihar,humidity,2025-12-06 16:00:00,36.8
Vivek Vihar,humidity,2025-12-06 17:00:00,40.8
Vivek Vihar,humidity,2025-12-06 18:00:00,47.1
Vivek Vihar,humidity,2025-12-06 19:00:00,51.5
Vivek Vihar,humidity,2025-12-06 20:00:00,52.9
