zone,param,timestamp,value
Vivek Vihar,temp,2025-12-01 01:00:00,13.7
Vivek Vihar,temp,2025-12-01 02:00:00,13.2
Vivek Vihar,temp,2025-12-01 03:00:00,12.7
Vivek Vihar,temp,2025-12-01 04:00:00,12.8
Vivek Vihar,temp,2025-12-01 05:00:00,12.7
Vivek Vihar,temp,2025-12-01 06:00:00,12.5
Vivek Vihar,temp,2025-12-01 07:00:00,12.4
Vivek Vihar,temp,2025-12-01 08:00:00,14.1
Vivek Vihar,temp,2025-12-01 09:00:00,18.5
Vivek Vihar,temp,2025-12-01 10:00:00,20.2
Vivek Vihar,temp,2025-12-01 11:00:00,20.9
Vivek Vihar,temp,2025-12-01 12:00:00,21.6
Vivek Vihar,temp,2025-12-01 13:00:00,22.1
Vivek Vihar,temp,2025-12-01 14:00:00,22.2
Vivek Vihar,temp,2025-12-01 15:00:00,21.7
Vivek Vihar,temp,2025-12-01 16:00:00,20.9
Vivek Vihar,temp,2025-12-01 17:00:00,19.1
Vivek Vihar,temp,2025-12-01 18:00:00,17.2
Vivek Vihar,temp,2025-12-01 19:00:00,16.2
Vivek Vihar,temp,2025-12-01 20:00:00,15.4
Vivek Vihar,temp,2025-12-01 21:00:00,15.2
Vivek Vihar,temp,2025-12-01 22:00:00,14.7
Vivek Vihar,temp,2025-12-02 10:00:00,19.5
Vivek Vihar,temp,2025-12-02 11:00:00,20.9
Vivek Vihar,temp,2025-12-02 12:00:00,21.3
Vivek Vihar,temp,2025-12-02 13:00:00,22.2
Vivek Vihar,temp,2025-12-02 14:00:00,22.1
Vivek Vihar,temp,2025-12-02 15:00:00,21.6
Vivek Vihar,temp,2025-12-02 16:00:00,20.7
Vivek Vihar,temp,2025-12-02 17:00:00,19.0
Vivek Vihar,temp,2025-12-02 18:00:00,17.1
Vivek Vihar,temp,2025-12-02 19:00:00,16.3
Vivek Vihar,temp,2025-12-02 20:00:00,15.8
Vivek Vihar,temp,2025-12-02 21:00:00,15.8
Vivek Vihar,temp,2025-12-02 22:00:00,15.3
Vivek Vihar,temp,2025-12-02 23:00:00,15.4
Vivek Vihar,temp,2025-12-03 00:00:00,14.9
Vivek Vihar,temp,2025-12-03 01:00:00,14.4
Vivek Vihar,temp,2025-12-04 08:00:00,14.7
Vivek Vihar,temp,2025-12-04 09:00:00,17.1
Vivek Vihar,temp,2025-12-04 10:00:00,18.6
Vivek Vihar,temp,2025-12-04 11:00:00,20.0
Vivek Vihar,temp,2025-12-04 12:00:00,19.2
Vivek Vihar,temp,2025-12-04 13:00:00,20.9
Vivek Vihar,temp,2025-12-04 14:00:00,20.9
Vivek Vihar,temp,2025-12-04 15:00:00,20.7
Vivek Vihar,temp,2025-12-04 16:00:00,20.0
Vivek Vihar,temp,2025-12-04 17:00:00,18.7
Vivek Vihar,temp,2025-12-04 18:00:00,16.1
Vivek Vihar,temp,2025-12-04 19:00:00,15.0
Vivek Vihar,temp,2025-12-05 02:00:00,13.1
Vivek Vihar,temp,2025-12-05 04:00:00,12.4
Vivek Vihar,temp,2025-12-05 05:00:00,12.7
Vivek Vihar,temp,2025-12-05 06:00:00,12.5
Vivek Vihar,temp,2025-12-05 07:00:00,13.3
Vivek Vihar,temp,2025-12-05 08:00:00,14.2
Vivek Vihar,temp,2025-12-05 09:00:00,17.1
Vivek Vihar,temp,2025-12-05 10:00:00,18.8
Vivek Vihar,temp,2025-12-05 11:00:00,19.5
Vivek Vihar,temp,2025-12-05 12:00:00,20.7
Vivek Vihar,temp,2025-12-05 13:00:00,21.1
Vivek Vihar,temp,2025-12-05 14:00:00,21.1
Vivek Vihar,temp,2025-12-05 15:00:00,20.9
Vivek Vihar,temp,2025-12-05 16:00:00,20.2
Vivek Vihar,temp,2025-12-05 17:00:00,18.7
Vivek Vihar,temp,2025-12-05 19:00:00,15.0
Vivek Vihar,temp,2025-12-05 20:00:00,14.8
Vivek Vihar,temp,2025-12-05 21:00:00,14.5
Vivek Vihar,temp,2025-12-05 22:00:00,14.2
Vivek Vihar,temp,2025-12-05 23:00:00,14.0
Vivek Vihar,temp,2025-12-06 00:00:00,14.1
Vivek Vihar,temp,2025-12-06 01:00:00,14.0
Vivek Vihar,temp,2025-12-06 02:00:00,13.4
Vivek Vihar,temp,2025-12-06 03:00:00,14.5
Vivek Vihar,temp,2025-12-06 04:00:00,14.5
Vivek Vihar,temp,2025-12-06 05:00:00,14.7
Vivek Vihar,temp,2025-12-06 06:00:00,14.8
Vivek Vihar,temp,2025-12-06 07:00:00,15.0
Vivek Vihar,temp,2025-12-06 08:00:00,15.9
Vivek Vihar,temp,2025-12-06 09:00:00,17.7
Vivek Vihar,temp,2025-12-06 10:00:00,19.0
Vivek Vihar,temp,2025-12-06 11:00:00,20.2
Vivek Vihar,temp,2025-12-06 12:00:00,20.7
Vivek Vihar,temp,2025-12-06 13:00:00,21.4
Vivek Vihar,temp,2025-12-06 14:00:00,21.8
Vivek Vihar,temp,2025-12-06 15:00:00,21.9
Vivek Vihar,temp,2025-12-06 16:00:00,21.3
Vivek Vihar,temp,2025-12-06 17:00:00,19.7
Vivek Vihar,temp,2025-12-06 18:00:00,18.3
Vivek Vihar,temp,2025-12-06 19:00:00,17.4
Vivek Vihar,temp,2025-12-06 20:00:00,17.0
