zone,param,timestamp,value
Wazirpur,NO2,2025-12-01 01:00:00,61.0
Wazirpur,NO2,2025-12-01 02:00:00,51.9
Wazirpur,NO2,2025-12-01 03:00:00,64.7
Wazirpur,NO2,2025-12-01 04:00:00,60.8
Wazirpur,NO2,2025-12-01 05:00:00,53.3
Wazirpur,NO2,2025-12-01 06:00:00,48.1
Wazirpur,NO2,2025-12-01 07:00:00,52.3
Wazirpur,NO2,2025-12-01 08:00:00,60.9
Wazirpur,NO2,2025-12-01 09:00:00,56.0
Wazirpur,NO2,2025-12-01 10:00:00,61.4
Wazirpur,NO2,2025-12-01 11:00:00,53.8
Wazirpur,NO2,2025-12-01 12:00:00,38.9
Wazirpur,NO2,2025-12-01 13:00:00,43.1
Wazirpur,NO2,2025-12-01 14:00:00,30.8
Wazirpur,NO2,2025-12-01 15:00:00,31.6
Wazirpur,NO2,2025-12-01 16:00:00,38.4
Wazirpur,NO2,2025-12-01 17:00:00,67.6
Wazirpur,NO2,2025-12-01 18:00:00,64.2
Wazirpur,NO2,2025-12-01 19:00:00,101.1
Wazirpur,NO2,2025-12-01 20:00:00,107.9
Wazirpur,NO2,2025-12-01 21:00:00,93.0
Wazirpur,NO2,2025-12-01 22:00:00,88.3
Wazirpur,NO2,2025-12-01 23:00:00,68.4
Wazirpur,NO2,2025-12-02 00:00:00,62.7
Wazirpur,NO2,2025-12-02 01:00:00,59.6
Wazirpur,NO2,2025-12-02 02:00:00,70.5
Wazirpur,NO2,2025-12-02 03:00:00,81.8
Wazirpur,NO2,2025-12-02 04:00:00,72.0
Wazirpur,NO2,2025-12-02 05:00:00,69.5
Wazirpur,NO2,2025-12-02 06:00:00,56.6
Wazirpur,NO2,2025-12-02 07:00:00,55.1
Wazirpur,NO2,2025-12-02 08:00:00,51.0
Wazirpur,NO2,2025-12-02 09:00:00,70.5
Wazirpur,NO2,2025-12-02 10:00:00,75.1
Wazirpur,NO2,2025-12-02 11:00:00,90.5
Wazirpur,NO2,2025-12-02 12:00:00,91.3
Wazirpur,NO2,2025-12-02 13:00:00,70.6
Wazirpur,NO2,2025-12-02 14:00:00,64.9
Wazirpur,NO2,2025-12-02 15:00:00,53.9
Wazirpur,NO2,2025-12-02 16:00:00,54.2
Wazirpur,NO2,2025-12-02 17:00:00,65.7
Wazirpur,NO2,2025-12-02 18:00:00,87.2
Wazirpur,NO2,2025-12-02 19:00:00,80.2
Wazirpur,NO2,2025-12-02 20:00:00,90.7
Wazirpur,NO2,2025-12-02 21:00:00,79.9
Wazirpur,NO2,2025-12-02 22:00:00,67.4
Wazirpur,NO2,2025-12-02 23:00:00,66.6
