zone,param,timestamp,value
Wazirpur,O3,2025-10-01 01:00:00,
Wazirpur,O3,2025-10-01 02:00:00,
Wazirpur,O3,2025-10-01 03:00:00,4.2
Wazirpur,O3,2025-10-01 04:00:00,5.0
Wazirpur,O3,2025-10-01 05:00:00,2.5
Wazirpur,O3,2025-10-01 06:00:00,4.8
Wazirpur,O3,2025-10-01 07:00:00,7.5
Wazirpur,O3,2025-10-01 08:00:00,
Wazirpur,O3,2025-10-01 09:00:00,21.7
Wazirpur,O3,2025-10-01 10:00:00,30.7
Wazirpur,O3,2025-10-01 11:00:00,64.7
Wazirpur,O3,2025-10-01 12:00:00,89.0
Wazirpur,O3,2025-10-01 13:00:00,100.2
Wazirpur,O3,2025-10-01 14:00:00,106.8
Wazirpur,O3,2025-10-01 15:00:00,120.7
Wazirpur,O3,2025-10-01 16:00:00,126.6
Wazirpur,O3,2025-10-01 17:00:00,125.7
Wazirpur,O3,2025-10-01 18:00:00,93.6
Wazirpur,O3,2025-10-01 19:00:00,63.7
Wazirpur,O3,2025-10-01 20:00:00,49.8
Wazirpur,O3,2025-10-01 21:00:00,50.4
Wazirpur,O3,2025-10-01 22:00:00,28.4
Wazirpur,O3,2025-10-01 23:00:00,29.0
Wazirpur,O3,2025-10-02 00:00:00,30.4
Wazirpur,O3,2025-10-02 01:00:00,28.4
Wazirpur,O3,2025-10-02 02:00:00,23.3
Wazirpur,O3,2025-10-02 03:00:00,25.2
Wazirpur,O3,2025-10-02 04:00:00,26.6
Wazirpur,O3,2025-10-02 05:00:00,31.1
Wazirpur,O3,2025-10-02 06:00:00,29.3
Wazirpur,O3,2025-10-02 07:00:00,30.7
Wazirpur,O3,2025-10-02 08:00:00,26.6
Wazirpur,O3,2025-10-02 09:00:00,34.1
Wazirpur,O3,2025-10-02 10:00:00,48.1
Wazirpur,O3,2025-10-02 11:00:00,74.8
Wazirpur,O3,2025-10-02 12:00:00,104.0
Wazirpur,O3,2025-10-02 13:00:00,138.3
Wazirpur,O3,2025-10-02 14:00:00,133.4
Wazirpur,O3,2025-10-02 15:00:00,86.2
Wazirpur,O3,2025-10-02 16:00:00,52.2
Wazirpur,O3,2025-10-02 17:00:00,42.0
Wazirpur,O3,2025-10-02 18:00:00,72.7
Wazirpur,O3,2025-10-02 19:00:00,44.5
Wazirpur,O3,2025-10-02 20:00:00,53.4
Wazirpur,O3,2025-10-02 21:00:00,35.9
Wazirpur,O3,2025-10-02 22:00:00,34.9
Wazirpur,O3,2025-10-02 23:00:00,34.7
Wazirpur,O3,2025-10-03 00:00:00,33.3
Wazirpur,O3,2025-10-03 01:00:00,33.7
Wazirpur,O3,2025-10-03 02:00:00,18.1
Wazirpur,O3,2025-10-03 03:00:00,29.8
Wazirpur,O3,2025-10-03 04:00:00,11.0
Wazirpur,O3,2025-10-03 05:00:00,4.3
Wazirpur,O3,2025-10-03 06:00:00,3.0
Wazirpur,O3,2025-10-03 07:00:00,6.1
Wazirpur,O3,2025-10-03 08:00:00,46.1
Wazirpur,O3,2025-10-03 09:00:00,8.6
Wazirpur,O3,2025-10-03 14:00:00,63.2
Wazirpur,O3,2025-10-03 16:00:00,95.8
Wazirpur,O3,2025-10-03 17:00:00,82.0
Wazirpur,O3,2025-10-03 18:00:00,50.1
Wazirpur,O3,2025-10-03 19:00:00,37.6
Wazirpur,O3,2025-10-03 20:00:00,26.1
Wazirpur,O3,2025-10-03 21:00:00,23.6
Wazirpur,O3,2025-10-03 22:00:00,20.7
Wazirpur,O3,2025-10-03 23:00:00,26.8
Wazirpur,O3,2025-10-04 00:00:00,8.6
Wazirpur,O3,2025-10-04 01:00:00,15.6
Wazirpur,O3,2025-10-04 02:00:00,9.4
Wazirpur,O3,2025-10-04 03:00:00,37.6
Wazirpur,O3,2025-10-04 04:00:00,31.5
Wazirpur,O3,2025-10-04 05:00:00,26.1
Wazirpur,O3,2025-10-04 06:00:00,31.5
Wazirpur,O3,2025-10-04 07:00:00,33.7
Wazirpur,O3,2025-10-04 08:00:00,27.8
Wazirpur,O3,2025-10-04 09:00:00,34.1
Wazirpur,O3,2025-10-04 10:00:00,38.2
Wazirpur,O3,2025-10-04 11:00:00,48.4
Wazirpur,O3,2025-10-04 12:00:00,56.1
Wazirpur,O3,2025-10-04 18:00:00,35.0
Wazirpur,O3,2025-10-04 19:00:00,51.2
Wazirpur,O3,2025-10-04 20:00:00,34.6
Wazirpur,O3,2025-10-04 21:00:00,22.9
Wazirpur,O3,2025-10-04 22:00:00,31.0
Wazirpur,O3,2025-10-04 23:00:00,28.5
Wazirpur,O3,2025-10-05 00:00:00,26.2
Wazirpur,O3,2025-10-05 01:00:00,23.9
Wazirpur,O3,2025-10-05 02:00:00,32.3
Wazirpur,O3,2025-10-05 03:00:00,22.2
Wazirpur,O3,2025-10-05 04:00:00,24.7
Wazirpur,O3,2025-10-05 05:00:00,27.4
Wazirpur,O3,2025-10-05 06:00:00,30.9
Wazirpur,O3,2025-10-05 07:00:00,30.4
Wazirpur,O3,2025-10-05 08:00:00,33.7
Wazirpur,O3,2025-10-05 09:00:00,44.3
Wazirpur,O3,2025-10-05 10:00:00,50.4
Wazirpur,O3,2025-10-05 11:00:00,57.0
Wazirpur,O3,2025-10-05 12:00:00,105.6
Wazirpur,O3,2025-10-05 13:00:00,114.5
Wazirpur,O3,2025-10-05 14:00:00,130.3
Wazirpur,O3,2025-10-05 15:00:00,133.3
Wazirpur,O3,2025-10-05 16:00:00,112.6
Wazirpur,O3,2025-10-05 17:00:00,98.5
Wazirpur,O3,2025-10-05 18:00:00,70.1
Wazirpur,O3,2025-10-05 19:00:00,53.4
Wazirpur,O3,2025-10-05 20:00:00,27.9
