zone,param,timestamp,value
Wazirpur,humidity,2025-12-01 01:00:00,59.9
Wazirpur,humidity,2025-12-01 02:00:00,64.3
Wazirpur,humidity,2025-12-01 03:00:00,63.7
Wazirpur,humidity,2025-12-01 04:00:00,66.5
Wazirpur,humidity,2025-12-01 05:00:00,69.1
Wazirpur,humidity,2025-12-01 06:00:00,68.4
Wazirpur,humidity,2025-12-01 07:00:00,66.7
Wazirpur,humidity,2025-12-01 08:00:00,67.4
Wazirpur,humidity,2025-12-01 09:00:00,52.0
Wazirpur,humidity,2025-12-01 10:00:00,46.3
Wazirpur,humidity,2025-12-01 11:00:00,39.4
Wazirpur,humidity,2025-12-01 12:00:00,37.0
Wazirpur,humidity,2025-12-01 13:00:00,34.0
Wazirpur,humidity,2025-12-01 14:00:00,33.9
Wazirpur,humidity,2025-12-01 15:00:00,34.8
Wazirpur,humidity,2025-12-01 16:00:00,37.6
Wazirpur,humidity,2025-12-01 17:00:00,41.8
Wazirpur,humidity,2025-12-01 18:00:00,47.4
Wazirpur,humidity,2025-12-01 19:00:00,53.6
Wazirpur,humidity,2025-12-01 20:00:00,53.7
Wazirpur,humidity,2025-12-01 21:00:00,56.1
Wazirpur,humidity,2025-12-01 22:00:00,62.1
Wazirpur,humidity,2025-12-01 23:00:00,61.7
Wazirpur,humidity,2025-12-02 00:00:00,62.2
Wazirpur,humidity,2025-12-02 01:00:00,65.9
Wazirpur,humidity,2025-12-02 02:00:00,60.1
Wazirpur,humidity,2025-12-02 03:00:00,60.0
Wazirpur,humidity,2025-12-02 04:00:00,58.1
Wazirpur,humidity,2025-12-02 05:00:00,61.2
Wazirpur,humidity,2025-12-02 06:00:00,59.4
Wazirpur,humidity,2025-12-02 07:00:00,60.8
Wazirpur,humidity,2025-12-02 08:00:00,62.2
Wazirpur,humidity,2025-12-02 09:00:00,51.1
Wazirpur,humidity,2025-12-02 10:00:00,46.1
Wazirpur,humidity,2025-12-02 11:00:00,41.9
Wazirpur,humidity,2025-12-02 12:00:00,42.2
Wazirpur,humidity,2025-12-02 13:00:00,42.4
Wazirpur,humidity,2025-12-02 14:00:00,42.6
Wazirpur,humidity,2025-12-02 15:00:00,43.0
Wazirpur,humidity,2025-12-02 16:00:00,44.7
Wazirpur,humidity,2025-12-02 17:00:00,49.0
Wazirpur,humidity,2025-12-02 18:00:00,58.1
Wazirpur,humidity,2025-12-02 19:00:00,62.2
Wazirpur,humidity,2025-12-02 20:00:00,63.2
Wazirpur,humidity,2025-12-02 21:00:00,61.5
Wazirpur,humidity,2025-12-02 22:00:00,64.3
Wazirpur,humidity,2025-12-02 23:00:00,64.6
Wazirpur,humidity,2025-12-03 00:00:00,66.5
Wazirpur,humidity,2025-12-03 13:00:00,40.4
Wazirpur,humidity,2025-12-03 14:00:00,38.7
Wazirpur,humidity,2025-12-03 15:00:00,38.0
Wazirpur,humidity,2025-12-03 16:00:00,39.8
Wazirpur,humidity,2025-12-03 17:00:00,42.5
Wazirpur,humidity,2025-12-03 18:00:00,51.0
Wazirpur,humidity,2025-12-03 19:00:00,54.0
Wazirpur,humidity,2025-12-03 20:00:00,54.8
Wazirpur,humidity,2025-12-03 21:00:00,54.4
Wazirpur,humidity,2025-12-04 08:00:00,67.4
Wazirpur,humidity,2025-12-04 09:00:00,57.6
Wazirpur,humidity,2025-12-04 10:00:00,52.6
Wazirpur,humidity,2025-12-04 11:00:00,47.4
Wazirpur,humidity,2025-12-04 12:00:00,44.6
Wazirpur,humidity,2025-12-04 13:00:00,39.8
Wazirpur,humidity,2025-12-04 14:00:00,39.1
Wazirpur,humidity,2025-12-04 15:00:00,39.9
Wazirpur,humidity,2025-12-04 16:00:00,41.4
Wazirpur,humidity,2025-12-04 17:00:00,45.3
Wazirpur,humidity,2025-12-04 18:00:00,53.1
Wazirpur,humidity,2025-12-04 19:00:00,58.9
Wazirpur,humidity,2025-12-04 20:00:00,59.2
Wazirpur,humidity,2025-12-04 21:00:00,58.2
Wazirpur,humidity,2025-12-04 22:00:00,62.7
Wazirpur,humidity,2025-12-04 23:00:00,64.0
Wazirpur,humidity,2025-12-05 00:00:00,64.1
Wazirpur,humidity,2025-12-05 01:00:00,67.0
Wazirpur,humidity,2025-12-05 02:00:00,68.7
Wazirpur,humidity,2025-12-05 03:00:00,67.6
Wazirpur,humidity,2025-12-05 04:00:00,68.4
Wazirpur,humidity,2025-12-05 05:00:00,67.8
Wazirpur,humidity,2025-12-05 06:00:00,67.7
Wazirpur,humidity,2025-12-05 07:00:00,70.2
Wazirpur,humidity,2025-12-05 08:00:00,69.2
Wazirpur,humidity,2025-12-05 09:00:00,57.9
Wazirpur,humidity,2025-12-05 10:00:00,48.8
Wazirpur,humidity,2025-12-05 11:00:00,43.2
Wazirpur,humidity,2025-12-05 12:00:00,41.7
Wazirpur,humidity,2025-12-05 13:00:00,41.1
Wazirpur,humidity,2025-12-05 14:00:00,41.0
Wazirpur,humidity,2025-12-05 15:00:00,41.0
Wazirpur,humidity,2025-12-05 16:00:00,44.0
Wazirpur,humidity,2025-12-05 17:00:00,48.7
Wazirpur,humidity,2025-12-05 18:00:00,56.4
Wazirpur,humidity,2025-12-05 19:00:00,60.7
Wazirpur,humidity,2025-12-05 20:00:00,60.5
Wazirpur,humidity,2025-12-05 21:00:00,61.1
Wazirpur,humidity,2025-12-05 22:00:00,61.4
Wazirpur,humidity,2025-12-05 23:00:00,61.2
Wazirpur,humidity,2025-12-06 00:00:00,63.2
Wazirpur,humidity,2025-12-06 01:00:00,65.7
Wazirpur,humidity,2025-12-06 02:00:00,68.8
Wazirpur,humidity,2025-12-06 03:00:00,67.7
Wazirpur,humidity,2025-12-06 04:00:00,67.0
Wazirpur,humidity,2025-12-06 05:00:00,65.9
Wazirpur,humidity,2025-12-06 06:00:00,66.8
Wazirpur,humidity,2025-12-06 07:00:00,69.8
Wazirpur,humidity,2025-12-06 08:00:00,65.3
Wazirpur,humidity,2025-12-06 09:00:00,56.1
Wazirpur,humidity,2025-12-06 10:00:00,51.0
Wazirpur,humidity,2025-12-06 11:00:00,47.2
Wazirpur,humidity,2025-12-06 12:00:00,46.5
Wazirpur,humidity,2025-12-06 13:00:00,42.8
Wazirpur,humidity,2025-12-06 14:00:00,40.0
Wazirpur,humidity,2025-12-06 15:00:00,38.4
Wazirpur,humidity,2025-12-06 16:00:00,40.9
Wazirpur,humidity,2025-12-06 17:00:00,45.4
Wazirpur,humidity,2025-12-06 18:00:00,50.2
Wazirpur,humidity,2025-12-06 19:00:00,51.5
Wazirpur,humidity,2025-12-06 20:00:00,53.2
Wazirpur,humidity,2025-12-06 21:00:00,53.8
Wazirpur,humidity,2025-12-06 22:00:00,53.7
Wazirpur,humidity,2025-12-06 23:00:00,55.0
Wazirpur,humidity,2025-12-07 00:00:00,58.6
