zone,date,PM2.5,PM10,NO2,SO2,CO,O3
Anand Vihar,2025-12-01,213.3,392.4,56.7,51.6,4.43,19.99
Anand Vihar,2025-12-02,275.5,475.4,62.2,57.6,4.2,17.99
Anand Vihar,2025-12-03,130.8,248.3,43.2,12.6,3.08,19.22
Anand Vihar,2025-12-04,171.5,304.4,45.3,11.6,3.83,22.42
Anand Vihar,2025-12-05,207.8,351.2,54.8,13.5,4.83,19.75
Anand Vihar,2025-12-06,184.6,321.3,58.3,15.3,3.82,19.68
Anand Vihar,2025-12-07,187.0,288.0,53.8,18.5,2.5,5.2
Ashok Vihar,2025-12-01,174.9,316.2,78.8,21.3,2.31,107.47
Ashok Vihar,2025-12-02,286.8,497.5,107.5,28.9,2.0,117.58
Ashok Vihar,2025-12-03,146.9,282.5,72.0,21.7,1.73,94.9
Ashok Vihar,2025-12-04,171.9,298.3,71.5,20.6,2.5,100.51
Ashok Vihar,2025-12-05,186.9,326.8,83.5,13.8,1.78,94.06
Ashok Vihar,2025-12-06,177.7,309.8,63.9,14.7,1.26,84.77
Ashok Vihar,2025-12-07,166.0,265.0,69.3,18.5,0.8,31.2
Bawana,2025-12-01,232.0,357.8,21.5,4.2,2.11,54.61
Bawana,2025-12-02,299.0,412.1,27.6,6.5,1.28,44.2
Bawana,2025-12-03,160.6,274.4,16.7,3.9,0.7,52.8
Bawana,2025-12-04,219.6,300.8,18.1,5.2,1.73,48.39
Bawana,2025-12-05,225.2,312.8,19.5,4.4,1.84,48.01
Bawana,2025-12-06,209.0,280.3,14.9,4.5,1.45,44.5
Bawana,2025-12-07,193.0,246.0,15.6,4.8,0.9,16.9
Dwarka,2025-12-01,166.8,292.3,92.2,22.5,2.08,82.61
Dwarka,2025-12-02,219.2,354.8,118.6,30.6,4.03,109.56
Dwarka,2025-12-03,164.8,276.2,79.9,25.9,3.01,75.66
Dwarka,2025-12-04,184.2,309.4,76.5,21.1,2.98,86.49
Dwarka,2025-12-05,181.9,312.4,82.4,22.9,3.48,85.68
Dwarka,2025-12-06,161.2,270.5,73.3,23.5,1.77,86.24
Dwarka,2025-12-07,182.0,293.0,85.9,22.4,1.5,3.2
Jahangirpuri,2025-12-01,191.9,326.3,116.3,27.2,2.23,128.96
Jahangirpuri,2025-12-02,280.8,477.4,126.3,34.3,4.46,122.16
Jahangirpuri,2025-12-03,176.9,310.9,106.8,28.2,2.9,104.89
Jahangirpuri,2025-12-04,185.5,308.6,109.3,29.0,2.65,112.14
Jahangirpuri,2025-12-05,221.3,349.5,121.3,33.8,3.36,116.69
Jahangirpuri,2025-12-06,187.4,295.6,105.7,31.4,2.09,97.57
Jahangirpuri,2025-12-07,210.0,331.0,100.3,22.4,1.4,114.6
Mundka,2025-12-01,159.2,226.2,99.3,9.4,1.5,65.4
