zone,forecast_from,horizon_hours,target_date,predicted_aqi
Narela,2026-07-21,24,2026-07-22,140
Narela,2026-07-21,48,2026-07-23,191
Narela,2026-07-21,72,2026-07-24,164
Jahangirpuri,2026-07-21,24,2026-07-22,199
Jahangirpuri,2026-07-21,48,2026-07-23,240
Jahangirpuri,2026-07-21,72,2026-07-24,199
Okhla,2026-07-21,24,2026-07-22,183
Okhla,2026-07-21,48,2026-07-23,164
Okhla,2026-07-21,72,2026-07-24,150
Anand Vihar,2026-07-21,24,2026-07-22,222
Anand Vihar,2026-07-21,48,2026-07-23,233
Anand Vihar,2026-07-21,72,2026-07-24,220
Dwarka,2026-07-21,24,2026-07-22,155
Dwarka,2026-07-21,48,2026-07-23,226
Dwarka,2026-07-21,72,2026-07-24,161
Mundka,2026-07-21,24,2026-07-22,176
Mundka,2026-07-21,48,2026-07-23,204
Mundka,2026-07-21,72,2026-07-24,192
RK Puram,2026-07-21,24,2026-07-22,178
RK Puram,2026-07-21,48,2026-07-23,226
RK Puram,2026-07-21,72,2026-07-24,194
Rohini,2026-07-21,24,2026-07-22,186
Rohini,2026-07-21,48,2026-07-23,198
Rohini,2026-07-21,72,2026-07-24,183
Ashok Vihar,2026-07-21,24,2026-07-22,189
Ashok Vihar,2026-07-21,48,2026-07-23,222
Ashok Vihar,2026-07-21,72,2026-07-24,189
Vivek Vihar,2026-07-21,24,2026-07-22,189
Vivek Vihar,2026-07-21,48,2026-07-23,160
Vivek Vihar,2026-07-21,72,2026-07-24,198
Wazirpur,2026-07-21,24,2026-07-22,266
Wazirpur,2026-07-21,48,2026-07-23,283
Wazirpur,2026-07-21,72,2026-07-24,268
