enforcement_rank,zone,inference_date,source_guess,confidence,vehicle_emission_load_index,composite_score,rank_reason,land_use_note,heuristic_label,prob_dust,prob_crop_burning_smoke,prob_industrial_haze,prob_traffic_heavy,prob_clear,model_version,data_provenance,ranked_at
1,RK_Puram,2026-07-16,industrial_haze,0.4537,1.0,0.7083,industrial emission signature [conf=0.45]; high vehicle load (index=1.00) -> stack checks + PCO orders recommended,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,industrial_haze,0.0703,0.0082,0.4537,0.4443,0.0235,700-image LoRA r=8 -- final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-22T17:27:47+00:00
2,Dwarka,2026-07-16,dust,0.846,0.78,0.5724,dust source signature [conf=0.85]; high vehicle load (index=0.78) -> dust suppression over traffic enforcement,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.846,0.0043,0.0258,0.0724,0.0514,700-image LoRA r=8 -- final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-22T17:27:47+00:00
3,Rohini,2026-07-16,dust,0.8184,0.551,0.4927,dust source signature [conf=0.82]; moderate vehicle load (index=0.55) -> dust suppression over traffic enforcement,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.8184,0.0026,0.0458,0.0782,0.055,700-image LoRA r=8 -- final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-22T17:27:47+00:00
4,Jahangirpuri,2026-07-16,traffic_heavy,0.3915,0.275,0.474,traffic-dominated source [conf=0.39]; low registered vehicle density (index=0.28) -> enforcement-priority zone,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.3871,0.0059,0.1719,0.3915,0.0437,700-image LoRA r=8 -- final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-22T17:27:47+00:00
5,Ashok_Vihar,2026-07-16,dust,0.9394,0.315,0.4703,dust source signature [conf=0.94]; low vehicle load (index=0.32) -> dust suppression over traffic enforcement,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.9394,0.0011,0.0123,0.013,0.0342,700-image LoRA r=8 -- final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-22T17:27:47+00:00
6,Wazirpur,2026-07-16,dust,0.873,0.315,0.4437,dust source signature [conf=0.87]; low vehicle load (index=0.32) -> dust suppression over traffic enforcement,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.873,0.0017,0.0189,0.0692,0.0372,700-image LoRA r=8 -- final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-22T17:27:47+00:00
7,Anand_Vihar,2026-07-16,dust,0.9262,0.191,0.4278,dust source signature [conf=0.93]; low vehicle load (index=0.19) -> dust suppression over traffic enforcement,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.9262,0.0004,0.0163,0.0328,0.0243,700-image LoRA r=8 -- final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-22T17:27:47+00:00
8,Narela,2026-07-16,dust,0.8365,0.286,0.4204,dust source signature [conf=0.84]; low vehicle load (index=0.29) -> dust suppression over traffic enforcement,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.8365,0.0009,0.0564,0.0762,0.0301,700-image LoRA r=8 -- final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-22T17:27:47+00:00
9,Bawana,2026-07-16,dust,0.8354,0.276,0.417,dust source signature [conf=0.84]; low vehicle load (index=0.28) -> dust suppression over traffic enforcement,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.8354,0.0042,0.0331,0.0709,0.0565,700-image LoRA r=8 -- final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-22T17:27:47+00:00
10,Mundka,2026-07-16,dust,0.6218,0.509,0.4014,dust source signature [conf=0.62]; moderate vehicle load (index=0.51) -> dust suppression over traffic enforcement,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.6218,0.0043,0.0923,0.2318,0.0499,700-image LoRA r=8 -- final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-22T17:27:47+00:00
11,Vivek_Vihar,2026-07-16,dust,0.8391,0.191,0.3929,dust source signature [conf=0.84]; low vehicle load (index=0.19) -> dust suppression over traffic enforcement,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.8391,0.0008,0.034,0.0749,0.0512,700-image LoRA r=8 -- final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-22T17:27:47+00:00
12,Okhla,2026-07-16,dust,0.6676,0.248,0.3414,dust source signature [conf=0.67]; low vehicle load (index=0.25) -> dust suppression over traffic enforcement,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,dust,0.6676,0.0016,0.0771,0.2256,0.0281,700-image LoRA r=8 -- final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-22T17:27:47+00:00
13,Punjabi_Bagh,2026-07-16,dust,0.523,0.343,0.3121,dust source signature [conf=0.52]; low vehicle load (index=0.34) -> dust suppression over traffic enforcement,land-use signal absent from this repo -- scoring uses only satellite + vehicle data,industrial_haze,0.523,0.008,0.2318,0.1661,0.071,700-image LoRA r=8 -- final,"correlation-based (heuristic CAAQMS labels, not ground truth)",2026-07-22T17:27:47+00:00
