zone,param,timestamp,value
Anand Vihar,PM2.5,2025-12-01 01:00:00,230.0
Anand Vihar,PM2.5,2025-12-01 02:00:00,265.0
Anand Vihar,PM2.5,2025-12-01 03:00:00,255.0
Anand Vihar,PM2.5,2025-12-01 04:00:00,238.0
Anand Vihar,PM2.5,2025-12-01 05:00:00,201.0
Anand Vihar,PM2.5,2025-12-01 06:00:00,199.0
Anand Vihar,PM2.5,2025-12-01 07:00:00,205.0
Anand Vihar,PM2.5,2025-12-01 08:00:00,195.0
Anand Vihar,PM2.5,2025-12-01 09:00:00,217.0
Anand Vihar,PM2.5,2025-12-01 10:00:00,185.0
Anand Vihar,PM2.5,2025-12-01 11:00:00,155.0
Anand Vihar,PM2.5,2025-12-01 12:00:00,155.0
Anand Vihar,PM2.5,2025-12-01 13:00:00,157.0
Anand Vihar,PM2.5,2025-12-01 14:00:00,136.0
Anand Vihar,PM2.5,2025-12-01 15:00:00,122.0
Anand Vihar,PM2.5,2025-12-01 16:00:00,106.0
Anand Vihar,PM2.5,2025-12-01 17:00:00,115.0
Anand Vihar,PM2.5,2025-12-01 18:00:00,127.0
Anand Vihar,PM2.5,2025-12-01 19:00:00,192.0
Anand Vihar,PM2.5,2025-12-01 20:00:00,290.0
Anand Vihar,PM2.5,2025-12-01 21:00:00,327.0
Anand Vihar,PM2.5,2025-12-01 22:00:00,396.0
Anand Vihar,PM2.5,2025-12-01 23:00:00,439.0
Anand Vihar,PM2.5,2025-12-02 00:00:00,392.0
Anand Vihar,PM2.5,2025-12-02 01:00:00,387.0
Anand Vihar,PM2.5,2025-12-02 02:00:00,341.0
Anand Vihar,PM2.5,2025-12-02 03:00:00,312.0
Anand Vihar,PM2.5,2025-12-02 04:00:00,281.0
Anand Vihar,PM2.5,2025-12-02 05:00:00,261.0
Anand Vihar,PM2.5,2025-12-02 06:00:00,277.0
Anand Vihar,PM2.5,2025-12-02 07:00:00,309.0
Anand Vihar,PM2.5,2025-12-02 08:00:00,294.0
Anand Vihar,PM2.5,2025-12-02 09:00:00,330.0
Anand Vihar,PM2.5,2025-12-02 10:00:00,329.0
Anand Vihar,PM2.5,2025-12-02 11:00:00,277.0
Anand Vihar,PM2.5,2025-12-02 12:00:00,259.0
Anand Vihar,PM2.5,2025-12-02 13:00:00,217.0
Anand Vihar,PM2.5,2025-12-02 14:00:00,183.0
Anand Vihar,PM2.5,2025-12-02 15:00:00,186.0
Anand Vihar,PM2.5,2025-12-02 16:00:00,250.0
Anand Vihar,PM2.5,2025-12-02 17:00:00,205.0
Anand Vihar,PM2.5,2025-12-02 18:00:00,190.0
Anand Vihar,PM2.5,2025-12-02 19:00:00,230.0
Anand Vihar,PM2.5,2025-12-03 11:00:00,144.0
Anand Vihar,PM2.5,2025-12-03 12:00:00,153.0
Anand Vihar,PM2.5,2025-12-03 13:00:00,150.0
Anand Vihar,PM2.5,2025-12-03 14:00:00,118.0
Anand Vihar,PM2.5,2025-12-03 15:00:00,88.0
Anand Vihar,PM2.5,2025-12-03 16:00:00,83.0
Anand Vihar,PM2.5,2025-12-03 17:00:00,69.0
Anand Vihar,PM2.5,2025-12-03 18:00:00,132.0
Anand Vihar,PM2.5,2025-12-03 19:00:00,164.0
Anand Vihar,PM2.5,2025-12-03 20:00:00,175.0
Anand Vihar,PM2.5,2025-12-03 21:00:00,119.0
Anand Vihar,PM2.5,2025-12-03 22:00:00,132.0
Anand Vihar,PM2.5,2025-12-03 23:00:00,173.0
