zone,param,timestamp,value
Ashok Vihar,NO2,2025-12-01 01:00:00,98.9
Ashok Vihar,NO2,2025-12-01 02:00:00,
Ashok Vihar,NO2,2025-12-01 03:00:00,70.9
Ashok Vihar,NO2,2025-12-01 04:00:00,79.4
Ashok Vihar,NO2,2025-12-01 05:00:00,69.5
Ashok Vihar,NO2,2025-12-01 06:00:00,72.9
Ashok Vihar,NO2,2025-12-01 07:00:00,65.9
Ashok Vihar,NO2,2025-12-01 08:00:00,86.5
Ashok Vihar,NO2,2025-12-01 09:00:00,97.8
Ashok Vihar,NO2,2025-12-01 10:00:00,79.3
Ashok Vihar,NO2,2025-12-01 11:00:00,47.8
Ashok Vihar,NO2,2025-12-01 12:00:00,49.9
Ashok Vihar,NO2,2025-12-01 13:00:00,39.0
Ashok Vihar,NO2,2025-12-01 14:00:00,36.6
Ashok Vihar,NO2,2025-12-01 15:00:00,30.9
Ashok Vihar,NO2,2025-12-01 16:00:00,37.6
Ashok Vihar,NO2,2025-12-01 17:00:00,64.1
Ashok Vihar,NO2,2025-12-01 18:00:00,79.4
Ashok Vihar,NO2,2025-12-01 19:00:00,115.2
Ashok Vihar,NO2,2025-12-01 20:00:00,136.8
Ashok Vihar,NO2,2025-12-01 21:00:00,145.1
Ashok Vihar,NO2,2025-12-01 22:00:00,114.8
Ashok Vihar,NO2,2025-12-01 23:00:00,114.7
Ashok Vihar,NO2,2025-12-02 00:00:00,126.5
Ashok Vihar,NO2,2025-12-02 01:00:00,126.1
Ashok Vihar,NO2,2025-12-02 02:00:00,
Ashok Vihar,NO2,2025-12-02 03:00:00,119.7
Ashok Vihar,NO2,2025-12-02 04:00:00,102.9
Ashok Vihar,NO2,2025-12-02 05:00:00,81.2
Ashok Vihar,NO2,2025-12-02 06:00:00,64.8
Ashok Vihar,NO2,2025-12-02 07:00:00,77.6
Ashok Vihar,NO2,2025-12-02 08:00:00,111.9
Ashok Vihar,NO2,2025-12-02 09:00:00,134.5
Ashok Vihar,NO2,2025-12-02 10:00:00,147.3
Ashok Vihar,NO2,2025-12-02 11:00:00,148.7
Ashok Vihar,NO2,2025-12-02 12:00:00,110.5
Ashok Vihar,NO2,2025-12-02 13:00:00,96.8
Ashok Vihar,NO2,2025-12-02 14:00:00,80.5
Ashok Vihar,NO2,2025-12-02 15:00:00,71.0
Ashok Vihar,NO2,2025-12-02 16:00:00,56.1
Ashok Vihar,NO2,2025-12-02 17:00:00,72.5
Ashok Vihar,NO2,2025-12-02 18:00:00,131.5
Ashok Vihar,NO2,2025-12-02 19:00:00,115.6
Ashok Vihar,NO2,2025-12-02 20:00:00,134.7
Ashok Vihar,NO2,2025-12-02 21:00:00,135.8
Ashok Vihar,NO2,2025-12-02 22:00:00,124.8
Ashok Vihar,NO2,2025-12-02 23:00:00,101.9
Ashok Vihar,NO2,2025-12-03 00:00:00,104.4
Ashok Vihar,NO2,2025-12-03 01:00:00,97.3
Ashok Vihar,NO2,2025-12-03 12:00:00,30.2
Ashok Vihar,NO2,2025-12-03 13:00:00,22.3
Ashok Vihar,NO2,2025-12-03 14:00:00,22.5
Ashok Vihar,NO2,2025-12-03 15:00:00,24.0
Ashok Vihar,NO2,2025-12-03 16:00:00,26.8
Ashok Vihar,NO2,2025-12-03 17:00:00,54.9
Ashok Vihar,NO2,2025-12-03 18:00:00,83.0
Ashok Vihar,NO2,2025-12-03 19:00:00,120.6
Ashok Vihar,NO2,2025-12-03 20:00:00,107.4
Ashok Vihar,NO2,2025-12-03 21:00:00,115.0
Ashok Vihar,NO2,2025-12-03 22:00:00,104.7
Ashok Vihar,NO2,2025-12-03 23:00:00,95.0
Ashok Vihar,NO2,2025-12-04 00:00:00,89.0
Ashok Vihar,NO2,2025-12-04 01:00:00,85.5
Ashok Vihar,NO2,2025-12-04 02:00:00,
Ashok Vihar,NO2,2025-12-04 03:00:00,79.7
Ashok Vihar,NO2,2025-12-04 04:00:00,63.6
Ashok Vihar,NO2,2025-12-04 05:00:00,54.1
Ashok Vihar,NO2,2025-12-04 06:00:00,60.1
Ashok Vihar,NO2,2025-12-04 07:00:00,73.7
Ashok Vihar,NO2,2025-12-04 08:00:00,91.7
Ashok Vihar,NO2,2025-12-04 09:00:00,58.9
Ashok Vihar,NO2,2025-12-04 10:00:00,48.3
Ashok Vihar,NO2,2025-12-04 11:00:00,42.3
Ashok Vihar,NO2,2025-12-04 12:00:00,31.2
Ashok Vihar,NO2,2025-12-04 13:00:00,37.5
Ashok Vihar,NO2,2025-12-04 14:00:00,28.1
Ashok Vihar,NO2,2025-12-04 15:00:00,30.8
Ashok Vihar,NO2,2025-12-04 16:00:00,43.0
Ashok Vihar,NO2,2025-12-04 17:00:00,47.9
Ashok Vihar,NO2,2025-12-04 18:00:00,111.2
Ashok Vihar,NO2,2025-12-04 19:00:00,116.6
Ashok Vihar,NO2,2025-12-04 20:00:00,113.8
Ashok Vihar,NO2,2025-12-04 21:00:00,112.2
Ashok Vihar,NO2,2025-12-04 22:00:00,116.2
Ashok Vihar,NO2,2025-12-04 23:00:00,108.0
Ashok Vihar,NO2,2025-12-05 00:00:00,106.9
Ashok Vihar,NO2,2025-12-05 01:00:00,100.4
Ashok Vihar,NO2,2025-12-05 02:00:00,
Ashok Vihar,NO2,2025-12-05 03:00:00,88.4
Ashok Vihar,NO2,2025-12-05 04:00:00,80.2
Ashok Vihar,NO2,2025-12-05 05:00:00,76.9
Ashok Vihar,NO2,2025-12-05 06:00:00,70.3
Ashok Vihar,NO2,2025-12-05 07:00:00,70.8
Ashok Vihar,NO2,2025-12-05 08:00:00,75.4
Ashok Vihar,NO2,2025-12-05 09:00:00,77.5
Ashok Vihar,NO2,2025-12-05 10:00:00,87.0
Ashok Vihar,NO2,2025-12-05 11:00:00,58.7
Ashok Vihar,NO2,2025-12-05 12:00:00,
Ashok Vihar,NO2,2025-12-05 13:00:00,31.4
Ashok Vihar,NO2,2025-12-05 14:00:00,33.6
Ashok Vihar,NO2,2025-12-05 15:00:00,32.0
Ashok Vihar,NO2,2025-12-05 16:00:00,27.9
