zone,param,timestamp,value
Ashok Vihar,PM2.5,2025-12-01 01:00:00,167.0
Ashok Vihar,PM2.5,2025-12-01 02:00:00,147.0
Ashok Vihar,PM2.5,2025-12-01 03:00:00,166.0
Ashok Vihar,PM2.5,2025-12-01 04:00:00,158.0
Ashok Vihar,PM2.5,2025-12-01 05:00:00,178.0
Ashok Vihar,PM2.5,2025-12-01 06:00:00,195.0
Ashok Vihar,PM2.5,2025-12-01 07:00:00,211.0
Ashok Vihar,PM2.5,2025-12-01 08:00:00,190.0
Ashok Vihar,PM2.5,2025-12-01 09:00:00,244.0
Ashok Vihar,PM2.5,2025-12-01 10:00:00,218.0
Ashok Vihar,PM2.5,2025-12-01 11:00:00,179.0
Ashok Vihar,PM2.5,2025-12-01 12:00:00,134.0
Ashok Vihar,PM2.5,2025-12-01 13:00:00,105.0
Ashok Vihar,PM2.5,2025-12-01 14:00:00,86.0
Ashok Vihar,PM2.5,2025-12-01 15:00:00,85.0
Ashok Vihar,PM2.5,2025-12-01 16:00:00,72.0
Ashok Vihar,PM2.5,2025-12-01 17:00:00,91.0
Ashok Vihar,PM2.5,2025-12-01 18:00:00,116.0
Ashok Vihar,PM2.5,2025-12-01 19:00:00,153.0
Ashok Vihar,PM2.5,2025-12-01 20:00:00,188.0
Ashok Vihar,PM2.5,2025-12-01 21:00:00,263.0
Ashok Vihar,PM2.5,2025-12-01 22:00:00,315.0
Ashok Vihar,PM2.5,2025-12-01 23:00:00,361.0
Ashok Vihar,PM2.5,2025-12-02 00:00:00,349.0
Ashok Vihar,PM2.5,2025-12-02 01:00:00,376.0
Ashok Vihar,PM2.5,2025-12-02 02:00:00,359.0
Ashok Vihar,PM2.5,2025-12-02 03:00:00,350.0
Ashok Vihar,PM2.5,2025-12-02 04:00:00,290.0
Ashok Vihar,PM2.5,2025-12-02 05:00:00,246.0
Ashok Vihar,PM2.5,2025-12-02 06:00:00,229.0
Ashok Vihar,PM2.5,2025-12-02 07:00:00,255.0
Ashok Vihar,PM2.5,2025-12-02 08:00:00,309.0
Ashok Vihar,PM2.5,2025-12-02 09:00:00,355.0
Ashok Vihar,PM2.5,2025-12-02 10:00:00,320.0
Ashok Vihar,PM2.5,2025-12-02 11:00:00,289.0
Ashok Vihar,PM2.5,2025-12-02 12:00:00,306.0
Ashok Vihar,PM2.5,2025-12-02 13:00:00,323.0
Ashok Vihar,PM2.5,2025-12-02 14:00:00,290.0
Ashok Vihar,PM2.5,2025-12-02 15:00:00,257.0
Ashok Vihar,PM2.5,2025-12-02 16:00:00,183.0
Ashok Vihar,PM2.5,2025-12-02 17:00:00,169.0
Ashok Vihar,PM2.5,2025-12-02 18:00:00,195.0
Ashok Vihar,PM2.5,2025-12-02 19:00:00,221.0
Ashok Vihar,PM2.5,2025-12-02 20:00:00,298.0
Ashok Vihar,PM2.5,2025-12-02 21:00:00,313.0
Ashok Vihar,PM2.5,2025-12-02 22:00:00,298.0
Ashok Vihar,PM2.5,2025-12-02 23:00:00,304.0
Ashok Vihar,PM2.5,2025-12-03 00:00:00,284.0
Ashok Vihar,PM2.5,2025-12-03 01:00:00,255.0
Ashok Vihar,PM2.5,2025-12-03 12:00:00,152.0
Ashok Vihar,PM2.5,2025-12-03 13:00:00,116.0
Ashok Vihar,PM2.5,2025-12-03 14:00:00,101.0
Ashok Vihar,PM2.5,2025-12-03 15:00:00,79.0
Ashok Vihar,PM2.5,2025-12-03 16:00:00,75.0
Ashok Vihar,PM2.5,2025-12-03 17:00:00,80.0
Ashok Vihar,PM2.5,2025-12-03 18:00:00,94.0
Ashok Vihar,PM2.5,2025-12-03 19:00:00,110.0
Ashok Vihar,PM2.5,2025-12-03 20:00:00,145.0
Ashok Vihar,PM2.5,2025-12-03 21:00:00,179.0
Ashok Vihar,PM2.5,2025-12-03 22:00:00,193.0
Ashok Vihar,PM2.5,2025-12-03 23:00:00,193.0
Ashok Vihar,PM2.5,2025-12-04 00:00:00,171.0
Ashok Vihar,PM2.5,2025-12-04 01:00:00,153.0
Ashok Vihar,PM2.5,2025-12-04 02:00:00,158.0
Ashok Vihar,PM2.5,2025-12-04 03:00:00,164.0
Ashok Vihar,PM2.5,2025-12-04 04:00:00,173.0
