zone,param,timestamp,value
Ashok Vihar,SO2,2025-12-01 01:00:00,29.0
Ashok Vihar,SO2,2025-12-01 02:00:00,
Ashok Vihar,SO2,2025-12-01 03:00:00,16.0
Ashok Vihar,SO2,2025-12-01 04:00:00,16.3
Ashok Vihar,SO2,2025-12-01 05:00:00,16.7
Ashok Vihar,SO2,2025-12-01 06:00:00,16.2
Ashok Vihar,SO2,2025-12-01 07:00:00,16.1
Ashok Vihar,SO2,2025-12-01 08:00:00,15.3
Ashok Vihar,SO2,2025-12-01 09:00:00,18.8
Ashok Vihar,SO2,2025-12-01 10:00:00,24.0
Ashok Vihar,SO2,2025-12-01 11:00:00,25.3
Ashok Vihar,SO2,2025-12-01 12:00:00,27.5
Ashok Vihar,SO2,2025-12-01 13:00:00,26.5
Ashok Vihar,SO2,2025-12-01 14:00:00,29.1
Ashok Vihar,SO2,2025-12-01 15:00:00,26.3
Ashok Vihar,SO2,2025-12-01 16:00:00,21.6
Ashok Vihar,SO2,2025-12-01 17:00:00,19.2
Ashok Vihar,SO2,2025-12-01 18:00:00,19.8
Ashok Vihar,SO2,2025-12-01 19:00:00,18.3
Ashok Vihar,SO2,2025-12-01 20:00:00,19.1
Ashok Vihar,SO2,2025-12-01 21:00:00,22.3
Ashok Vihar,SO2,2025-12-01 22:00:00,22.4
Ashok Vihar,SO2,2025-12-01 23:00:00,23.7
Ashok Vihar,SO2,2025-12-02 00:00:00,
Ashok Vihar,SO2,2025-12-02 01:00:00,24.0
Ashok Vihar,SO2,2025-12-02 02:00:00,
Ashok Vihar,SO2,2025-12-02 03:00:00,18.6
Ashok Vihar,SO2,2025-12-02 04:00:00,17.0
Ashok Vihar,SO2,2025-12-02 05:00:00,19.2
Ashok Vihar,SO2,2025-12-02 06:00:00,16.2
Ashok Vihar,SO2,2025-12-02 07:00:00,15.6
Ashok Vihar,SO2,2025-12-02 08:00:00,19.2
Ashok Vihar,SO2,2025-12-02 09:00:00,38.5
Ashok Vihar,SO2,2025-12-02 10:00:00,45.0
Ashok Vihar,SO2,2025-12-02 11:00:00,45.0
Ashok Vihar,SO2,2025-12-02 12:00:00,45.9
Ashok Vihar,SO2,2025-12-02 13:00:00,41.3
Ashok Vihar,SO2,2025-12-02 14:00:00,40.0
Ashok Vihar,SO2,2025-12-02 15:00:00,39.5
Ashok Vihar,SO2,2025-12-02 16:00:00,32.9
Ashok Vihar,SO2,2025-12-02 17:00:00,27.0
Ashok Vihar,SO2,2025-12-02 18:00:00,21.9
Ashok Vihar,SO2,2025-12-02 19:00:00,24.6
Ashok Vihar,SO2,2025-12-02 20:00:00,20.3
Ashok Vihar,SO2,2025-12-02 21:00:00,29.6
Ashok Vihar,SO2,2025-12-02 22:00:00,27.0
Ashok Vihar,SO2,2025-12-02 23:00:00,27.0
Ashok Vihar,SO2,2025-12-03 00:00:00,26.4
Ashok Vihar,SO2,2025-12-03 01:00:00,22.3
Ashok Vihar,SO2,2025-12-03 12:00:00,33.2
Ashok Vihar,SO2,2025-12-03 13:00:00,30.2
Ashok Vihar,SO2,2025-12-03 14:00:00,26.8
Ashok Vihar,SO2,2025-12-03 15:00:00,19.9
Ashok Vihar,SO2,2025-12-03 16:00:00,16.6
Ashok Vihar,SO2,2025-12-03 17:00:00,18.0
Ashok Vihar,SO2,2025-12-03 18:00:00,18.3
Ashok Vihar,SO2,2025-12-03 19:00:00,17.3
Ashok Vihar,SO2,2025-12-03 20:00:00,20.3
Ashok Vihar,SO2,2025-12-03 21:00:00,19.4
Ashok Vihar,SO2,2025-12-03 22:00:00,17.2
Ashok Vihar,SO2,2025-12-03 23:00:00,17.3
Ashok Vihar,SO2,2025-12-04 00:00:00,11.9
Ashok Vihar,SO2,2025-12-04 01:00:00,12.9
Ashok Vihar,SO2,2025-12-04 02:00:00,
Ashok Vihar,SO2,2025-12-04 03:00:00,12.3
Ashok Vihar,SO2,2025-12-04 04:00:00,14.4
Ashok Vihar,SO2,2025-12-04 05:00:00,15.5
Ashok Vihar,SO2,2025-12-04 06:00:00,16.4
Ashok Vihar,SO2,2025-12-04 07:00:00,18.1
Ashok Vihar,SO2,2025-12-04 08:00:00,18.9
Ashok Vihar,SO2,2025-12-04 09:00:00,19.9
Ashok Vihar,SO2,2025-12-04 10:00:00,25.5
Ashok Vihar,SO2,2025-12-04 11:00:00,23.3
Ashok Vihar,SO2,2025-12-04 12:00:00,25.1
Ashok Vihar,SO2,2025-12-04 13:00:00,31.7
Ashok Vihar,SO2,2025-12-04 14:00:00,31.9
Ashok Vihar,SO2,2025-12-04 15:00:00,26.3
Ashok Vihar,SO2,2025-12-04 16:00:00,27.9
Ashok Vihar,SO2,2025-12-04 17:00:00,24.7
Ashok Vihar,SO2,2025-12-04 18:00:00,22.7
Ashok Vihar,SO2,2025-12-04 19:00:00,20.7
Ashok Vihar,SO2,2025-12-04 20:00:00,21.0
Ashok Vihar,SO2,2025-12-04 21:00:00,17.3
Ashok Vihar,SO2,2025-12-04 22:00:00,16.7
Ashok Vihar,SO2,2025-12-04 23:00:00,17.8
Ashok Vihar,SO2,2025-12-05 00:00:00,17.2
Ashok Vihar,SO2,2025-12-05 01:00:00,15.7
Ashok Vihar,SO2,2025-12-05 02:00:00,
Ashok Vihar,SO2,2025-12-05 03:00:00,8.8
Ashok Vihar,SO2,2025-12-05 04:00:00,10.8
Ashok Vihar,SO2,2025-12-05 05:00:00,8.1
Ashok Vihar,SO2,2025-12-05 06:00:00,9.2
Ashok Vihar,SO2,2025-12-05 07:00:00,8.9
Ashok Vihar,SO2,2025-12-05 08:00:00,9.9
Ashok Vihar,SO2,2025-12-05 09:00:00,21.0
Ashok Vihar,SO2,2025-12-05 10:00:00,25.2
Ashok Vihar,SO2,2025-12-05 11:00:00,30.7
Ashok Vihar,SO2,2025-12-05 12:00:00,
Ashok Vihar,SO2,2025-12-05 13:00:00,
Ashok Vihar,SO2,2025-12-05 14:00:00,21.7
Ashok Vihar,SO2,2025-12-05 15:00:00,15.1
Ashok Vihar,SO2,2025-12-05 16:00:00,10.4
Ashok Vihar,SO2,2025-12-05 17:00:00,11.1
Ashok Vihar,SO2,2025-12-05 18:00:00,9.7
Ashok Vihar,SO2,2025-12-05 19:00:00,10.0
Ashok Vihar,SO2,2025-12-05 20:00:00,11.6
Ashok Vihar,SO2,2025-12-05 21:00:00,12.1
Ashok Vihar,SO2,2025-12-05 22:00:00,11.2
Ashok Vihar,SO2,2025-12-05 23:00:00,11.6
