zone,param,timestamp,value
Ashok Vihar,humidity,2025-12-01 01:00:00,71.7
Ashok Vihar,humidity,2025-12-01 02:00:00,79.2
Ashok Vihar,humidity,2025-12-01 03:00:00,83.1
Ashok Vihar,humidity,2025-12-01 04:00:00,83.7
Ashok Vihar,humidity,2025-12-01 05:00:00,85.2
Ashok Vihar,humidity,2025-12-01 06:00:00,85.7
Ashok Vihar,humidity,2025-12-01 07:00:00,89.9
Ashok Vihar,humidity,2025-12-01 08:00:00,82.1
Ashok Vihar,humidity,2025-12-01 09:00:00,63.2
Ashok Vihar,humidity,2025-12-01 10:00:00,50.6
Ashok Vihar,humidity,2025-12-01 11:00:00,38.9
Ashok Vihar,humidity,2025-12-01 12:00:00,35.6
Ashok Vihar,humidity,2025-12-01 13:00:00,34.2
Ashok Vihar,humidity,2025-12-01 14:00:00,33.2
Ashok Vihar,humidity,2025-12-01 15:00:00,34.8
Ashok Vihar,humidity,2025-12-01 16:00:00,37.4
Ashok Vihar,humidity,2025-12-01 17:00:00,48.6
Ashok Vihar,humidity,2025-12-01 18:00:00,57.1
Ashok Vihar,humidity,2025-12-01 19:00:00,64.6
Ashok Vihar,humidity,2025-12-01 20:00:00,69.6
Ashok Vihar,humidity,2025-12-01 21:00:00,70.7
Ashok Vihar,humidity,2025-12-01 22:00:00,77.1
Ashok Vihar,humidity,2025-12-01 23:00:00,80.3
Ashok Vihar,humidity,2025-12-02 00:00:00,76.5
Ashok Vihar,humidity,2025-12-02 01:00:00,80.3
Ashok Vihar,humidity,2025-12-02 02:00:00,78.0
Ashok Vihar,humidity,2025-12-02 03:00:00,76.9
Ashok Vihar,humidity,2025-12-02 04:00:00,71.6
Ashok Vihar,humidity,2025-12-02 05:00:00,72.1
Ashok Vihar,humidity,2025-12-02 06:00:00,71.2
Ashok Vihar,humidity,2025-12-02 07:00:00,74.7
Ashok Vihar,humidity,2025-12-02 08:00:00,73.2
Ashok Vihar,humidity,2025-12-02 09:00:00,59.2
Ashok Vihar,humidity,2025-12-02 10:00:00,51.2
Ashok Vihar,humidity,2025-12-02 11:00:00,45.5
Ashok Vihar,humidity,2025-12-02 12:00:00,44.8
Ashok Vihar,humidity,2025-12-02 13:00:00,42.6
Ashok Vihar,humidity,2025-12-02 14:00:00,42.1
Ashok Vihar,humidity,2025-12-02 15:00:00,43.8
Ashok Vihar,humidity,2025-12-02 16:00:00,46.1
Ashok Vihar,humidity,2025-12-02 17:00:00,54.8
Ashok Vihar,humidity,2025-12-02 18:00:00,69.2
Ashok Vihar,humidity,2025-12-02 19:00:00,80.3
Ashok Vihar,humidity,2025-12-02 20:00:00,82.1
Ashok Vihar,humidity,2025-12-02 21:00:00,73.5
Ashok Vihar,humidity,2025-12-02 22:00:00,78.6
Ashok Vihar,humidity,2025-12-02 23:00:00,80.5
Ashok Vihar,humidity,2025-12-03 00:00:00,80.5
Ashok Vihar,humidity,2025-12-03 01:00:00,80.4
Ashok Vihar,humidity,2025-12-03 12:00:00,40.4
Ashok Vihar,humidity,2025-12-03 13:00:00,39.7
Ashok Vihar,humidity,2025-12-03 14:00:00,38.2
Ashok Vihar,humidity,2025-12-03 15:00:00,38.2
Ashok Vihar,humidity,2025-12-03 16:00:00,39.6
Ashok Vihar,humidity,2025-12-03 17:00:00,45.8
Ashok Vihar,humidity,2025-12-03 18:00:00,60.6
Ashok Vihar,humidity,2025-12-03 19:00:00,64.4
Ashok Vihar,humidity,2025-12-03 20:00:00,63.9
Ashok Vihar,humidity,2025-12-03 21:00:00,63.4
Ashok Vihar,humidity,2025-12-03 22:00:00,67.8
Ashok Vihar,humidity,2025-12-03 23:00:00,65.9
Ashok Vihar,humidity,2025-12-04 00:00:00,70.0
Ashok Vihar,humidity,2025-12-04 01:00:00,76.6
Ashok Vihar,humidity,2025-12-04 02:00:00,77.9
Ashok Vihar,humidity,2025-12-04 03:00:00,79.8
Ashok Vihar,humidity,2025-12-04 04:00:00,80.7
Ashok Vihar,humidity,2025-12-04 05:00:00,83.1
Ashok Vihar,humidity,2025-12-04 06:00:00,81.5
