zone,param,timestamp,value
Bawana,PM2.5,2025-12-01 01:00:00,189.0
Bawana,PM2.5,2025-12-01 02:00:00,184.0
Bawana,PM2.5,2025-12-01 03:00:00,195.0
Bawana,PM2.5,2025-12-01 04:00:00,215.0
Bawana,PM2.5,2025-12-01 05:00:00,240.0
Bawana,PM2.5,2025-12-01 06:00:00,267.0
Bawana,PM2.5,2025-12-01 07:00:00,252.0
Bawana,PM2.5,2025-12-01 08:00:00,432.0
Bawana,PM2.5,2025-12-01 09:00:00,282.0
Bawana,PM2.5,2025-12-01 10:00:00,254.0
Bawana,PM2.5,2025-12-01 11:00:00,194.0
Bawana,PM2.5,2025-12-01 12:00:00,130.0
Bawana,PM2.5,2025-12-01 13:00:00,
Bawana,PM2.5,2025-12-01 14:00:00,96.0
Bawana,PM2.5,2025-12-01 15:00:00,92.0
Bawana,PM2.5,2025-12-01 16:00:00,91.0
Bawana,PM2.5,2025-12-01 17:00:00,91.0
Bawana,PM2.5,2025-12-01 18:00:00,189.0
Bawana,PM2.5,2025-12-01 19:00:00,298.0
Bawana,PM2.5,2025-12-01 20:00:00,263.0
Bawana,PM2.5,2025-12-01 21:00:00,444.0
Bawana,PM2.5,2025-12-01 22:00:00,473.0
Bawana,PM2.5,2025-12-01 23:00:00,
Bawana,PM2.5,2025-12-02 00:00:00,389.0
Bawana,PM2.5,2025-12-02 01:00:00,348.0
Bawana,PM2.5,2025-12-02 02:00:00,335.0
Bawana,PM2.5,2025-12-02 03:00:00,307.0
Bawana,PM2.5,2025-12-02 04:00:00,285.0
Bawana,PM2.5,2025-12-02 05:00:00,333.0
Bawana,PM2.5,2025-12-02 06:00:00,376.0
Bawana,PM2.5,2025-12-02 07:00:00,302.0
Bawana,PM2.5,2025-12-02 08:00:00,328.0
Bawana,PM2.5,2025-12-02 09:00:00,371.0
Bawana,PM2.5,2025-12-02 10:00:00,361.0
Bawana,PM2.5,2025-12-02 11:00:00,283.0
Bawana,PM2.5,2025-12-02 12:00:00,221.0
Bawana,PM2.5,2025-12-02 13:00:00,216.0
Bawana,PM2.5,2025-12-02 14:00:00,205.0
Bawana,PM2.5,2025-12-02 17:00:00,
Bawana,PM2.5,2025-12-02 18:00:00,245.0
Bawana,PM2.5,2025-12-02 19:00:00,304.0
Bawana,PM2.5,2025-12-02 20:00:00,342.0
Bawana,PM2.5,2025-12-02 21:00:00,276.0
Bawana,PM2.5,2025-12-02 22:00:00,193.0
Bawana,PM2.5,2025-12-02 23:00:00,260.0
Bawana,PM2.5,2025-12-03 12:00:00,149.0
Bawana,PM2.5,2025-12-03 13:00:00,132.0
Bawana,PM2.5,2025-12-03 14:00:00,102.0
Bawana,PM2.5,2025-12-03 15:00:00,86.0
Bawana,PM2.5,2025-12-03 16:00:00,81.0
Bawana,PM2.5,2025-12-03 17:00:00,78.0
Bawana,PM2.5,2025-12-03 18:00:00,141.0
Bawana,PM2.5,2025-12-03 19:00:00,216.0
Bawana,PM2.5,2025-12-03 20:00:00,235.0
Bawana,PM2.5,2025-12-03 21:00:00,201.0
Bawana,PM2.5,2025-12-03 22:00:00,256.0
Bawana,PM2.5,2025-12-03 23:00:00,250.0
Bawana,PM2.5,2025-12-04 00:00:00,239.0
Bawana,PM2.5,2025-12-04 01:00:00,179.0
Bawana,PM2.5,2025-12-04 02:00:00,196.0
Bawana,PM2.5,2025-12-04 03:00:00,206.0
Bawana,PM2.5,2025-12-04 04:00:00,206.0
Bawana,PM2.5,2025-12-04 05:00:00,283.0
Bawana,PM2.5,2025-12-04 06:00:00,267.0
Bawana,PM2.5,2025-12-04 07:00:00,298.0
Bawana,PM2.5,2025-12-04 08:00:00,268.0
Bawana,PM2.5,2025-12-04 09:00:00,261.0
Bawana,PM2.5,2025-12-04 10:00:00,235.0
Bawana,PM2.5,2025-12-04 11:00:00,208.0
Bawana,PM2.5,2025-12-04 12:00:00,133.0
Bawana,PM2.5,2025-12-04 13:00:00,130.0
Bawana,PM2.5,2025-12-04 14:00:00,121.0
Bawana,PM2.5,2025-12-04 15:00:00,99.0
Bawana,PM2.5,2025-12-04 16:00:00,103.0
Bawana,PM2.5,2025-12-04 17:00:00,111.0
Bawana,PM2.5,2025-12-04 18:00:00,160.0
Bawana,PM2.5,2025-12-04 19:00:00,299.0
Bawana,PM2.5,2025-12-04 20:00:00,359.0
Bawana,PM2.5,2025-12-04 21:00:00,334.0
Bawana,PM2.5,2025-12-04 22:00:00,328.0
Bawana,PM2.5,2025-12-04 23:00:00,248.0
Bawana,PM2.5,2025-12-05 00:00:00,229.0
Bawana,PM2.5,2025-12-05 01:00:00,254.0
Bawana,PM2.5,2025-12-05 02:00:00,222.0
Bawana,PM2.5,2025-12-05 03:00:00,301.0
Bawana,PM2.5,2025-12-05 04:00:00,230.0
Bawana,PM2.5,2025-12-05 05:00:00,238.0
Bawana,PM2.5,2025-12-05 06:00:00,252.0
Bawana,PM2.5,2025-12-05 07:00:00,276.0
Bawana,PM2.5,2025-12-05 08:00:00,272.0
Bawana,PM2.5,2025-12-05 09:00:00,260.0
Bawana,PM2.5,2025-12-05 10:00:00,240.0
Bawana,PM2.5,2025-12-05 11:00:00,232.0
Bawana,PM2.5,2025-12-05 12:00:00,196.0
Bawana,PM2.5,2025-12-05 13:00:00,180.0
Bawana,PM2.5,2025-12-05 14:00:00,128.0
Bawana,PM2.5,2025-12-05 15:00:00,123.0
