zone,param,timestamp,value
Bawana,humidity,2025-12-01 01:00:00,73.1
Bawana,humidity,2025-12-01 02:00:00,76.1
Bawana,humidity,2025-12-01 03:00:00,79.5
Bawana,humidity,2025-12-01 04:00:00,83.0
Bawana,humidity,2025-12-01 05:00:00,86.5
Bawana,humidity,2025-12-01 06:00:00,88.3
Bawana,humidity,2025-12-01 07:00:00,89.2
Bawana,humidity,2025-12-01 08:00:00,89.0
Bawana,humidity,2025-12-01 09:00:00,69.6
Bawana,humidity,2025-12-01 10:00:00,48.8
Bawana,humidity,2025-12-01 11:00:00,42.2
Bawana,humidity,2025-12-01 12:00:00,34.2
Bawana,humidity,2025-12-01 13:00:00,34.2
Bawana,humidity,2025-12-01 14:00:00,33.3
Bawana,humidity,2025-12-01 15:00:00,36.7
Bawana,humidity,2025-12-01 16:00:00,41.9
Bawana,humidity,2025-12-01 17:00:00,48.8
Bawana,humidity,2025-12-01 18:00:00,56.0
Bawana,humidity,2025-12-01 19:00:00,63.3
Bawana,humidity,2025-12-01 20:00:00,67.4
Bawana,humidity,2025-12-01 21:00:00,71.7
Bawana,humidity,2025-12-01 22:00:00,75.5
Bawana,humidity,2025-12-01 23:00:00,75.7
Bawana,humidity,2025-12-02 00:00:00,77.5
Bawana,humidity,2025-12-02 01:00:00,76.3
Bawana,humidity,2025-12-02 02:00:00,69.2
Bawana,humidity,2025-12-02 03:00:00,67.0
Bawana,humidity,2025-12-02 04:00:00,63.9
Bawana,humidity,2025-12-02 05:00:00,67.6
Bawana,humidity,2025-12-02 06:00:00,69.2
Bawana,humidity,2025-12-02 07:00:00,67.5
Bawana,humidity,2025-12-02 08:00:00,69.6
Bawana,humidity,2025-12-02 09:00:00,56.6
Bawana,humidity,2025-12-02 10:00:00,47.4
Bawana,humidity,2025-12-02 11:00:00,43.8
Bawana,humidity,2025-12-02 12:00:00,39.5
Bawana,humidity,2025-12-02 13:00:00,38.6
Bawana,humidity,2025-12-02 14:00:00,40.3
Bawana,humidity,2025-12-02 17:00:00,56.2
Bawana,humidity,2025-12-02 18:00:00,65.3
Bawana,humidity,2025-12-02 19:00:00,71.2
Bawana,humidity,2025-12-02 20:00:00,69.1
Bawana,humidity,2025-12-02 21:00:00,67.4
Bawana,humidity,2025-12-02 22:00:00,71.0
Bawana,humidity,2025-12-02 23:00:00,75.1
Bawana,humidity,2025-12-03 12:00:00,41.5
Bawana,humidity,2025-12-03 13:00:00,41.0
Bawana,humidity,2025-12-03 14:00:00,38.2
Bawana,humidity,2025-12-03 15:00:00,38.9
