zone,param,timestamp,value
Dwarka,NO2,2025-12-01 01:00:00,75.4
Dwarka,NO2,2025-12-01 02:00:00,64.1
Dwarka,NO2,2025-12-01 03:00:00,90.2
Dwarka,NO2,2025-12-01 04:00:00,83.7
Dwarka,NO2,2025-12-01 05:00:00,86.9
Dwarka,NO2,2025-12-01 06:00:00,83.4
Dwarka,NO2,2025-12-01 07:00:00,79.7
Dwarka,NO2,2025-12-01 08:00:00,96.9
Dwarka,NO2,2025-12-01 09:00:00,117.8
Dwarka,NO2,2025-12-01 10:00:00,116.2
Dwarka,NO2,2025-12-01 11:00:00,66.9
Dwarka,NO2,2025-12-01 12:00:00,43.3
Dwarka,NO2,2025-12-01 13:00:00,56.4
Dwarka,NO2,2025-12-01 14:00:00,32.0
Dwarka,NO2,2025-12-01 15:00:00,40.4
Dwarka,NO2,2025-12-01 16:00:00,47.1
Dwarka,NO2,2025-12-01 17:00:00,137.3
Dwarka,NO2,2025-12-01 18:00:00,153.7
Dwarka,NO2,2025-12-01 19:00:00,120.8
Dwarka,NO2,2025-12-01 20:00:00,126.0
Dwarka,NO2,2025-12-01 21:00:00,134.0
Dwarka,NO2,2025-12-01 22:00:00,145.7
Dwarka,NO2,2025-12-01 23:00:00,121.9
Dwarka,NO2,2025-12-02 00:00:00,122.8
Dwarka,NO2,2025-12-02 01:00:00,108.1
Dwarka,NO2,2025-12-02 02:00:00,113.5
Dwarka,NO2,2025-12-02 03:00:00,131.0
Dwarka,NO2,2025-12-02 04:00:00,133.4
Dwarka,NO2,2025-12-02 05:00:00,108.0
Dwarka,NO2,2025-12-02 06:00:00,116.4
Dwarka,NO2,2025-12-02 07:00:00,113.5
Dwarka,NO2,2025-12-02 08:00:00,106.1
Dwarka,NO2,2025-12-02 09:00:00,169.6
Dwarka,NO2,2025-12-02 10:00:00,153.6
Dwarka,NO2,2025-12-02 11:00:00,132.7
Dwarka,NO2,2025-12-02 12:00:00,56.5
Dwarka,NO2,2025-12-02 13:00:00,102.6
Dwarka,NO2,2025-12-02 14:00:00,45.6
Dwarka,NO2,2025-12-02 15:00:00,88.2
Dwarka,NO2,2025-12-02 16:00:00,70.8
Dwarka,NO2,2025-12-02 17:00:00,165.3
Dwarka,NO2,2025-12-02 18:00:00,156.9
Dwarka,NO2,2025-12-02 19:00:00,158.5
Dwarka,NO2,2025-12-02 20:00:00,134.7
Dwarka,NO2,2025-12-02 21:00:00,113.0
Dwarka,NO2,2025-12-02 22:00:00,136.6
Dwarka,NO2,2025-12-02 23:00:00,107.9
Dwarka,NO2,2025-12-03 00:00:00,86.9
Dwarka,NO2,2025-12-03 01:00:00,79.9
Dwarka,NO2,2025-12-03 02:00:00,75.0
Dwarka,NO2,2025-12-03 12:00:00,74.2
Dwarka,NO2,2025-12-03 13:00:00,34.0
Dwarka,NO2,2025-12-03 14:00:00,30.6
Dwarka,NO2,2025-12-03 15:00:00,60.2
Dwarka,NO2,2025-12-03 16:00:00,41.5
Dwarka,NO2,2025-12-03 17:00:00,102.7
Dwarka,NO2,2025-12-03 18:00:00,109.3
Dwarka,NO2,2025-12-03 19:00:00,115.8
Dwarka,NO2,2025-12-03 20:00:00,98.2
Dwarka,NO2,2025-12-03 21:00:00,116.8
Dwarka,NO2,2025-12-03 22:00:00,82.8
Dwarka,NO2,2025-12-03 23:00:00,90.0
Dwarka,NO2,2025-12-04 00:00:00,86.6
Dwarka,NO2,2025-12-04 01:00:00,85.0
Dwarka,NO2,2025-12-04 02:00:00,65.3
Dwarka,NO2,2025-12-04 03:00:00,66.0
Dwarka,NO2,2025-12-04 04:00:00,66.7
Dwarka,NO2,2025-12-04 05:00:00,70.0
