zone,param,timestamp,value
Dwarka,O3,2025-12-01 01:00:00,0.8
Dwarka,O3,2025-12-01 02:00:00,0.4
Dwarka,O3,2025-12-01 03:00:00,0.2
Dwarka,O3,2025-12-01 04:00:00,0.1
Dwarka,O3,2025-12-01 05:00:00,
Dwarka,O3,2025-12-01 06:00:00,0.4
Dwarka,O3,2025-12-01 07:00:00,
Dwarka,O3,2025-12-01 08:00:00,1.6
Dwarka,O3,2025-12-01 09:00:00,2.9
Dwarka,O3,2025-12-01 10:00:00,30.6
Dwarka,O3,2025-12-01 11:00:00,81.4
Dwarka,O3,2025-12-01 12:00:00,112.8
Dwarka,O3,2025-12-01 13:00:00,
Dwarka,O3,2025-12-01 14:00:00,121.3
Dwarka,O3,2025-12-01 15:00:00,107.4
Dwarka,O3,2025-12-01 16:00:00,115.3
Dwarka,O3,2025-12-01 17:00:00,9.5
Dwarka,O3,2025-12-01 18:00:00,4.7
Dwarka,O3,2025-12-01 19:00:00,7.2
Dwarka,O3,2025-12-01 20:00:00,8.0
Dwarka,O3,2025-12-01 21:00:00,6.5
Dwarka,O3,2025-12-01 22:00:00,6.0
Dwarka,O3,2025-12-01 23:00:00,4.2
Dwarka,O3,2025-12-02 00:00:00,5.2
Dwarka,O3,2025-12-02 01:00:00,5.0
Dwarka,O3,2025-12-02 02:00:00,10.2
Dwarka,O3,2025-12-02 03:00:00,8.2
Dwarka,O3,2025-12-02 04:00:00,9.1
Dwarka,O3,2025-12-02 05:00:00,5.2
Dwarka,O3,2025-12-02 06:00:00,4.2
Dwarka,O3,2025-12-02 07:00:00,8.8
Dwarka,O3,2025-12-02 08:00:00,13.2
Dwarka,O3,2025-12-02 09:00:00,10.8
Dwarka,O3,2025-12-02 10:00:00,19.0
Dwarka,O3,2025-12-02 11:00:00,41.4
Dwarka,O3,2025-12-02 12:00:00,115.1
Dwarka,O3,2025-12-02 13:00:00,108.8
Dwarka,O3,2025-12-02 14:00:00,183.5
Dwarka,O3,2025-12-02 15:00:00,183.4
Dwarka,O3,2025-12-02 16:00:00,198.1
Dwarka,O3,2025-12-02 17:00:00,27.2
Dwarka,O3,2025-12-02 18:00:00,3.9
Dwarka,O3,2025-12-02 19:00:00,5.3
Dwarka,O3,2025-12-02 20:00:00,5.1
Dwarka,O3,2025-12-02 21:00:00,4.9
Dwarka,O3,2025-12-02 22:00:00,4.2
Dwarka,O3,2025-12-02 23:00:00,3.0
Dwarka,O3,2025-12-03 00:00:00,2.3
Dwarka,O3,2025-12-03 01:00:00,3.4
Dwarka,O3,2025-12-03 02:00:00,2.6
Dwarka,O3,2025-12-03 12:00:00,102.9
Dwarka,O3,2025-12-03 13:00:00,151.6
Dwarka,O3,2025-12-03 14:00:00,124.3
Dwarka,O3,2025-12-03 15:00:00,93.4
Dwarka,O3,2025-12-03 16:00:00,98.5
Dwarka,O3,2025-12-03 17:00:00,28.6
Dwarka,O3,2025-12-03 18:00:00,1.8
Dwarka,O3,2025-12-03 19:00:00,0.7
Dwarka,O3,2025-12-03 20:00:00,0.4
Dwarka,O3,2025-12-03 21:00:00,1.9
Dwarka,O3,2025-12-03 22:00:00,2.6
Dwarka,O3,2025-12-03 23:00:00,1.4
