zone,param,timestamp,value
Dwarka,PM10,2025-12-01 01:00:00,315.0
Dwarka,PM10,2025-12-01 02:00:00,315.0
Dwarka,PM10,2025-12-01 03:00:00,284.0
Dwarka,PM10,2025-12-01 04:00:00,256.0
Dwarka,PM10,2025-12-01 05:00:00,230.0
Dwarka,PM10,2025-12-01 06:00:00,226.0
Dwarka,PM10,2025-12-01 07:00:00,256.0
Dwarka,PM10,2025-12-01 08:00:00,302.0
Dwarka,PM10,2025-12-01 09:00:00,350.0
Dwarka,PM10,2025-12-01 10:00:00,306.0
Dwarka,PM10,2025-12-01 11:00:00,251.0
Dwarka,PM10,2025-12-01 12:00:00,213.0
Dwarka,PM10,2025-12-01 13:00:00,164.0
Dwarka,PM10,2025-12-01 14:00:00,147.0
Dwarka,PM10,2025-12-01 15:00:00,146.0
Dwarka,PM10,2025-12-01 16:00:00,163.0
Dwarka,PM10,2025-12-01 17:00:00,238.0
Dwarka,PM10,2025-12-01 18:00:00,393.0
Dwarka,PM10,2025-12-01 19:00:00,425.0
Dwarka,PM10,2025-12-01 20:00:00,458.0
Dwarka,PM10,2025-12-01 21:00:00,465.0
Dwarka,PM10,2025-12-01 22:00:00,425.0
Dwarka,PM10,2025-12-01 23:00:00,395.0
Dwarka,PM10,2025-12-02 00:00:00,378.0
Dwarka,PM10,2025-12-02 01:00:00,370.0
Dwarka,PM10,2025-12-02 02:00:00,340.0
Dwarka,PM10,2025-12-02 03:00:00,328.0
Dwarka,PM10,2025-12-02 04:00:00,331.0
Dwarka,PM10,2025-12-02 05:00:00,288.0
Dwarka,PM10,2025-12-02 06:00:00,269.0
Dwarka,PM10,2025-12-02 07:00:00,321.0
Dwarka,PM10,2025-12-02 08:00:00,467.0
Dwarka,PM10,2025-12-02 09:00:00,497.0
Dwarka,PM10,2025-12-02 10:00:00,433.0
Dwarka,PM10,2025-12-02 11:00:00,313.0
Dwarka,PM10,2025-12-02 12:00:00,306.0
Dwarka,PM10,2025-12-02 13:00:00,235.0
Dwarka,PM10,2025-12-02 14:00:00,277.0
Dwarka,PM10,2025-12-02 15:00:00,351.0
Dwarka,PM10,2025-12-02 16:00:00,429.0
Dwarka,PM10,2025-12-02 17:00:00,365.0
Dwarka,PM10,2025-12-02 18:00:00,365.0
Dwarka,PM10,2025-12-02 19:00:00,433.0
Dwarka,PM10,2025-12-02 20:00:00,
Dwarka,PM10,2025-12-02 21:00:00,
Dwarka,PM10,2025-12-02 22:00:00,
Dwarka,PM10,2025-12-02 23:00:00,
Dwarka,PM10,2025-12-03 00:00:00,
Dwarka,PM10,2025-12-03 01:00:00,
Dwarka,PM10,2025-12-03 02:00:00,
Dwarka,PM10,2025-12-03 12:00:00,298.0
Dwarka,PM10,2025-12-03 13:00:00,282.0
Dwarka,PM10,2025-12-03 14:00:00,205.0
Dwarka,PM10,2025-12-03 15:00:00,188.0
Dwarka,PM10,2025-12-03 16:00:00,164.0
Dwarka,PM10,2025-12-03 17:00:00,184.0
Dwarka,PM10,2025-12-03 18:00:00,249.0
Dwarka,PM10,2025-12-03 19:00:00,300.0
Dwarka,PM10,2025-12-03 20:00:00,342.0
Dwarka,PM10,2025-12-03 21:00:00,324.0
Dwarka,PM10,2025-12-03 22:00:00,382.0
Dwarka,PM10,2025-12-03 23:00:00,396.0
Dwarka,PM10,2025-12-04 00:00:00,366.0
Dwarka,PM10,2025-12-04 01:00:00,311.0
Dwarka,PM10,2025-12-04 02:00:00,304.0
Dwarka,PM10,2025-12-04 03:00:00,272.0
Dwarka,PM10,2025-12-04 04:00:00,254.0
Dwarka,PM10,2025-12-04 05:00:00,276.0
Dwarka,PM10,2025-12-04 06:00:00,259.0
