zone,param,timestamp,value
Dwarka,humidity,2025-12-01 01:00:00,84.0
Dwarka,humidity,2025-12-01 02:00:00,85.4
Dwarka,humidity,2025-12-01 03:00:00,82.9
Dwarka,humidity,2025-12-01 04:00:00,83.8
Dwarka,humidity,2025-12-01 05:00:00,85.3
Dwarka,humidity,2025-12-01 06:00:00,86.0
Dwarka,humidity,2025-12-01 07:00:00,87.8
Dwarka,humidity,2025-12-01 08:00:00,87.2
Dwarka,humidity,2025-12-01 09:00:00,75.4
Dwarka,humidity,2025-12-01 10:00:00,60.6
Dwarka,humidity,2025-12-01 11:00:00,50.0
Dwarka,humidity,2025-12-01 12:00:00,41.5
Dwarka,humidity,2025-12-01 13:00:00,40.9
Dwarka,humidity,2025-12-01 14:00:00,38.3
Dwarka,humidity,2025-12-01 15:00:00,39.7
Dwarka,humidity,2025-12-01 16:00:00,40.9
Dwarka,humidity,2025-12-01 17:00:00,54.8
Dwarka,humidity,2025-12-01 18:00:00,68.7
Dwarka,humidity,2025-12-01 19:00:00,75.9
Dwarka,humidity,2025-12-01 20:00:00,77.3
Dwarka,humidity,2025-12-01 21:00:00,78.6
Dwarka,humidity,2025-12-01 22:00:00,77.0
Dwarka,humidity,2025-12-01 23:00:00,79.5
Dwarka,humidity,2025-12-02 00:00:00,81.9
Dwarka,humidity,2025-12-02 01:00:00,82.7
Dwarka,humidity,2025-12-02 02:00:00,77.0
Dwarka,humidity,2025-12-02 03:00:00,73.2
Dwarka,humidity,2025-12-02 04:00:00,65.4
Dwarka,humidity,2025-12-02 05:00:00,68.0
Dwarka,humidity,2025-12-02 06:00:00,63.9
Dwarka,humidity,2025-12-02 07:00:00,75.6
Dwarka,humidity,2025-12-02 08:00:00,78.3
Dwarka,humidity,2025-12-02 09:00:00,62.8
Dwarka,humidity,2025-12-02 10:00:00,53.0
Dwarka,humidity,2025-12-02 11:00:00,48.8
Dwarka,humidity,2025-12-02 12:00:00,47.4
Dwarka,humidity,2025-12-02 13:00:00,48.9
Dwarka,humidity,2025-12-02 14:00:00,48.2
Dwarka,humidity,2025-12-02 15:00:00,48.8
Dwarka,humidity,2025-12-02 16:00:00,49.2
Dwarka,humidity,2025-12-02 17:00:00,57.4
Dwarka,humidity,2025-12-02 18:00:00,72.4
Dwarka,humidity,2025-12-02 19:00:00,77.0
Dwarka,humidity,2025-12-02 20:00:00,81.6
Dwarka,humidity,2025-12-02 21:00:00,82.0
Dwarka,humidity,2025-12-02 22:00:00,78.5
Dwarka,humidity,2025-12-02 23:00:00,80.7
Dwarka,humidity,2025-12-03 00:00:00,83.4
Dwarka,humidity,2025-12-03 01:00:00,84.5
Dwarka,humidity,2025-12-03 02:00:00,85.9
Dwarka,humidity,2025-12-03 12:00:00,49.8
Dwarka,humidity,2025-12-03 13:00:00,46.4
Dwarka,humidity,2025-12-03 14:00:00,42.8
Dwarka,humidity,2025-12-03 15:00:00,40.7
Dwarka,humidity,2025-12-03 16:00:00,40.5
Dwarka,humidity,2025-12-03 17:00:00,45.9
Dwarka,humidity,2025-12-03 18:00:00,65.2
Dwarka,humidity,2025-12-03 19:00:00,70.1
Dwarka,humidity,2025-12-03 20:00:00,71.9
Dwarka,humidity,2025-12-03 21:00:00,72.3
Dwarka,humidity,2025-12-03 22:00:00,79.4
Dwarka,humidity,2025-12-03 23:00:00,76.8
Dwarka,humidity,2025-12-04 00:00:00,79.3
Dwarka,humidity,2025-12-04 01:00:00,80.9
Dwarka,humidity,2025-12-04 02:00:00,83.4
Dwarka,humidity,2025-12-04 03:00:00,84.9
Dwarka,humidity,2025-12-04 04:00:00,86.5
Dwarka,humidity,2025-12-04 05:00:00,85.8
Dwarka,humidity,2025-12-04 06:00:00,88.0
Dwarka,humidity,2025-12-04 07:00:00,87.2
Dwarka,humidity,2025-12-04 08:00:00,85.9
Dwarka,humidity,2025-12-04 09:00:00,79.1
Dwarka,humidity,2025-12-04 10:00:00,71.4
Dwarka,humidity,2025-12-04 11:00:00,61.3
Dwarka,humidity,2025-12-04 12:00:00,56.6
Dwarka,humidity,2025-12-04 13:00:00,51.9
Dwarka,humidity,2025-12-04 14:00:00,48.9
Dwarka,humidity,2025-12-04 15:00:00,44.8
Dwarka,humidity,2025-12-04 16:00:00,45.6
Dwarka,humidity,2025-12-04 17:00:00,49.7
