zone,param,timestamp,value
Jahangirpuri,NO2,2025-10-01 01:00:00,40.0
Jahangirpuri,NO2,2025-10-01 02:00:00,42.7
Jahangirpuri,NO2,2025-10-01 03:00:00,41.0
Jahangirpuri,NO2,2025-10-01 04:00:00,41.4
Jahangirpuri,NO2,2025-10-01 05:00:00,28.7
Jahangirpuri,NO2,2025-10-01 06:00:00,35.4
Jahangirpuri,NO2,2025-10-01 07:00:00,39.6
Jahangirpuri,NO2,2025-10-01 08:00:00,31.3
Jahangirpuri,NO2,2025-10-01 09:00:00,30.3
Jahangirpuri,NO2,2025-10-01 10:00:00,33.7
Jahangirpuri,NO2,2025-10-01 11:00:00,37.3
Jahangirpuri,NO2,2025-10-01 12:00:00,34.4
Jahangirpuri,NO2,2025-10-01 13:00:00,34.2
Jahangirpuri,NO2,2025-10-01 14:00:00,31.2
Jahangirpuri,NO2,2025-10-01 15:00:00,33.7
Jahangirpuri,NO2,2025-10-01 16:00:00,37.1
Jahangirpuri,NO2,2025-10-01 17:00:00,43.0
Jahangirpuri,NO2,2025-10-01 18:00:00,47.4
Jahangirpuri,NO2,2025-10-01 19:00:00,71.2
Jahangirpuri,NO2,2025-10-01 20:00:00,83.2
Jahangirpuri,NO2,2025-10-01 21:00:00,69.0
Jahangirpuri,NO2,2025-10-01 22:00:00,68.3
Jahangirpuri,NO2,2025-10-01 23:00:00,64.3
Jahangirpuri,NO2,2025-10-02 00:00:00,56.3
Jahangirpuri,NO2,2025-10-02 01:00:00,56.7
Jahangirpuri,NO2,2025-10-02 02:00:00,53.7
Jahangirpuri,NO2,2025-10-02 03:00:00,49.1
Jahangirpuri,NO2,2025-10-02 04:00:00,48.9
Jahangirpuri,NO2,2025-10-02 05:00:00,49.8
Jahangirpuri,NO2,2025-10-02 06:00:00,44.3
Jahangirpuri,NO2,2025-10-02 07:00:00,42.4
Jahangirpuri,NO2,2025-10-02 08:00:00,50.7
Jahangirpuri,NO2,2025-10-02 09:00:00,49.6
Jahangirpuri,NO2,2025-10-02 10:00:00,27.3
Jahangirpuri,NO2,2025-10-02 11:00:00,29.7
Jahangirpuri,NO2,2025-10-02 12:00:00,27.1
Jahangirpuri,NO2,2025-10-03 10:00:00,29.1
Jahangirpuri,NO2,2025-10-03 11:00:00,20.4
Jahangirpuri,NO2,2025-10-03 12:00:00,21.2
Jahangirpuri,NO2,2025-10-03 13:00:00,25.2
Jahangirpuri,NO2,2025-10-03 14:00:00,21.0
Jahangirpuri,NO2,2025-10-03 15:00:00,25.1
Jahangirpuri,NO2,2025-10-03 16:00:00,20.0
