zone,param,timestamp,value
Jahangirpuri,O3,2025-12-01 01:00:00,3.1
Jahangirpuri,O3,2025-12-01 02:00:00,3.6
Jahangirpuri,O3,2025-12-01 03:00:00,2.7
Jahangirpuri,O3,2025-12-01 04:00:00,3.9
Jahangirpuri,O3,2025-12-01 05:00:00,4.7
Jahangirpuri,O3,2025-12-01 06:00:00,5.3
Jahangirpuri,O3,2025-12-01 07:00:00,3.2
Jahangirpuri,O3,2025-12-01 08:00:00,3.5
Jahangirpuri,O3,2025-12-01 09:00:00,10.3
Jahangirpuri,O3,2025-12-01 10:00:00,45.8
Jahangirpuri,O3,2025-12-01 11:00:00,98.4
Jahangirpuri,O3,2025-12-01 12:00:00,167.0
Jahangirpuri,O3,2025-12-01 13:00:00,148.9
Jahangirpuri,O3,2025-12-01 14:00:00,149.1
Jahangirpuri,O3,2025-12-01 15:00:00,154.8
Jahangirpuri,O3,2025-12-01 16:00:00,151.2
Jahangirpuri,O3,2025-12-01 17:00:00,97.3
Jahangirpuri,O3,2025-12-01 18:00:00,65.0
Jahangirpuri,O3,2025-12-01 19:00:00,16.8
Jahangirpuri,O3,2025-12-01 20:00:00,3.4
Jahangirpuri,O3,2025-12-01 21:00:00,2.9
Jahangirpuri,O3,2025-12-01 22:00:00,3.2
Jahangirpuri,O3,2025-12-01 23:00:00,3.7
Jahangirpuri,O3,2025-12-02 00:00:00,3.3
Jahangirpuri,O3,2025-12-02 01:00:00,3.4
Jahangirpuri,O3,2025-12-02 02:00:00,3.6
Jahangirpuri,O3,2025-12-02 03:00:00,12.4
Jahangirpuri,O3,2025-12-02 04:00:00,12.9
Jahangirpuri,O3,2025-12-02 05:00:00,4.4
Jahangirpuri,O3,2025-12-02 06:00:00,3.8
Jahangirpuri,O3,2025-12-02 07:00:00,3.8
Jahangirpuri,O3,2025-12-02 08:00:00,4.4
Jahangirpuri,O3,2025-12-02 09:00:00,7.6
Jahangirpuri,O3,2025-12-02 10:00:00,44.6
Jahangirpuri,O3,2025-12-02 11:00:00,92.6
Jahangirpuri,O3,2025-12-02 12:00:00,134.0
Jahangirpuri,O3,2025-12-02 13:00:00,173.7
Jahangirpuri,O3,2025-12-02 14:00:00,200.4
Jahangirpuri,O3,2025-12-02 15:00:00,154.2
Jahangirpuri,O3,2025-12-02 16:00:00,120.0
Jahangirpuri,O3,2025-12-02 17:00:00,57.8
Jahangirpuri,O3,2025-12-02 18:00:00,20.1
Jahangirpuri,O3,2025-12-02 19:00:00,4.5
Jahangirpuri,O3,2025-12-02 20:00:00,3.3
Jahangirpuri,O3,2025-12-02 21:00:00,2.6
Jahangirpuri,O3,2025-12-02 22:00:00,2.5
Jahangirpuri,O3,2025-12-02 23:00:00,3.4
Jahangirpuri,O3,2025-12-03 00:00:00,14.3
Jahangirpuri,O3,2025-12-03 01:00:00,76.4
Jahangirpuri,O3,2025-12-03 11:00:00,110.4
Jahangirpuri,O3,2025-12-03 12:00:00,123.8
Jahangirpuri,O3,2025-12-03 13:00:00,122.2
Jahangirpuri,O3,2025-12-03 14:00:00,137.9
Jahangirpuri,O3,2025-12-03 15:00:00,131.5
Jahangirpuri,O3,2025-12-03 16:00:00,102.9
Jahangirpuri,O3,2025-12-03 17:00:00,34.0
Jahangirpuri,O3,2025-12-03 19:00:00,3.6
Jahangirpuri,O3,2025-12-03 20:00:00,4.0
Jahangirpuri,O3,2025-12-03 21:00:00,3.7
Jahangirpuri,O3,2025-12-03 22:00:00,3.5
Jahangirpuri,O3,2025-12-03 23:00:00,6.1
Jahangirpuri,O3,2025-12-04 00:00:00,5.0
Jahangirpuri,O3,2025-12-04 01:00:00,3.2
Jahangirpuri,O3,2025-12-04 02:00:00,3.0
Jahangirpuri,O3,2025-12-04 03:00:00,4.0
Jahangirpuri,O3,2025-12-04 04:00:00,4.4
Jahangirpuri,O3,2025-12-04 05:00:00,7.1
Jahangirpuri,O3,2025-12-04 06:00:00,6.8
Jahangirpuri,O3,2025-12-04 07:00:00,5.2
Jahangirpuri,O3,2025-12-04 08:00:00,11.8
Jahangirpuri,O3,2025-12-04 09:00:00,34.8
Jahangirpuri,O3,2025-12-04 10:00:00,62.6
Jahangirpuri,O3,2025-12-04 11:00:00,106.1
Jahangirpuri,O3,2025-12-04 12:00:00,121.5
Jahangirpuri,O3,2025-12-04 13:00:00,126.5
Jahangirpuri,O3,2025-12-04 14:00:00,141.6
Jahangirpuri,O3,2025-12-04 15:00:00,139.4
