zone,param,timestamp,value
Jahangirpuri,PM2.5,2025-12-01 01:00:00,200.0
Jahangirpuri,PM2.5,2025-12-01 02:00:00,243.0
Jahangirpuri,PM2.5,2025-12-01 03:00:00,229.0
Jahangirpuri,PM2.5,2025-12-01 04:00:00,200.0
Jahangirpuri,PM2.5,2025-12-01 05:00:00,206.0
Jahangirpuri,PM2.5,2025-12-01 06:00:00,213.0
Jahangirpuri,PM2.5,2025-12-01 07:00:00,206.0
Jahangirpuri,PM2.5,2025-12-01 08:00:00,200.0
Jahangirpuri,PM2.5,2025-12-01 09:00:00,211.0
Jahangirpuri,PM2.5,2025-12-01 10:00:00,223.0
Jahangirpuri,PM2.5,2025-12-01 11:00:00,197.0
Jahangirpuri,PM2.5,2025-12-01 12:00:00,222.0
Jahangirpuri,PM2.5,2025-12-01 13:00:00,114.0
Jahangirpuri,PM2.5,2025-12-01 14:00:00,81.0
Jahangirpuri,PM2.5,2025-12-01 15:00:00,74.0
Jahangirpuri,PM2.5,2025-12-01 16:00:00,81.0
Jahangirpuri,PM2.5,2025-12-01 17:00:00,95.0
Jahangirpuri,PM2.5,2025-12-01 18:00:00,121.0
Jahangirpuri,PM2.5,2025-12-01 19:00:00,202.0
Jahangirpuri,PM2.5,2025-12-01 20:00:00,200.0
Jahangirpuri,PM2.5,2025-12-01 21:00:00,301.0
Jahangirpuri,PM2.5,2025-12-01 22:00:00,273.0
Jahangirpuri,PM2.5,2025-12-01 23:00:00,322.0
Jahangirpuri,PM2.5,2025-12-02 00:00:00,288.0
Jahangirpuri,PM2.5,2025-12-02 01:00:00,327.0
Jahangirpuri,PM2.5,2025-12-02 02:00:00,316.0
Jahangirpuri,PM2.5,2025-12-02 03:00:00,276.0
Jahangirpuri,PM2.5,2025-12-02 04:00:00,227.0
Jahangirpuri,PM2.5,2025-12-02 05:00:00,210.0
Jahangirpuri,PM2.5,2025-12-02 06:00:00,234.0
Jahangirpuri,PM2.5,2025-12-02 07:00:00,256.0
Jahangirpuri,PM2.5,2025-12-02 08:00:00,310.0
Jahangirpuri,PM2.5,2025-12-02 09:00:00,364.0
Jahangirpuri,PM2.5,2025-12-02 10:00:00,357.0
Jahangirpuri,PM2.5,2025-12-02 11:00:00,404.0
Jahangirpuri,PM2.5,2025-12-02 12:00:00,301.0
Jahangirpuri,PM2.5,2025-12-02 13:00:00,246.0
Jahangirpuri,PM2.5,2025-12-02 14:00:00,224.0
Jahangirpuri,PM2.5,2025-12-02 15:00:00,189.0
Jahangirpuri,PM2.5,2025-12-02 16:00:00,156.0
Jahangirpuri,PM2.5,2025-12-02 17:00:00,167.0
Jahangirpuri,PM2.5,2025-12-02 18:00:00,178.0
Jahangirpuri,PM2.5,2025-12-02 19:00:00,328.0
Jahangirpuri,PM2.5,2025-12-02 20:00:00,427.0
Jahangirpuri,PM2.5,2025-12-02 21:00:00,315.0
Jahangirpuri,PM2.5,2025-12-02 22:00:00,301.0
Jahangirpuri,PM2.5,2025-12-02 23:00:00,339.0
Jahangirpuri,PM2.5,2025-12-03 00:00:00,229.0
Jahangirpuri,PM2.5,2025-12-03 01:00:00,191.0
Jahangirpuri,PM2.5,2025-12-03 11:00:00,185.0
Jahangirpuri,PM2.5,2025-12-03 12:00:00,162.0
Jahangirpuri,PM2.5,2025-12-03 13:00:00,122.0
Jahangirpuri,PM2.5,2025-12-03 14:00:00,106.0
