zone,param,timestamp,value
Jahangirpuri,humidity,2025-10-01 01:00:00,87.0
Jahangirpuri,humidity,2025-10-01 02:00:00,89.1
Jahangirpuri,humidity,2025-10-01 03:00:00,89.0
Jahangirpuri,humidity,2025-10-01 04:00:00,89.2
Jahangirpuri,humidity,2025-10-01 05:00:00,89.7
Jahangirpuri,humidity,2025-10-01 06:00:00,91.5
Jahangirpuri,humidity,2025-10-01 07:00:00,91.4
Jahangirpuri,humidity,2025-10-01 08:00:00,86.3
Jahangirpuri,humidity,2025-10-01 09:00:00,82.5
Jahangirpuri,humidity,2025-10-01 10:00:00,77.0
Jahangirpuri,humidity,2025-10-01 11:00:00,66.5
Jahangirpuri,humidity,2025-10-01 12:00:00,58.5
Jahangirpuri,humidity,2025-10-01 13:00:00,55.6
Jahangirpuri,humidity,2025-10-01 14:00:00,52.7
Jahangirpuri,humidity,2025-10-01 15:00:00,57.3
Jahangirpuri,humidity,2025-10-01 16:00:00,58.0
Jahangirpuri,humidity,2025-10-01 17:00:00,58.8
Jahangirpuri,humidity,2025-10-01 18:00:00,66.3
Jahangirpuri,humidity,2025-10-01 19:00:00,71.3
Jahangirpuri,humidity,2025-10-01 20:00:00,76.4
Jahangirpuri,humidity,2025-10-01 21:00:00,82.2
Jahangirpuri,humidity,2025-10-01 22:00:00,85.6
Jahangirpuri,humidity,2025-10-01 23:00:00,77.6
Jahangirpuri,humidity,2025-10-02 00:00:00,80.4
Jahangirpuri,humidity,2025-10-02 01:00:00,83.6
Jahangirpuri,humidity,2025-10-02 02:00:00,85.4
Jahangirpuri,humidity,2025-10-02 03:00:00,86.2
Jahangirpuri,humidity,2025-10-02 04:00:00,87.4
Jahangirpuri,humidity,2025-10-02 05:00:00,87.7
Jahangirpuri,humidity,2025-10-02 06:00:00,86.7
Jahangirpuri,humidity,2025-10-02 07:00:00,86.6
Jahangirpuri,humidity,2025-10-02 08:00:00,82.9
Jahangirpuri,humidity,2025-10-02 09:00:00,75.4
Jahangirpuri,humidity,2025-10-02 10:00:00,67.8
Jahangirpuri,humidity,2025-10-02 11:00:00,62.8
Jahangirpuri,humidity,2025-10-02 12:00:00,58.1
Jahangirpuri,humidity,2025-10-03 10:00:00,75.6
Jahangirpuri,humidity,2025-10-03 11:00:00,64.8
Jahangirpuri,humidity,2025-10-03 13:00:00,53.3
Jahangirpuri,humidity,2025-10-03 14:00:00,54.9
Jahangirpuri,humidity,2025-10-03 15:00:00,56.8
Jahangirpuri,humidity,2025-10-03 16:00:00,58.6
Jahangirpuri,humidity,2025-10-03 17:00:00,55.8
Jahangirpuri,humidity,2025-10-03 18:00:00,69.1
Jahangirpuri,humidity,2025-10-03 19:00:00,75.2
Jahangirpuri,humidity,2025-10-04 08:00:00,81.5
Jahangirpuri,humidity,2025-10-04 09:00:00,76.3
Jahangirpuri,humidity,2025-10-04 10:00:00,65.9
Jahangirpuri,humidity,2025-10-04 11:00:00,61.0
Jahangirpuri,humidity,2025-10-04 12:00:00,55.7
Jahangirpuri,humidity,2025-10-04 13:00:00,51.8
Jahangirpuri,humidity,2025-10-04 14:00:00,48.9
Jahangirpuri,humidity,2025-10-04 15:00:00,52.2
Jahangirpuri,humidity,2025-10-04 16:00:00,56.5
Jahangirpuri,humidity,2025-10-04 17:00:00,58.0
Jahangirpuri,humidity,2025-10-04 18:00:00,65.5
Jahangirpuri,humidity,2025-10-04 19:00:00,70.8
Jahangirpuri,humidity,2025-10-04 20:00:00,70.5
Jahangirpuri,humidity,2025-10-04 21:00:00,70.2
Jahangirpuri,humidity,2025-10-04 22:00:00,65.1
Jahangirpuri,humidity,2025-10-04 23:00:00,68.5
Jahangirpuri,humidity,2025-10-05 07:00:00,78.6
Jahangirpuri,humidity,2025-10-05 08:00:00,76.0
Jahangirpuri,humidity,2025-10-05 09:00:00,70.9
Jahangirpuri,humidity,2025-10-05 10:00:00,69.8
Jahangirpuri,humidity,2025-10-05 11:00:00,63.3
Jahangirpuri,humidity,2025-10-05 12:00:00,53.8
Jahangirpuri,humidity,2025-10-05 13:00:00,50.9
Jahangirpuri,humidity,2025-10-05 14:00:00,50.2
Jahangirpuri,humidity,2025-10-05 15:00:00,53.6
Jahangirpuri,humidity,2025-10-05 16:00:00,54.2
Jahangirpuri,humidity,2025-10-05 17:00:00,54.1
Jahangirpuri,humidity,2025-10-05 18:00:00,61.2
Jahangirpuri,humidity,2025-10-05 19:00:00,69.1
Jahangirpuri,humidity,2025-10-05 20:00:00,76.2
Jahangirpuri,humidity,2025-10-05 21:00:00,79.2
Jahangirpuri,humidity,2025-10-05 22:00:00,83.2
