zone,param,timestamp,value
Mundka,NO2,2025-10-01 01:00:00,28.0
Mundka,NO2,2025-10-01 02:00:00,26.1
Mundka,NO2,2025-10-01 03:00:00,32.6
Mundka,NO2,2025-10-01 04:00:00,31.1
Mundka,NO2,2025-10-01 05:00:00,32.1
Mundka,NO2,2025-10-01 06:00:00,22.6
Mundka,NO2,2025-10-01 07:00:00,23.5
Mundka,NO2,2025-10-01 08:00:00,28.3
Mundka,NO2,2025-10-01 09:00:00,28.1
Mundka,NO2,2025-10-01 10:00:00,24.0
Mundka,NO2,2025-10-01 11:00:00,21.1
Mundka,NO2,2025-10-01 12:00:00,20.6
Mundka,NO2,2025-10-01 13:00:00,19.4
Mundka,NO2,2025-10-01 14:00:00,15.4
Mundka,NO2,2025-10-01 15:00:00,15.1
Mundka,NO2,2025-10-01 16:00:00,17.3
Mundka,NO2,2025-10-01 17:00:00,20.0
Mundka,NO2,2025-10-01 18:00:00,27.5
Mundka,NO2,2025-10-01 19:00:00,29.4
Mundka,NO2,2025-10-01 20:00:00,35.1
Mundka,NO2,2025-10-01 21:00:00,47.1
Mundka,NO2,2025-10-01 22:00:00,70.7
Mundka,NO2,2025-10-01 23:00:00,71.0
Mundka,NO2,2025-10-02 00:00:00,45.5
Mundka,NO2,2025-10-02 01:00:00,40.6
Mundka,NO2,2025-10-02 02:00:00,44.2
Mundka,NO2,2025-10-02 03:00:00,38.0
Mundka,NO2,2025-10-02 04:00:00,41.7
Mundka,NO2,2025-10-02 05:00:00,40.2
Mundka,NO2,2025-10-02 06:00:00,46.6
Mundka,NO2,2025-10-02 07:00:00,36.0
Mundka,NO2,2025-10-02 08:00:00,21.7
Mundka,NO2,2025-10-02 09:00:00,22.8
Mundka,NO2,2025-10-02 10:00:00,21.1
Mundka,NO2,2025-10-02 11:00:00,18.2
Mundka,NO2,2025-10-02 12:00:00,21.2
Mundka,NO2,2025-10-02 13:00:00,25.7
Mundka,NO2,2025-10-02 14:00:00,24.2
Mundka,NO2,2025-10-02 15:00:00,22.1
Mundka,NO2,2025-10-02 16:00:00,21.7
Mundka,NO2,2025-10-02 17:00:00,20.6
Mundka,NO2,2025-10-02 18:00:00,33.5
Mundka,NO2,2025-10-02 19:00:00,12.1
Mundka,NO2,2025-10-02 20:00:00,28.6
Mundka,NO2,2025-10-02 21:00:00,46.0
Mundka,NO2,2025-10-02 22:00:00,52.6
Mundka,NO2,2025-10-02 23:00:00,40.9
Mundka,NO2,2025-10-03 00:00:00,37.8
Mundka,NO2,2025-10-03 01:00:00,31.3
Mundka,NO2,2025-10-03 02:00:00,31.0
Mundka,NO2,2025-10-03 03:00:00,25.8
Mundka,NO2,2025-10-03 04:00:00,25.5
Mundka,NO2,2025-10-03 05:00:00,30.9
Mundka,NO2,2025-10-03 06:00:00,29.4
Mundka,NO2,2025-10-03 07:00:00,30.0
Mundka,NO2,2025-10-03 08:00:00,27.2
Mundka,NO2,2025-10-03 09:00:00,28.4
Mundka,NO2,2025-10-03 10:00:00,29.3
Mundka,NO2,2025-10-03 11:00:00,28.3
Mundka,NO2,2025-10-03 12:00:00,25.5
Mundka,NO2,2025-10-03 13:00:00,24.5
Mundka,NO2,2025-10-03 14:00:00,35.0
Mundka,NO2,2025-10-03 16:00:00,
Mundka,NO2,2025-10-03 17:00:00,16.9
Mundka,NO2,2025-10-03 18:00:00,22.2
Mundka,NO2,2025-10-03 19:00:00,45.1
Mundka,NO2,2025-10-03 20:00:00,44.1
Mundka,NO2,2025-10-03 21:00:00,50.8
