zone,param,timestamp,value
Narela,PM10,2025-12-01 01:00:00,229.0
Narela,PM10,2025-12-01 02:00:00,218.0
Narela,PM10,2025-12-01 03:00:00,207.0
Narela,PM10,2025-12-01 04:00:00,207.0
Narela,PM10,2025-12-01 05:00:00,210.0
Narela,PM10,2025-12-01 06:00:00,265.0
Narela,PM10,2025-12-01 07:00:00,321.0
Narela,PM10,2025-12-01 08:00:00,368.0
Narela,PM10,2025-12-01 09:00:00,427.0
Narela,PM10,2025-12-01 10:00:00,388.0
Narela,PM10,2025-12-01 11:00:00,354.0
Narela,PM10,2025-12-01 12:00:00,266.0
Narela,PM10,2025-12-01 13:00:00,191.0
Narela,PM10,2025-12-01 14:00:00,161.0
Narela,PM10,2025-12-01 15:00:00,139.0
Narela,PM10,2025-12-01 16:00:00,200.0
Narela,PM10,2025-12-01 17:00:00,235.0
Narela,PM10,2025-12-01 18:00:00,376.0
Narela,PM10,2025-12-01 19:00:00,455.0
Narela,PM10,2025-12-01 20:00:00,478.0
Narela,PM10,2025-12-02 08:00:00,396.0
Narela,PM10,2025-12-02 09:00:00,432.0
Narela,PM10,2025-12-02 10:00:00,501.0
Narela,PM10,2025-12-02 11:00:00,403.0
Narela,PM10,2025-12-02 12:00:00,295.0
Narela,PM10,2025-12-02 13:00:00,269.0
Narela,PM10,2025-12-02 14:00:00,311.0
Narela,PM10,2025-12-02 15:00:00,273.0
Narela,PM10,2025-12-02 16:00:00,289.0
Narela,PM10,2025-12-02 17:00:00,389.0
Narela,PM10,2025-12-02 18:00:00,370.0
Narela,PM10,2025-12-02 19:00:00,506.0
Narela,PM10,2025-12-02 20:00:00,596.0
Narela,PM10,2025-12-02 21:00:00,528.0
Narela,PM10,2025-12-02 22:00:00,448.0
Narela,PM10,2025-12-02 23:00:00,405.0
Narela,PM10,2025-12-03 00:00:00,372.0
Narela,PM10,2025-12-03 01:00:00,307.0
Narela,PM10,2025-12-03 02:00:00,267.0
Narela,PM10,2025-12-03 12:00:00,250.0
Narela,PM10,2025-12-03 13:00:00,224.0
Narela,PM10,2025-12-03 14:00:00,182.0
Narela,PM10,2025-12-03 15:00:00,182.0
Narela,PM10,2025-12-03 16:00:00,195.0
Narela,PM10,2025-12-03 17:00:00,171.0
Narela,PM10,2025-12-03 18:00:00,193.0
Narela,PM10,2025-12-03 19:00:00,248.0
Narela,PM10,2025-12-03 20:00:00,266.0
Narela,PM10,2025-12-03 21:00:00,250.0
Narela,PM10,2025-12-03 22:00:00,256.0
Narela,PM10,2025-12-03 23:00:00,251.0
Narela,PM10,2025-12-04 00:00:00,252.0
Narela,PM10,2025-12-04 01:00:00,245.0
Narela,PM10,2025-12-04 02:00:00,450.0
Narela,PM10,2025-12-04 03:00:00,285.0
Narela,PM10,2025-12-04 04:00:00,254.0
Narela,PM10,2025-12-04 05:00:00,240.0
Narela,PM10,2025-12-04 06:00:00,345.0
Narela,PM10,2025-12-04 07:00:00,338.0
Narela,PM10,2025-12-04 08:00:00,317.0
Narela,PM10,2025-12-04 09:00:00,307.0
Narela,PM10,2025-12-04 10:00:00,295.0
Narela,PM10,2025-12-04 11:00:00,257.0
Narela,PM10,2025-12-04 12:00:00,197.0
Narela,PM10,2025-12-04 13:00:00,179.0
Narela,PM10,2025-12-04 14:00:00,166.0
Narela,PM10,2025-12-04 15:00:00,164.0
Narela,PM10,2025-12-04 16:00:00,191.0
Narela,PM10,2025-12-04 17:00:00,194.0
Narela,PM10,2025-12-04 18:00:00,244.0
Narela,PM10,2025-12-04 19:00:00,257.0
Narela,PM10,2025-12-04 20:00:00,343.0
Narela,PM10,2025-12-04 21:00:00,321.0
Narela,PM10,2025-12-04 22:00:00,317.0
Narela,PM10,2025-12-04 23:00:00,320.0
Narela,PM10,2025-12-05 00:00:00,311.0
Narela,PM10,2025-12-05 01:00:00,285.0
Narela,PM10,2025-12-05 02:00:00,268.0
Narela,PM10,2025-12-05 03:00:00,255.0
Narela,PM10,2025-12-05 04:00:00,277.0
Narela,PM10,2025-12-05 05:00:00,328.0
Narela,PM10,2025-12-05 06:00:00,378.0
Narela,PM10,2025-12-05 07:00:00,367.0
Narela,PM10,2025-12-05 08:00:00,377.0
Narela,PM10,2025-12-05 09:00:00,381.0
Narela,PM10,2025-12-05 10:00:00,332.0
Narela,PM10,2025-12-05 11:00:00,305.0
Narela,PM10,2025-12-05 12:00:00,276.0
Narela,PM10,2025-12-05 13:00:00,237.0
Narela,PM10,2025-12-05 14:00:00,196.0
Narela,PM10,2025-12-05 15:00:00,185.0
Narela,PM10,2025-12-05 16:00:00,199.0
Narela,PM10,2025-12-05 17:00:00,218.0
Narela,PM10,2025-12-05 18:00:00,240.0
Narela,PM10,2025-12-05 19:00:00,282.0
Narela,PM10,2025-12-05 20:00:00,365.0
Narela,PM10,2025-12-05 21:00:00,342.0
Narela,PM10,2025-12-05 22:00:00,277.0
Narela,PM10,2025-12-05 23:00:00,277.0
Narela,PM10,2025-12-06 00:00:00,298.0
Narela,PM10,2025-12-06 01:00:00,320.0
Narela,PM10,2025-12-06 02:00:00,280.0
Narela,PM10,2025-12-06 03:00:00,276.0
Narela,PM10,2025-12-06 04:00:00,300.0
Narela,PM10,2025-12-06 05:00:00,293.0
Narela,PM10,2025-12-06 06:00:00,272.0
Narela,PM10,2025-12-06 07:00:00,277.0
Narela,PM10,2025-12-06 08:00:00,274.0
Narela,PM10,2025-12-06 09:00:00,282.0
Narela,PM10,2025-12-06 10:00:00,252.0
Narela,PM10,2025-12-06 11:00:00,227.0
Narela,PM10,2025-12-06 12:00:00,210.0
Narela,PM10,2025-12-06 13:00:00,232.0
Narela,PM10,2025-12-06 14:00:00,173.0
Narela,PM10,2025-12-06 15:00:00,
Narela,PM10,2025-12-06 16:00:00,
Narela,PM10,2025-12-06 17:00:00,145.0
Narela,PM10,2025-12-06 18:00:00,212.0
Narela,PM10,2025-12-06 19:00:00,246.0
Narela,PM10,2025-12-06 20:00:00,246.0
Narela,PM10,2025-12-06 21:00:00,300.0
Narela,PM10,2025-12-06 22:00:00,268.0
Narela,PM10,2025-12-06 23:00:00,259.0
Narela,PM10,2025-12-07 00:00:00,234.0
