zone,param,timestamp,value
Narela,humidity,2025-12-01 01:00:00,68.1
Narela,humidity,2025-12-01 02:00:00,71.8
Narela,humidity,2025-12-01 03:00:00,69.4
Narela,humidity,2025-12-01 04:00:00,74.0
Narela,humidity,2025-12-01 05:00:00,77.4
Narela,humidity,2025-12-01 06:00:00,79.5
Narela,humidity,2025-12-01 07:00:00,80.4
Narela,humidity,2025-12-01 08:00:00,80.7
Narela,humidity,2025-12-01 09:00:00,65.1
Narela,humidity,2025-12-01 10:00:00,49.8
Narela,humidity,2025-12-01 11:00:00,42.8
Narela,humidity,2025-12-01 12:00:00,37.9
Narela,humidity,2025-12-01 13:00:00,36.9
Narela,humidity,2025-12-01 14:00:00,36.1
Narela,humidity,2025-12-01 15:00:00,37.1
Narela,humidity,2025-12-01 16:00:00,41.5
Narela,humidity,2025-12-01 17:00:00,45.2
Narela,humidity,2025-12-01 18:00:00,54.9
Narela,humidity,2025-12-01 19:00:00,64.6
Narela,humidity,2025-12-01 20:00:00,69.0
Narela,humidity,2025-12-02 08:00:00,70.2
Narela,humidity,2025-12-02 09:00:00,58.1
Narela,humidity,2025-12-02 10:00:00,51.0
Narela,humidity,2025-12-02 11:00:00,46.5
Narela,humidity,2025-12-02 12:00:00,40.3
Narela,humidity,2025-12-02 13:00:00,40.4
Narela,humidity,2025-12-02 14:00:00,41.9
Narela,humidity,2025-12-02 15:00:00,43.5
Narela,humidity,2025-12-02 16:00:00,46.9
Narela,humidity,2025-12-02 17:00:00,51.2
Narela,humidity,2025-12-02 18:00:00,62.2
Narela,humidity,2025-12-02 19:00:00,63.6
Narela,humidity,2025-12-02 20:00:00,59.8
Narela,humidity,2025-12-02 21:00:00,62.6
Narela,humidity,2025-12-02 22:00:00,68.7
Narela,humidity,2025-12-02 23:00:00,67.9
Narela,humidity,2025-12-03 00:00:00,64.1
Narela,humidity,2025-12-03 01:00:00,68.8
Narela,humidity,2025-12-03 02:00:00,74.2
Narela,humidity,2025-12-03 12:00:00,43.5
Narela,humidity,2025-12-03 13:00:00,41.6
Narela,humidity,2025-12-03 14:00:00,39.9
Narela,humidity,2025-12-03 15:00:00,39.7
Narela,humidity,2025-12-03 16:00:00,42.3
Narela,humidity,2025-12-03 17:00:00,47.8
Narela,humidity,2025-12-03 18:00:00,54.3
Narela,humidity,2025-12-03 19:00:00,58.6
Narela,humidity,2025-12-03 20:00:00,58.0
Narela,humidity,2025-12-03 21:00:00,58.5
Narela,humidity,2025-12-03 22:00:00,60.0
Narela,humidity,2025-12-03 23:00:00,61.3
Narela,humidity,2025-12-04 00:00:00,64.5
Narela,humidity,2025-12-04 01:00:00,67.2
Narela,humidity,2025-12-04 02:00:00,69.3
Narela,humidity,2025-12-04 03:00:00,70.6
Narela,humidity,2025-12-04 04:00:00,72.0
Narela,humidity,2025-12-04 05:00:00,76.3
Narela,humidity,2025-12-04 06:00:00,78.8
Narela,humidity,2025-12-04 07:00:00,79.4
Narela,humidity,2025-12-04 08:00:00,78.0
Narela,humidity,2025-12-04 09:00:00,66.9
Narela,humidity,2025-12-04 10:00:00,57.4
