zone,param,timestamp,value
Okhla,NO2,2025-10-01 01:00:00,29.2
Okhla,NO2,2025-10-01 02:00:00,35.3
Okhla,NO2,2025-10-01 03:00:00,40.2
Okhla,NO2,2025-10-01 04:00:00,40.9
Okhla,NO2,2025-10-01 05:00:00,37.5
Okhla,NO2,2025-10-01 06:00:00,40.1
Okhla,NO2,2025-10-01 07:00:00,42.6
Okhla,NO2,2025-10-01 08:00:00,44.0
Okhla,NO2,2025-10-01 09:00:00,49.0
Okhla,NO2,2025-10-01 10:00:00,39.3
Okhla,NO2,2025-10-01 11:00:00,35.4
Okhla,NO2,2025-10-01 23:00:00,47.7
Okhla,NO2,2025-10-02 00:00:00,37.0
Okhla,NO2,2025-10-02 01:00:00,33.8
Okhla,NO2,2025-10-02 02:00:00,34.8
Okhla,NO2,2025-10-02 03:00:00,48.1
Okhla,NO2,2025-10-02 04:00:00,47.4
Okhla,NO2,2025-10-02 05:00:00,44.4
Okhla,NO2,2025-10-02 06:00:00,44.8
Okhla,NO2,2025-10-02 07:00:00,39.8
Okhla,NO2,2025-10-02 08:00:00,55.6
Okhla,NO2,2025-10-02 09:00:00,57.8
Okhla,NO2,2025-10-02 10:00:00,38.5
Okhla,NO2,2025-10-02 11:00:00,27.7
Okhla,NO2,2025-10-02 12:00:00,23.7
Okhla,NO2,2025-10-02 13:00:00,24.4
Okhla,NO2,2025-10-02 14:00:00,21.6
Okhla,NO2,2025-10-02 15:00:00,21.3
Okhla,NO2,2025-10-02 16:00:00,18.7
Okhla,NO2,2025-10-02 17:00:00,31.7
Okhla,NO2,2025-10-02 18:00:00,42.7
Okhla,NO2,2025-10-02 19:00:00,55.0
Okhla,NO2,2025-10-02 20:00:00,60.5
Okhla,NO2,2025-10-02 21:00:00,37.0
Okhla,NO2,2025-10-02 22:00:00,27.9
Okhla,NO2,2025-10-02 23:00:00,23.3
Okhla,NO2,2025-10-03 00:00:00,23.6
Okhla,NO2,2025-10-03 01:00:00,27.2
Okhla,NO2,2025-10-03 02:00:00,28.9
Okhla,NO2,2025-10-03 03:00:00,25.3
Okhla,NO2,2025-10-03 04:00:00,27.7
Okhla,NO2,2025-10-03 05:00:00,26.7
Okhla,NO2,2025-10-03 06:00:00,26.1
Okhla,NO2,2025-10-03 07:00:00,27.3
Okhla,NO2,2025-10-03 08:00:00,27.0
Okhla,NO2,2025-10-03 09:00:00,21.9
Okhla,NO2,2025-10-03 10:00:00,21.6
Okhla,NO2,2025-10-03 11:00:00,18.9
Okhla,NO2,2025-10-03 12:00:00,21.4
Okhla,NO2,2025-10-03 13:00:00,20.5
Okhla,NO2,2025-10-03 14:00:00,18.9
Okhla,NO2,2025-10-03 15:00:00,16.4
Okhla,NO2,2025-10-03 16:00:00,17.5
Okhla,NO2,2025-10-03 17:00:00,27.1
Okhla,NO2,2025-10-03 18:00:00,31.9
Okhla,NO2,2025-10-03 19:00:00,50.2
Okhla,NO2,2025-10-03 20:00:00,90.1
Okhla,NO2,2025-10-03 21:00:00,88.3
Okhla,NO2,2025-10-03 22:00:00,78.5
Okhla,NO2,2025-10-03 23:00:00,76.0
Okhla,NO2,2025-10-04 00:00:00,70.2
Okhla,NO2,2025-10-04 01:00:00,
Okhla,NO2,2025-10-04 02:00:00,63.4
Okhla,NO2,2025-10-04 03:00:00,53.3
Okhla,NO2,2025-10-04 04:00:00,47.2
Okhla,NO2,2025-10-04 05:00:00,55.3
Okhla,NO2,2025-10-04 06:00:00,44.1
Okhla,NO2,2025-10-04 07:00:00,74.2
Okhla,NO2,2025-10-04 08:00:00,60.6
Okhla,NO2,2025-10-04 09:00:00,58.6
Okhla,NO2,2025-10-04 10:00:00,39.6
Okhla,NO2,2025-10-04 11:00:00,28.2
Okhla,NO2,2025-10-04 12:00:00,28.5
