zone,param,timestamp,value
Okhla,PM10,2025-12-01 01:00:00,306.0
Okhla,PM10,2025-12-01 02:00:00,305.0
Okhla,PM10,2025-12-01 03:00:00,318.0
Okhla,PM10,2025-12-01 04:00:00,313.0
Okhla,PM10,2025-12-01 05:00:00,284.0
Okhla,PM10,2025-12-01 06:00:00,269.0
Okhla,PM10,2025-12-01 07:00:00,305.0
Okhla,PM10,2025-12-01 08:00:00,307.0
Okhla,PM10,2025-12-01 09:00:00,372.0
Okhla,PM10,2025-12-01 10:00:00,500.0
Okhla,PM10,2025-12-01 11:00:00,328.0
Okhla,PM10,2025-12-01 12:00:00,215.0
Okhla,PM10,2025-12-01 13:00:00,218.0
Okhla,PM10,2025-12-01 14:00:00,145.0
Okhla,PM10,2025-12-01 15:00:00,145.0
Okhla,PM10,2025-12-01 16:00:00,153.0
Okhla,PM10,2025-12-01 17:00:00,191.0
Okhla,PM10,2025-12-01 18:00:00,288.0
Okhla,PM10,2025-12-01 19:00:00,326.0
Okhla,PM10,2025-12-01 20:00:00,500.0
Okhla,PM10,2025-12-01 21:00:00,600.0
Okhla,PM10,2025-12-01 22:00:00,605.0
Okhla,PM10,2025-12-01 23:00:00,574.0
Okhla,PM10,2025-12-02 00:00:00,617.0
Okhla,PM10,2025-12-02 01:00:00,604.0
Okhla,PM10,2025-12-02 02:00:00,652.0
Okhla,PM10,2025-12-02 03:00:00,659.0
Okhla,PM10,2025-12-02 04:00:00,602.0
Okhla,PM10,2025-12-02 05:00:00,646.0
Okhla,PM10,2025-12-02 06:00:00,596.0
Okhla,PM10,2025-12-02 07:00:00,709.0
Okhla,PM10,2025-12-02 08:00:00,569.0
Okhla,PM10,2025-12-02 09:00:00,566.0
Okhla,PM10,2025-12-02 10:00:00,504.0
Okhla,PM10,2025-12-02 11:00:00,455.0
Okhla,PM10,2025-12-02 12:00:00,484.0
Okhla,PM10,2025-12-02 13:00:00,470.0
Okhla,PM10,2025-12-02 14:00:00,353.0
Okhla,PM10,2025-12-02 15:00:00,423.0
Okhla,PM10,2025-12-02 16:00:00,426.0
Okhla,PM10,2025-12-02 17:00:00,429.0
Okhla,PM10,2025-12-02 18:00:00,399.0
Okhla,PM10,2025-12-02 19:00:00,400.0
Okhla,PM10,2025-12-02 20:00:00,547.0
Okhla,PM10,2025-12-02 21:00:00,613.0
Okhla,PM10,2025-12-02 22:00:00,553.0
Okhla,PM10,2025-12-02 23:00:00,500.0
Okhla,PM10,2025-12-03 00:00:00,465.0
Okhla,PM10,2025-12-03 01:00:00,465.0
Okhla,PM10,2025-12-03 12:00:00,235.0
