zone,param,timestamp,value
Punjabi Bagh,PM10,2025-12-01 01:00:00,291.0
Punjabi Bagh,PM10,2025-12-01 02:00:00,273.0
Punjabi Bagh,PM10,2025-12-01 03:00:00,278.0
Punjabi Bagh,PM10,2025-12-01 04:00:00,287.0
Punjabi Bagh,PM10,2025-12-01 05:00:00,304.0
Punjabi Bagh,PM10,2025-12-01 06:00:00,316.0
Punjabi Bagh,PM10,2025-12-01 07:00:00,309.0
Punjabi Bagh,PM10,2025-12-01 08:00:00,324.0
Punjabi Bagh,PM10,2025-12-01 09:00:00,490.0
Punjabi Bagh,PM10,2025-12-01 10:00:00,436.0
Punjabi Bagh,PM10,2025-12-01 11:00:00,355.0
Punjabi Bagh,PM10,2025-12-01 12:00:00,263.0
Punjabi Bagh,PM10,2025-12-01 13:00:00,204.0
Punjabi Bagh,PM10,2025-12-01 14:00:00,202.0
Punjabi Bagh,PM10,2025-12-01 15:00:00,223.0
Punjabi Bagh,PM10,2025-12-01 16:00:00,193.0
Punjabi Bagh,PM10,2025-12-01 17:00:00,174.0
Punjabi Bagh,PM10,2025-12-01 18:00:00,213.0
Punjabi Bagh,PM10,2025-12-01 19:00:00,350.0
Punjabi Bagh,PM10,2025-12-01 20:00:00,464.0
Punjabi Bagh,PM10,2025-12-01 21:00:00,588.0
Punjabi Bagh,PM10,2025-12-01 22:00:00,672.0
Punjabi Bagh,PM10,2025-12-01 23:00:00,558.0
Punjabi Bagh,PM10,2025-12-02 00:00:00,483.0
Punjabi Bagh,PM10,2025-12-02 01:00:00,555.0
Punjabi Bagh,PM10,2025-12-02 02:00:00,536.0
Punjabi Bagh,PM10,2025-12-02 03:00:00,547.0
Punjabi Bagh,PM10,2025-12-02 04:00:00,406.0
Punjabi Bagh,PM10,2025-12-02 05:00:00,399.0
Punjabi Bagh,PM10,2025-12-02 06:00:00,350.0
Punjabi Bagh,PM10,2025-12-02 07:00:00,356.0
Punjabi Bagh,PM10,2025-12-02 08:00:00,611.0
Punjabi Bagh,PM10,2025-12-02 09:00:00,582.0
Punjabi Bagh,PM10,2025-12-02 10:00:00,617.0
Punjabi Bagh,PM10,2025-12-02 11:00:00,501.0
Punjabi Bagh,PM10,2025-12-02 12:00:00,381.0
Punjabi Bagh,PM10,2025-12-02 13:00:00,392.0
Punjabi Bagh,PM10,2025-12-02 14:00:00,394.0
Punjabi Bagh,PM10,2025-12-02 15:00:00,481.0
Punjabi Bagh,PM10,2025-12-02 16:00:00,345.0
Punjabi Bagh,PM10,2025-12-02 17:00:00,331.0
Punjabi Bagh,PM10,2025-12-02 18:00:00,331.0
Punjabi Bagh,PM10,2025-12-02 19:00:00,394.0
Punjabi Bagh,PM10,2025-12-02 20:00:00,459.0
Punjabi Bagh,PM10,2025-12-02 21:00:00,454.0
Punjabi Bagh,PM10,2025-12-02 22:00:00,411.0
Punjabi Bagh,PM10,2025-12-02 23:00:00,370.0
Punjabi Bagh,PM10,2025-12-03 00:00:00,322.0
Punjabi Bagh,PM10,2025-12-03 01:00:00,300.0
Punjabi Bagh,PM10,2025-12-03 02:00:00,265.0
Punjabi Bagh,PM10,2025-12-03 03:00:00,250.0
Punjabi Bagh,PM10,2025-12-03 04:00:00,244.0
Punjabi Bagh,PM10,2025-12-03 12:00:00,256.0
Punjabi Bagh,PM10,2025-12-03 14:00:00,204.0
Punjabi Bagh,PM10,2025-12-03 15:00:00,173.0
Punjabi Bagh,PM10,2025-12-03 16:00:00,145.0
Punjabi Bagh,PM10,2025-12-03 17:00:00,151.0
Punjabi Bagh,PM10,2025-12-03 18:00:00,199.0
Punjabi Bagh,PM10,2025-12-03 19:00:00,276.0
