zone,param,timestamp,value
Punjabi Bagh,humidity,2025-12-01 01:00:00,65.7
Punjabi Bagh,humidity,2025-12-01 02:00:00,67.8
Punjabi Bagh,humidity,2025-12-01 03:00:00,70.5
Punjabi Bagh,humidity,2025-12-01 04:00:00,71.2
Punjabi Bagh,humidity,2025-12-01 05:00:00,74.7
Punjabi Bagh,humidity,2025-12-01 06:00:00,75.2
Punjabi Bagh,humidity,2025-12-01 07:00:00,75.4
Punjabi Bagh,humidity,2025-12-01 08:00:00,74.3
Punjabi Bagh,humidity,2025-12-01 09:00:00,60.3
Punjabi Bagh,humidity,2025-12-01 10:00:00,52.9
Punjabi Bagh,humidity,2025-12-01 11:00:00,41.9
Punjabi Bagh,humidity,2025-12-01 12:00:00,32.6
Punjabi Bagh,humidity,2025-12-01 13:00:00,31.5
Punjabi Bagh,humidity,2025-12-01 14:00:00,32.2
Punjabi Bagh,humidity,2025-12-01 15:00:00,32.8
Punjabi Bagh,humidity,2025-12-01 16:00:00,35.1
Punjabi Bagh,humidity,2025-12-01 17:00:00,43.4
Punjabi Bagh,humidity,2025-12-01 18:00:00,51.2
Punjabi Bagh,humidity,2025-12-01 19:00:00,55.7
Punjabi Bagh,humidity,2025-12-01 20:00:00,60.1
Punjabi Bagh,humidity,2025-12-01 21:00:00,63.8
Punjabi Bagh,humidity,2025-12-01 22:00:00,67.1
Punjabi Bagh,humidity,2025-12-01 23:00:00,67.6
Punjabi Bagh,humidity,2025-12-02 00:00:00,70.3
Punjabi Bagh,humidity,2025-12-02 01:00:00,70.3
Punjabi Bagh,humidity,2025-12-02 02:00:00,68.5
Punjabi Bagh,humidity,2025-12-02 03:00:00,65.1
Punjabi Bagh,humidity,2025-12-02 04:00:00,55.3
Punjabi Bagh,humidity,2025-12-02 05:00:00,59.1
Punjabi Bagh,humidity,2025-12-02 06:00:00,62.1
Punjabi Bagh,humidity,2025-12-02 07:00:00,65.5
Punjabi Bagh,humidity,2025-12-02 08:00:00,66.7
Punjabi Bagh,humidity,2025-12-02 09:00:00,58.4
Punjabi Bagh,humidity,2025-12-02 10:00:00,48.5
Punjabi Bagh,humidity,2025-12-02 11:00:00,41.5
Punjabi Bagh,humidity,2025-12-02 12:00:00,39.1
Punjabi Bagh,humidity,2025-12-02 13:00:00,39.8
Punjabi Bagh,humidity,2025-12-02 14:00:00,40.7
Punjabi Bagh,humidity,2025-12-02 15:00:00,40.6
Punjabi Bagh,humidity,2025-12-02 16:00:00,43.0
Punjabi Bagh,humidity,2025-12-02 17:00:00,51.3
Punjabi Bagh,humidity,2025-12-02 18:00:00,61.9
Punjabi Bagh,humidity,2025-12-02 19:00:00,67.5
Punjabi Bagh,humidity,2025-12-02 20:00:00,71.1
