zone,param,timestamp,value
RK Puram,O3,2025-12-01 01:00:00,2.0
RK Puram,O3,2025-12-01 02:00:00,5.1
RK Puram,O3,2025-12-01 03:00:00,2.5
RK Puram,O3,2025-12-01 04:00:00,5.3
RK Puram,O3,2025-12-01 06:00:00,5.7
RK Puram,O3,2025-12-01 08:00:00,3.5
RK Puram,O3,2025-12-01 09:00:00,2.1
RK Puram,O3,2025-12-01 10:00:00,5.6
RK Puram,O3,2025-12-01 11:00:00,46.9
RK Puram,O3,2025-12-01 12:00:00,62.4
RK Puram,O3,2025-12-01 13:00:00,94.5
RK Puram,O3,2025-12-01 14:00:00,114.7
RK Puram,O3,2025-12-01 15:00:00,116.5
RK Puram,O3,2025-12-01 16:00:00,82.9
RK Puram,O3,2025-12-01 17:00:00,29.9
RK Puram,O3,2025-12-01 18:00:00,1.9
RK Puram,O3,2025-12-01 19:00:00,
RK Puram,O3,2025-12-01 20:00:00,
RK Puram,O3,2025-12-01 21:00:00,
RK Puram,O3,2025-12-01 22:00:00,
RK Puram,O3,2025-12-01 23:00:00,
RK Puram,O3,2025-12-02 00:00:00,
RK Puram,O3,2025-12-02 01:00:00,
RK Puram,O3,2025-12-02 02:00:00,4.9
RK Puram,O3,2025-12-02 03:00:00,4.1
RK Puram,O3,2025-12-02 04:00:00,10.2
RK Puram,O3,2025-12-02 05:00:00,8.7
RK Puram,O3,2025-12-02 06:00:00,7.3
RK Puram,O3,2025-12-02 07:00:00,8.0
RK Puram,O3,2025-12-02 08:00:00,6.0
RK Puram,O3,2025-12-02 09:00:00,
RK Puram,O3,2025-12-02 10:00:00,
RK Puram,O3,2025-12-02 11:00:00,
RK Puram,O3,2025-12-02 12:00:00,
RK Puram,O3,2025-12-02 13:00:00,
RK Puram,O3,2025-12-02 14:00:00,12.2
RK Puram,O3,2025-12-02 15:00:00,12.3
RK Puram,O3,2025-12-02 16:00:00,10.1
RK Puram,O3,2025-12-02 17:00:00,7.4
RK Puram,O3,2025-12-02 18:00:00,7.6
RK Puram,O3,2025-12-02 19:00:00,5.1
RK Puram,O3,2025-12-02 20:00:00,7.3
RK Puram,O3,2025-12-02 21:00:00,8.2
RK Puram,O3,2025-12-02 22:00:00,6.7
RK Puram,O3,2025-12-02 23:00:00,6.3
RK Puram,O3,2025-12-03 00:00:00,0.4
RK Puram,O3,2025-12-03 12:00:00,122.1
RK Puram,O3,2025-12-03 13:00:00,121.0
RK Puram,O3,2025-12-03 14:00:00,118.0
RK Puram,O3,2025-12-03 15:00:00,112.4
RK Puram,O3,2025-12-03 16:00:00,88.3
RK Puram,O3,2025-12-03 17:00:00,45.1
RK Puram,O3,2025-12-03 18:00:00,5.4
RK Puram,O3,2025-12-03 19:00:00,9.2
RK Puram,O3,2025-12-03 20:00:00,7.8
RK Puram,O3,2025-12-03 21:00:00,7.0
RK Puram,O3,2025-12-03 22:00:00,2.7
RK Puram,O3,2025-12-03 23:00:00,2.3
RK Puram,O3,2025-12-04 00:00:00,
RK Puram,O3,2025-12-04 01:00:00,
RK Puram,O3,2025-12-04 02:00:00,5.7
RK Puram,O3,2025-12-04 03:00:00,4.7
RK Puram,O3,2025-12-04 04:00:00,5.0
RK Puram,O3,2025-12-04 05:00:00,4.2
RK Puram,O3,2025-12-04 06:00:00,5.9
RK Puram,O3,2025-12-04 07:00:00,6.4
RK Puram,O3,2025-12-04 11:00:00,81.3
RK Puram,O3,2025-12-04 13:00:00,119.3
RK Puram,O3,2025-12-04 14:00:00,120.3
RK Puram,O3,2025-12-04 15:00:00,121.9
RK Puram,O3,2025-12-04 16:00:00,99.0
RK Puram,O3,2025-12-04 17:00:00,54.5
RK Puram,O3,2025-12-04 18:00:00,3.7
RK Puram,O3,2025-12-04 19:00:00,5.2
RK Puram,O3,2025-12-04 20:00:00,
RK Puram,O3,2025-12-04 21:00:00,
RK Puram,O3,2025-12-04 22:00:00,
RK Puram,O3,2025-12-04 23:00:00,
RK Puram,O3,2025-12-05 00:00:00,
RK Puram,O3,2025-12-05 02:00:00,4.6
RK Puram,O3,2025-12-05 03:00:00,3.1
RK Puram,O3,2025-12-05 05:00:00,6.6
RK Puram,O3,2025-12-05 07:00:00,3.6
RK Puram,O3,2025-12-05 08:00:00,1.2
RK Puram,O3,2025-12-05 09:00:00,2.0
RK Puram,O3,2025-12-05 10:00:00,16.9
RK Puram,O3,2025-12-05 11:00:00,56.2
RK Puram,O3,2025-12-05 12:00:00,
RK Puram,O3,2025-12-05 13:00:00,126.3
RK Puram,O3,2025-12-05 14:00:00,88.2
RK Puram,O3,2025-12-05 19:00:00,
RK Puram,O3,2025-12-05 20:00:00,
RK Puram,O3,2025-12-05 21:00:00,21.0
RK Puram,O3,2025-12-05 22:00:00,
RK Puram,O3,2025-12-05 23:00:00,
RK Puram,O3,2025-12-06 01:00:00,
RK Puram,O3,2025-12-06 02:00:00,7.3
RK Puram,O3,2025-12-06 03:00:00,
RK Puram,O3,2025-12-06 04:00:00,12.1
RK Puram,O3,2025-12-06 05:00:00,5.4
RK Puram,O3,2025-12-06 07:00:00,
RK Puram,O3,2025-12-06 08:00:00,
RK Puram,O3,2025-12-06 09:00:00,
RK Puram,O3,2025-12-06 10:00:00,
RK Puram,O3,2025-12-06 11:00:00,36.0
RK Puram,O3,2025-12-06 12:00:00,56.8
RK Puram,O3,2025-12-06 13:00:00,90.8
RK Puram,O3,2025-12-06 14:00:00,103.1
RK Puram,O3,2025-12-06 15:00:00,123.5
RK Puram,O3,2025-12-06 16:00:00,103.6
RK Puram,O3,2025-12-06 18:00:00,32.5
RK Puram,O3,2025-12-06 19:00:00,28.7
RK Puram,O3,2025-12-06 20:00:00,30.6
RK Puram,O3,2025-12-06 22:00:00,17.7
RK Puram,O3,2025-12-06 23:00:00,17.8
RK Puram,O3,2025-12-07 00:00:00,15.1
