zone,param,timestamp,value
RK Puram,PM10,2025-12-01 01:00:00,310.0
RK Puram,PM10,2025-12-01 02:00:00,309.0
RK Puram,PM10,2025-12-01 03:00:00,280.0
RK Puram,PM10,2025-12-01 04:00:00,211.0
RK Puram,PM10,2025-12-01 06:00:00,266.0
RK Puram,PM10,2025-12-01 08:00:00,384.0
RK Puram,PM10,2025-12-01 09:00:00,576.0
RK Puram,PM10,2025-12-01 10:00:00,385.0
RK Puram,PM10,2025-12-01 11:00:00,339.0
RK Puram,PM10,2025-12-01 12:00:00,223.0
RK Puram,PM10,2025-12-01 13:00:00,172.0
RK Puram,PM10,2025-12-01 14:00:00,145.0
RK Puram,PM10,2025-12-01 15:00:00,149.0
RK Puram,PM10,2025-12-01 16:00:00,278.0
RK Puram,PM10,2025-12-01 17:00:00,433.0
RK Puram,PM10,2025-12-01 18:00:00,382.0
RK Puram,PM10,2025-12-01 19:00:00,437.0
RK Puram,PM10,2025-12-01 20:00:00,537.0
RK Puram,PM10,2025-12-01 21:00:00,587.0
RK Puram,PM10,2025-12-01 22:00:00,526.0
RK Puram,PM10,2025-12-01 23:00:00,539.0
RK Puram,PM10,2025-12-02 00:00:00,497.0
RK Puram,PM10,2025-12-02 01:00:00,422.0
RK Puram,PM10,2025-12-02 02:00:00,395.0
RK Puram,PM10,2025-12-02 03:00:00,362.0
RK Puram,PM10,2025-12-02 04:00:00,276.0
RK Puram,PM10,2025-12-02 05:00:00,310.0
RK Puram,PM10,2025-12-02 06:00:00,348.0
RK Puram,PM10,2025-12-02 07:00:00,370.0
RK Puram,PM10,2025-12-02 08:00:00,470.0
RK Puram,PM10,2025-12-02 09:00:00,620.0
RK Puram,PM10,2025-12-02 10:00:00,478.0
RK Puram,PM10,2025-12-02 11:00:00,428.0
RK Puram,PM10,2025-12-02 12:00:00,453.0
RK Puram,PM10,2025-12-02 13:00:00,399.0
RK Puram,PM10,2025-12-02 14:00:00,155.0
RK Puram,PM10,2025-12-02 15:00:00,240.0
RK Puram,PM10,2025-12-02 16:00:00,559.0
RK Puram,PM10,2025-12-02 17:00:00,702.0
RK Puram,PM10,2025-12-02 18:00:00,492.0
RK Puram,PM10,2025-12-02 19:00:00,605.0
RK Puram,PM10,2025-12-02 20:00:00,519.0
RK Puram,PM10,2025-12-02 21:00:00,708.0
RK Puram,PM10,2025-12-02 22:00:00,743.0
RK Puram,PM10,2025-12-02 23:00:00,781.0
RK Puram,PM10,2025-12-03 00:00:00,505.0
RK Puram,PM10,2025-12-03 12:00:00,498.0
RK Puram,PM10,2025-12-03 13:00:00,405.0
RK Puram,PM10,2025-12-03 14:00:00,199.0
RK Puram,PM10,2025-12-03 15:00:00,197.0
RK Puram,PM10,2025-12-03 16:00:00,174.0
RK Puram,PM10,2025-12-03 17:00:00,323.0
RK Puram,PM10,2025-12-03 18:00:00,260.0
RK Puram,PM10,2025-12-03 19:00:00,388.0
RK Puram,PM10,2025-12-03 20:00:00,493.0
RK Puram,PM10,2025-12-03 21:00:00,477.0
RK Puram,PM10,2025-12-03 22:00:00,466.0
RK Puram,PM10,2025-12-03 23:00:00,422.0
RK Puram,PM10,2025-12-04 00:00:00,400.0
RK Puram,PM10,2025-12-04 01:00:00,332.0
RK Puram,PM10,2025-12-04 02:00:00,278.0
RK Puram,PM10,2025-12-04 03:00:00,290.0
